"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17","s8q17ab","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","s8q100coth","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d","s8q100doth"
"00858c2384184dc3bfc800550a6c8cb5",1,2,2,2,2,2,2,1,1,,,,,,"subsistence crop farming",6,63,631,6310,1,"production of food crops for home consumption mainly",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,5,5,6,5,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",2,1,,2,2,2,2,1,1,,,,,,"subsistence crop and animal farming",6,63,633,6330,1,"production of food crops for home consumption",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",3,2,2,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"008ffc050d4e47c7920e9c7c2e35887a",1,1,,2,2,2,2,1,1,,,,,,"planting beans",6,63,631,6310,1,"growing crops mainly for food and sell some",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,0,3,4,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,2,1,2,2,2,2,1,1,,,,,,"weeding maize",6,63,631,6310,1,"growing crops mainly for food and sell some",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,0,4,0,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,1,,2,2,2,2,1,1,,,,,,"weeding millet",6,63,631,6310,1,"growing crops mainly for food and sell some",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,0,0,4,4,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",5,2,2,2,2,2,2,1,1,,,,,,"planting simsim",6,63,631,6310,1,"growing crops mainly for food and sell some",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,0,5,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",1,1,,2,2,2,2,1,1,,,,,,"Tilling land",6,63,631,6310,1,"Growing crops mainly for food and sell some",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,3,3,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,1,,2,2,2,2,1,1,,,,,,"Tilling land",6,63,631,6310,1,"Growing crops mainly for food and sell some",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,3,3,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",5,2,1,2,2,2,2,1,1,,,,,,"Tilling land",6,63,631,6310,1,"Growing crops mainly for food and sell some",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,3,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,1,,2,1,2,2,1,1,,,,,,"substances crop farming",6,63,631,6310,1,"subsistence crop farming",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,1,"hair plaiting",7,73,731,7319,"Hair plaiting",191111,96,960,9602,3,7,1,0,6,2,6,6,6,0,0,0,7,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",4,2,1,1,2,2,2,2,1,,,,,,"Agriculture labourer",9,92,921,9211,1,"Agriculture labourer",11111,1,12222,129,1,1,,2,2,2,2,2,1,,5,4,,,,,7,5,2,,,,,,,,,,,,,,0,9,9,6,6,6,0,,,,,,,,4,2,40000,3,40000,4,,,,,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",1,1,,2,2,2,2,2,0,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,15,
"00bbd034f88649bc980b091d4a5af645",2,2,1,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"00bbd034f88649bc980b091d4a5af645",3,2,1,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"00bbd034f88649bc980b091d4a5af645",4,1,,2,2,2,2,2,0,2,2,2,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,19,
"00bbd034f88649bc980b091d4a5af645",5,2,1,1,2,2,2,2,1,,,,,,"Causal laborer in agriculture",9,92,921,9212,1,"Raring animals",11111,1,14222,141,1,1,,2,2,2,2,2,1,,12,4,,,,,7,1,2,,,,,,,,,,,,,,5,0,0,5,5,5,5,,,,,,,,4,1,50000,4,50000,5,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",1,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE FARMER GROWING MAIZE AND OTHER CROPS",6,63,631,6310,1,"SUBSISTENCE FARMER GROWING MAIZE AND OTHER CROPS",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,3,4,3,3,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",2,1,,1,2,2,2,1,1,,,,,,"SUBSISTENCE  FARMER GROWING MAIZE AND OTHER CROPS",6,63,631,6310,1,"SUBSISTENCE  FARMER GROWING MAIZE AND OTHER CROPS",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,1,"OFFERS CASUAL LABOUR IN PEOPLE'S GARDENS",9,92,921,9211,"CASUAL LABOUR ON PEOPLE'S GARDENS",11111,1,11222,111,1,7,5,0,3,4,0,3,4,0,0,0,0,6,0,0,6,3,,,,,,,96,12000,2,30000,1,2,,,,,,,,,,,
