"hhidold","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3","hhid"
"H2780802","7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"6091c4ecb9bd4c6f97eb0be6c93a5dd5"
"H3720901","8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"6054f4586c2e42029b16a68e1e57390a"
"H2500201","10",2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,"632545c257874a7ab6311d70e74321bc"
"H2480302","3",2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,4,"64e1c1594a12465f9bb9f4dc7d570db2"
"H1300604","9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"69e60ef72eeb4fd2ab11d162e08170b7"
"H3070302","4",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"6c46bb0e515843ccbd9151bdd525fccc"
"H2060101","5",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,"6cd20f63b8e34c9baf5870e84eab5d2a"
"H3390501","5",1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,"6e8f6671ab714ac3aebab5f540c0d440"
"H1271002","4",1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,1,4,"6e8c9d3f6c874230bcbedc3f9f0285a6"
"H1651001","10",1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,4,"702d4b2225ab4dbe92a40506296adf2d"
"H4040101","7",2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,"79e40a3ff2674380aeb23f2d3493d633"
"H3500501","9",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,"7ad4ff9571914602868f53cc662bced5"
"H2240103","6",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,3,"7b5815aa1a08493485f3d905579fac21"
"H3070603","4",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"8133d8020dda480fae5bc280cb448bd7"
"H1880902","6",1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,5,"8260cf63f01f481dbce7be784d1a634f"
"H3110701","7",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"836d348639404a8d8752976aa2b12c24"
"H0400304","4",1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,2,"86dc6b17270745839df7c9216705808b"
"H3620201","10",1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,"8b78ea7e19b94b1f8ec1f6710774d003"
"H3610901","6",1,,1,,1,1,,,,,1,,1,,2,,,,1,,,2,"8edb52c2aa144083baec4616c6739603"
"H3090101","7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"905949a54d8444ceb1f179484be50218"
