"hhidold","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3","hhid"
"H4130201","8",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,"0667b6f1adac439db81e063ceead3b03"
"H2740201","13",2,1,1,1,,,,1,,,1,,1,,,,,,1,2,1,3,"08a2071726b54dae84b17e7b8017588d"
"H4200601","15",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"0a396d4827b24ea099971029d14bd817"
"H3971001","10",1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"0ad4b37a214a455aa6080a4f197e50ca"
"##N/A##","5",1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,3,"0b7f6c75dec34a6bb3c0990283c92be6"
"H4080401","6",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"0cf284629d3f460eb8d1ac4e90b0639b"
"H1201001","3",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,"0df38d4bdeaa40a8b3407e57cc315e31"
"H2991006","3",1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,"0e530e4dff074880bc7b09f4d3755c2d"
"H0691101","7",1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,"0fc2473477df48789bebde3b8239f2c4"
"H2850505","4",1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,"117be70b702543a2a9b2c6ed42bde0d8"
"H1640703","8",1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,"11cce051e10f463e9d807eac544f8298"
"H3940501","5",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,"11fe2002e4b64d6a9f6f9dc246c6b5cb"
"59","6",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"1254e7d5420845449d4b2d63d8f8b555"
"H2140902","5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"13e1b70c74264df2b3ce9571a64d04b7"
"H1300801","13",1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,3,"15112bb7ee2c432d83517c273c01cf0b"
"H2570604","3",1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,"158fdcb371864b379252dd73d6a526b2"
"H3800501","6",1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,"16282cde170b4278acdeccb779ce6b33"
"H3760801","6",1,,,2,,,,,,,,,,,,,,,,,,2,"15fd3aeeaeb34f6ea14d42f6bcdee0d6"
"H1310801","12",2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"168c7ae537cc4394827298958c374b1d"
"1100701","6",1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,4,"16c0790e52ec43c58fcd99e7d75e10d3"
"H0870301","12",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,"16db46d7f22e41f9a04f1fbe342a0392"
"H2561003","3",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"170275f8246f4dbebe53a915373b5984"
"H1680602","4",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,"17befd96efff47ca9c60b12d3dd1071c"
"H2051001","10",1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,"1882689344ef46b39e66d162a2a98a99"
"H2600906","4",1,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,4,"192773eb6e2f480d8283caef17b07c92"
"H3420101","10",2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,"194a945af9444a8bb7ce17dd53a03244"
"H1400402","5",1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,4,"194c70f94cca497aac045956fa1b6124"
"H4130101","7",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"19c4fc257abc424384647435dadb3700"
"H1090902","14",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"1a23e276ec3548579b682aa6ac9a03f7"
"H2440302","3",2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,"1a37d2e805614d7d9a3373852ab74ea4"
"H0360403","17",1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,0,"1a4e07a2e001491990c1a79b3c0b06cc"
"H3410601","4",2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,"1ac5be311466436b889555bae1886fd6"
"H1820303","3",1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,"1b2a1dd8c61d47d99f229fec9267bd22"
"65","4",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"1d938aa42c73429e9889c7a86cedaa2f"
"H3890101","5",1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"1d98098213a349f1852ee5bd9db570cf"
"H2090502","5",2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,"1d8871f1764249158f6fd0c5bf6e97b7"
"37","12",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"1ddfeff49903462293869d882e446f43"
"H3030903","4",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,"1df0145a0ab24b12a2d71a32368f7c20"
"H1310202","5",1,,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,"1e603a50fb0842b7b442cb034660f8ff"
"H3910701","6",1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,4,"1e6d3e4b71e8433ebec03f89d6b099b9"
"H2140501","10",1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,"1ee1ef1774294ebe8767b0cf2f71cb8a"
"H2110501","8",1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"1ec5f5dabb5c49679ddd4a558120328d"
"H2540302","4",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,"20eff2f68f514a169a4d565c7e03c714"
"H1860103","4",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"21228dd963014e41a1abc66bc2e70d39"
"H2820601","9",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"21356128700341afab4bae888ad2f981"
"H2641601","10",1,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,"21af07d78ce04063a86281f45e4277be"
"H3770101","9",2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,"22332408a42c448fa7ac8f958aea186f"
"H2940802","4",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"2279a0d187384ac491f8c51a8fab14a0"
"6","2",1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,"2333ca9510e4498f8d54172fa9728246"
"H3100801","6",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"2353319aa97d462c9e3c06c17aeb4da9"
"H2990801","6",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"26200519fc50421e9124dc3852fa642b"
"H4000501","7",,,,,,,,,,,,,,,,,,,,,,,"264b7a9fbdbc44c6898a02a98b23f99e"
"H4240501","6",1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,"281c1e9727e24f3ba38cd4bdaec4edf0"
"H2620801","5",1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"29f77616aa4f47ffb44bac82fbacef59"
"H3660201","4",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,"2a85264bf5b74593930eae2103209224"
"H4070301","7",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"2ab832b9019a4d45b3b1c5a93eb436d5"
"H3941001","7",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,"2ada189776a548d89a6c2f2bff16b5c2"
"H0740601","8",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"2af8d5fd8b2a4458b30dddd1f3d5a9b8"
"H1650504","8",1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,"2b80b3ba5e2a48028b2fdff1c0491d2c"
"H2850902","7",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"2b97ff1426c44de289a445eded0ccb86"
"H1290201","11",1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,"2bfb2d5d0484428fb2747b0cecd88b2b"
"H1440503","4",1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,"2c8a0ac39a1a441a96182ad2be1326d9"
"H0500401","6",1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,0,"2c8e03b857bc459fb92fac9045dbcacf"
"H4210101","8",1,2,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,3,"2cb1f00388b745698cde84ee0091c1e5"
"H3630102","4",1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,"2d6b5d1b5929451998ee1d8302f0db26"
"H1660701","10",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"2d9fb7ca4e764d448ca445f70e9378db"
"H2620304","4",1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,3,"2dccaa73a2344662a2071d34410deac2"
"H2590402","4",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"2db9bb876ffd4de3bf35e7b4c6d03c86"
"1","6",1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,"2e005c9d33a1496889bc2668de51f031"
"H3830601","4",1,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,3,"2e856f1055a9440ab29a01767377b8a8"
"H3461001","6",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,"2ebeec35d766400bb532f402fe7533dc"
"H4160501","10",2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,"2ea2a43b1e1943c7bdc4c6e239b5f390"
"H4150101","6",2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,"2fb38936615b4db3a67d76b621284603"
"H1200701","10",1,,,1,1,,,,,,1,,,,1,,,,,,,3,"2f9952ff230e43e5a88870c5dbaaa325"
"H2990203","3",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"2fdef796914c4c00a3f3164e76f43b57"
"H3681001","10",1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,"30322018c45f4c6b95cec1f96fbea405"
"H3840301","6",,,,,,,,,,,,,,,,,,,,,,,"31a28b3746724f9d8c45280f0665e0cd"
"H2250201","9",2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"3290dc38c12b4bdf8a98096dc5fce083"
"H1710901","11",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"32e86c42baf14a2a80377b9206c590f0"
"16","2",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"336eaf99465645a9a411f706b1eefd43"
"H2950503","3",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"34596ad80dd949dab8419c2ca8144e61"
"9","4",1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,"34ebc424a83444a783220940c21e3568"
"H2820902","3",1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,1,3,"35f827395e5c46d4b16007db4604315f"
"H1070102","6",1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,3,"35a4759799a64403abcf6f526479d782"
"H2570502","4",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"37f757786d654e0191319daad772971e"
"##N/A##","7",1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,"37cc1f4211c74fe8864dc44b67591f92"
"H3580201","5",1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,"385ee20107e34ab1814d1afcafe49eac"
"H2990601","8",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,"39e0390acf4e4a9ab1afebf87d1caf72"
"H1090904","14",1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,"39fffc7e84ed4f3199acc6c112eb51a1"
"H1430601","12",1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,3,"3b469b3a994f4617aaf0ec64d1483140"
"H1490602","4",1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,"3bb537a34ec14d16bb9f3c8b5d66dd83"
"H4250401","11",1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,"3d5c19ea73524c6f9a932a062e0b2b3a"
"H1310703","5",2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"3d633012f62f4a1693b032bb87573c1e"
"H2990803","3",1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,"3e147b9e732b405fb61098cbcc88c7b5"
"H2640502","5",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"3f39cc086d5f4cd383549baf15963bec"
"H3210501","6",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,"3f883779aa6e46ea96315b4730bdeb1c"
"H0420401","10",1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,3,"3fbba4bc945f48e5b07ccf0a706d2194"
"H0810301","8",1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,"41e2ca525f8c47bb8ed1cd9fc94325f1"
"24","4",1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"436745efc56f4db89ab6aa60196163d1"
"##N/A##","5",1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,3,"435aad8bd25744e69e6d88b433715d15"
"H1720601","7",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,"441cda37b3414e07a6593efba2c48717"
"H3830201","7",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"46235a9f1237490b8d6433136a08bd86"
"H2920804","4",1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,4,"46c75559ccb44ebf89eedefa432db56f"
"H1630502","6",2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,"471d44ec2f89422e90c75f16e4bbe19f"
"H2110801","13",1,2,1,,,,,,,,1,,1,2,2,2,2,2,2,2,2,2,"477360319e3b4caaac9c57d73c0a901b"
"H2050801","8",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"4944e273d5224ecdb7bfabac6441bda8"
"H2250501","7",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,7,"49929536f6b141e0ad8f8a5e673a54e4"
"H2630502","3",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,"4ac55f9511c249788e31b82f62b6e15f"
"H3910401","6",2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,0,"4b54ec189b39476582f02f0f738e0b0e"
"H3190102","3",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,"4cfc17444f5347f2b63940f96adcfdff"
"H2980101","12",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,"4df0393b234448c4a01934c4b561190d"
"H0990901","11",1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,3,"4e2424dc07714ba89d16e85c276e5ff3"
"H2640602","4",1,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,3,"4eb8fe775c964ecaa2173d058d32d891"
"H2360301","7",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,"4f2dcc04814146faabcbbfe91f264293"
"H2790903","3",1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,,1,1,3,"4fb03625fa6241a8895622252c8bd2fd"
"H1670901","9",1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"5271dffd0ee74ae8a50f7a3b9cf68d57"
"H4250702","3",1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,4,"531f932f7d3744308f1c7f3c847cc75d"
"H1200302","7",1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,"542bc4afbc2440c796d9ca699bb8b103"
"H3080201","10",1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,"545edc11914246b580410d5426edf258"
"H0590301","5",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,"56e3e1c314164a0fa1a2774e2b0b5d67"
"H3630201","10",1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,"573c6349c76242f5b6e860ce81436a70"
"H1020101","6",1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,"57ae070c1d7b4e8e944702dfb0583a05"
"H3770704","4",1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,"58082b68a19d4c94bc68b782dc32c08c"
"H4030401","8",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"57da26b97b97492ebe603668a5cc9bdb"
"H3070103","3",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"58a70201e82842bf8aa7e876027b062d"
"H3930201","7",1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,"58cf8ecb501b45ecb5c87fd71558f4b4"
"H1620501","11",1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,2,4,"594e3f9e818041ea9503576b21b74977"
"H1400302","6",1,1,2,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,14,"59af43dd132840e7a3d907037ed3e8e2"
"H0810701","7",,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,"59e9cfa7d69d431385ca9aa6c9d789b9"
"H4170101","4",1,2,2,2,2,2,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,"5a4cafd1a6114325a790f9ff6a5c2d7b"
"H0420301","7",1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,"5a5af9e0c5ea4a94a8071e56c277b3ae"
"81","6",1,,,,,,,,,,,,,,,,,,,,,3,"5ac46de58fdd4a6287280f189952a28f"
"H1320502","5",2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"5b3f449e0899444ea283af63d8bb63f7"
"H2350903","6",2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,"5ba24740654f468994dec57f3196f105"
"1","4",1,,,,,1,,,,,,,1,,,,,,,,,4,"5c9e36ac584945878990e72179fa4766"
"H1640601","12",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"5ca1c7853cb8405da3bad7f88c61e6ae"
"H1180701","7",1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"5cc21d790c8d43e19134c3d06b510440"
"H3370101","6",2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,"5d9e89e7fa574156a0d8083eaae19c97"
"H3510801","9",1,2,1,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,"5f869d74cb7847faa9014b1f9feaa239"
"H2560101","7",1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,"600b3c89a6af42e0afb57da459a48d12"
"H1070401","12",1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,"5fb04dcdf9204b1aafcf52cf33a45555"
"H1700703","5",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"60e7140ffa4444c8a66604d6d775fc56"
"H4050301","6",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,"615238b7741c46738f4d7f57394fc606"
"H2150301","7",1,,,1,,,,,,,1,,1,,,,,,,,,2,"62f7f39afcd14f4e847cb535a4a4edd2"
"H1150601","11",1,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,,4,"63d68e788cec45b8b21ccb97b0f532d0"
"H2200403","4",1,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,6,"64ac3328a38747a8b77a2b4ac460c0a1"
"H2250303","3",1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,,2,2,2,2,2,3,"66443b76761442b7ae9f75ac22b46e50"
"H2960301","6",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"66959d5454ec43c7861bec7889849ad1"
"H3520101","5",1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"66c88c6ac9de4c13ab44e35044e1d11a"
"H1440404","6",2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,"6764c2a9e2c441a1ad4f637da4f63c84"
"H0910902","5",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,"673dd0e3652a4d2c8fa055c7c58232fb"
"H0590601","17",2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,"68b753ff1a69455ea2cd05c11bde81ed"
"H1820301","14",1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,"68e2e3f630be4cc788a3c61f6b522b3a"
"H2461002","6",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"69389211ef9543f09dd0b955bd7ba94b"
"H1920402","4",2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"6a1f1d0492b24ece992a0caf323e9157"
"H0541201","6",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,"6ad635d3403248979bbd95c911af620c"
"H4061001","10",2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,3,"6b9817aa4acf488b802fa5eb006f009a"
"H3680101","6",1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,"6be232699e70435ba9cd8db725d1cd7d"
"H1410402","4",1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,4,"6bd3cf7a1e4345c4b67abce238dc828d"
"H1971002","4",1,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,3,"6cdd4fcbbcfe414d9686fdd2c404dc8b"
"H2440104","5",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,"6d744b34367e4b1285aadf0502734121"
"H1660402","4",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"6e36743f363a4cdd819cf27aeac8de96"
"H1430402","7",1,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,4,"6ed7bea2de0e4fe19ac7e0a5a7e0c5f9"
"H2981004","4",1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,3,"6f3b0e49990144ff9e75ee145a362444"
"H3410701","9",1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"6f0634b271dd4ebabaca45a0579a1a69"
"H1250601","12",1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,"6ec00f7d379e4cceb131ac9725f35b1a"
"H2110902","5",1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,3,"6f502e1e043449cab9a278cbfd4c30f8"
"H2001101","8",1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,"700070912677437580e7da3eb10c7734"
"H0900402","4",1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0,"70ae12f096154729a14d2624aa5a59de"
"H3190201","8",1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,"70d83bd5db6f46e092593b4bfc363ba3"
"H2591001","7",1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,"7253dbdbc83c4e6681974c40ce369e79"
"H4140601","5",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"721bf64da76042f7b93ac98e57773d34"
"H1510801","9",1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,4,"7231cac3c984454fbb9963e15947dc38"
"H2960402","4",1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"72decf6c6bcb4d4a9976894561e88bd4"
"H3710601","15",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"72e6998f6ca846fc9fa53cc11cf80bb3"
"H1590702","5",1,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,4,"7518e884894c45e5837ce4ce122c4fa1"
"H3570202","3",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"76af9a9cff444689a63468adea7317c0"
"H2561005","3",1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,"76ba3870411e42f19198e525fc9349e3"
"30","6",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,"76f359c2499441ccb9011e13f09ff1cf"
"H4230301","7",2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"771926bbe1f24ec9b46db8d3c45adeb6"
"H0371103","9",,,,,,,,,,,,,,,,,,,,,,,"772652e7c84341bcb205a8b1fc5b7d00"
"H1310501","7",2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,"77701c8f612b4deab520ed338ff3ba8e"
"H2620902","6",1,,1,1,,,,,,,1,,,,,,,,,,,1,"792b057e74f34f30b1efbd28f61c45b7"
"H2080201","7",1,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,3,"7ada1d475efb4cc08cf27ad00bfeaa49"
"15","3",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"7bb26c5158de4736980944695e042f53"
