"hhid","FF02","FF01","FF_21a","FF_21b"
"020fd884bebf40b0a97f2156b8eda1b6",991,"Cooking fat",2,
"021babeee5f646108cbe9bb3b2a4c485",127,"Cooking oil",2,
"021babeee5f646108cbe9bb3b2a4c485",150,"Salt",2,
"021babeee5f646108cbe9bb3b2a4c485",991,"Cooking fat",2,
"02257a7aa9a94ca9b464e910e2bd642d",150,"Salt",2,
"023400859c2e49d9a0701040d93fa0f2",127,"Cooking oil",2,
"023400859c2e49d9a0701040d93fa0f2",150,"Salt",2,
"023400859c2e49d9a0701040d93fa0f2",991,"Cooking fat",2,
"024a80a27283471e857285cf751564ae",150,"Salt",2,
"02617e359bfc48cbaa6ff204cb915790",127,"Cooking oil",2,
"02617e359bfc48cbaa6ff204cb915790",150,"Salt",1,"US-2657"
"02617e359bfc48cbaa6ff204cb915790",991,"Cooking fat",1,"UF-2657"
"02931fcf3f8c4454919998cd30c933d3",127,"Cooking oil",1,"UO-1429"
"02931fcf3f8c4454919998cd30c933d3",150,"Salt",1,"US-1429"
"02931fcf3f8c4454919998cd30c933d3",991,"Cooking fat",1,"UF-1429"
"02a50a54fb3a4c9f989e246cb0c9200e",127,"Cooking oil",2,
"02a50a54fb3a4c9f989e246cb0c9200e",150,"Salt",2,
"02a50a54fb3a4c9f989e246cb0c9200e",991,"Cooking fat",2,
"02ad65979b5d4f9e8654d5912304304d",127,"Cooking oil",2,
"02ad65979b5d4f9e8654d5912304304d",150,"Salt",2,
"02ad65979b5d4f9e8654d5912304304d",991,"Cooking fat",2,
"031fbb84e2af4d5e889ccc7492ecbf55",127,"Cooking oil",1,"UO-1087"
"031fbb84e2af4d5e889ccc7492ecbf55",150,"Salt",2,
"031fbb84e2af4d5e889ccc7492ecbf55",991,"Cooking fat",2,
"03292ce0d7f24e42801500e576140648",127,"Cooking oil",2,
"03292ce0d7f24e42801500e576140648",150,"Salt",2,
"03292ce0d7f24e42801500e576140648",991,"Cooking fat",2,
"0349cc41571b406e889303445fe7e34c",127,"Cooking oil",1,"UO-2579"
"0349cc41571b406e889303445fe7e34c",150,"Salt",1,"US-2579"
"0349cc41571b406e889303445fe7e34c",991,"Cooking fat",2,
"034e9ec479764a228fa3ebdd8d359cf0",127,"Cooking oil",2,
"034e9ec479764a228fa3ebdd8d359cf0",150,"Salt",2,
"034e9ec479764a228fa3ebdd8d359cf0",991,"Cooking fat",2,
"034f0004fa7a4a25b4aacdb196177f2b",127,"Cooking oil",2,
"034f0004fa7a4a25b4aacdb196177f2b",150,"Salt",1,"US-4092"
"034f0004fa7a4a25b4aacdb196177f2b",991,"Cooking fat",2,
"035c9f46cc9a41f9bacdbe9a5de03d8c",127,"Cooking oil",1,"UO-1470"
"035c9f46cc9a41f9bacdbe9a5de03d8c",150,"Salt",2,
"035c9f46cc9a41f9bacdbe9a5de03d8c",991,"Cooking fat",2,
"0367b97ab6cb487095e018a1ffdf17a9",127,"Cooking oil",1,"UO-2508"
"0367b97ab6cb487095e018a1ffdf17a9",150,"Salt",2,
"0367b97ab6cb487095e018a1ffdf17a9",991,"Cooking fat",2,
"036b190944154e22bbd0d574a8d08be0",127,"Cooking oil",2,
"036b190944154e22bbd0d574a8d08be0",150,"Salt",1,"US-2653"
"036b190944154e22bbd0d574a8d08be0",991,"Cooking fat",2,
"038bf67186f048d1966a17475bedd578",150,"Salt",2,
"03c42091117d479097bf8be7a9dfebb1",150,"Salt",2,
"03d4f5f6631747878b76ad399fb2b80c",150,"Salt",2,
"03dcda394fdc4008868fe663e6f762c8",127,"Cooking oil",2,
"03dcda394fdc4008868fe663e6f762c8",150,"Salt",2,
"03dcda394fdc4008868fe663e6f762c8",991,"Cooking fat",2,
"03f862af923942ad9f37fa65f52a8f3d",150,"Salt",2,
"04077875a3894775bb24f2f42e7adc67",150,"Salt",2,
"04079e5069be47278c3ec71eb77a8997",150,"Salt",2,
"040ecbcfb343431bb6645772dd87c2bb",127,"Cooking oil",2,
"040ecbcfb343431bb6645772dd87c2bb",150,"Salt",2,
"040ecbcfb343431bb6645772dd87c2bb",991,"Cooking fat",2,
"0418981cf19046bd930dbbfe8af3c1c4",127,"Cooking oil",2,
"0418981cf19046bd930dbbfe8af3c1c4",150,"Salt",2,
"0418981cf19046bd930dbbfe8af3c1c4",991,"Cooking fat",2,
"042c4cc37a904f18a05671d5323d78d3",127,"Cooking oil",1,"UO-1615"
"042c4cc37a904f18a05671d5323d78d3",150,"Salt",1,"US-1615"
"042c4cc37a904f18a05671d5323d78d3",991,"Cooking fat",2,
"043058c9577d4e2ebeeb2c62c20acb22",150,"Salt",2,
"0436a29148344151a89c6a941e52e1d0",127,"Cooking oil",1,"UO-1417"
"0436a29148344151a89c6a941e52e1d0",150,"Salt",2,
"0436a29148344151a89c6a941e52e1d0",991,"Cooking fat",2,
"044525d42e7547cb844fa01062ed908c",127,"Cooking oil",2,
"044525d42e7547cb844fa01062ed908c",150,"Salt",2,
"044525d42e7547cb844fa01062ed908c",991,"Cooking fat",2,
"044c92119a6e44b6bd74f41b5131f7fb",127,"Cooking oil",2,
"044c92119a6e44b6bd74f41b5131f7fb",150,"Salt",1,"US-2115"
"044c92119a6e44b6bd74f41b5131f7fb",991,"Cooking fat",2,
"044fe31f64084ca4bb3d0474820c95ff",127,"Cooking oil",1,"UO-2631"
"044fe31f64084ca4bb3d0474820c95ff",150,"Salt",2,
"044fe31f64084ca4bb3d0474820c95ff",991,"Cooking fat",2,
"0475d96d540e42f48e10f7e052c18533",150,"Salt",1,"US-1994"
"048117d75d7e486587c27ca4bb7d294f",127,"Cooking oil",2,
"048117d75d7e486587c27ca4bb7d294f",150,"Salt",2,
"048117d75d7e486587c27ca4bb7d294f",991,"Cooking fat",2,
"04a6909c35374a8088daf007b717dba1",127,"Cooking oil",1,"UO-2082"
"04a6909c35374a8088daf007b717dba1",150,"Salt",2,
"04a6909c35374a8088daf007b717dba1",991,"Cooking fat",2,
"04adcf9e96a14cc2879a6d47da1a2ae9",150,"Salt",2,
"04beb1f67d72438a95bbd2da5ae9bc56",127,"Cooking oil",1,"UO-2058"
"04beb1f67d72438a95bbd2da5ae9bc56",150,"Salt",2,
"04beb1f67d72438a95bbd2da5ae9bc56",991,"Cooking fat",2,
"04e3098df42742428550ed1754b3cce9",127,"Cooking oil",2,
"04e3098df42742428550ed1754b3cce9",150,"Salt",2,
"04e3098df42742428550ed1754b3cce9",991,"Cooking fat",2,
"04e34e77abfc4a14a6ddb3f8604a51ee",127,"Cooking oil",2,
"04e34e77abfc4a14a6ddb3f8604a51ee",150,"Salt",1,"US-4189"
"04e34e77abfc4a14a6ddb3f8604a51ee",991,"Cooking fat",2,
"04fbfbe14e064de88046b1bd162fb008",150,"Salt",2,
"05052c1f4a06454ca9f2ef68f4ed9918",127,"Cooking oil",2,
"05052c1f4a06454ca9f2ef68f4ed9918",150,"Salt",1,"US-1643"
"05052c1f4a06454ca9f2ef68f4ed9918",991,"Cooking fat",1,"UF-1643"
"053050b9f02d468dabfb5515b9f97be6",127,"Cooking oil",2,
"053050b9f02d468dabfb5515b9f97be6",150,"Salt",2,
"053050b9f02d468dabfb5515b9f97be6",991,"Cooking fat",2,
"0566d903b26649e59275f92f6118361d",127,"Cooking oil",1,"UO-2567"
"0566d903b26649e59275f92f6118361d",150,"Salt",2,
"0566d903b26649e59275f92f6118361d",991,"Cooking fat",2,
"056cb993abee42a89f67363f1b38f878",127,"Cooking oil",1,"##N/A##"
"056cb993abee42a89f67363f1b38f878",150,"Salt",1,"##N/A##"
"056cb993abee42a89f67363f1b38f878",991,"Cooking fat",2,
"056fa1dd91d740dcaa47fc4937363a95",150,"Salt",2,
"057535df5a63411bb13f906e251b9130",150,"Salt",1,"US-1587"
"057fc24f426f48fca061898d6efa4f49",127,"Cooking oil",2,
"057fc24f426f48fca061898d6efa4f49",150,"Salt",2,
"057fc24f426f48fca061898d6efa4f49",991,"Cooking fat",2,
"0583ffbf78c441f7828b4e53acdd71f1",127,"Cooking oil",2,
"0583ffbf78c441f7828b4e53acdd71f1",150,"Salt",1,"US-2419"
"0583ffbf78c441f7828b4e53acdd71f1",991,"Cooking fat",2,
"058bd214d86846f5949c782fb2f1bfbb",127,"Cooking oil",2,
"058bd214d86846f5949c782fb2f1bfbb",150,"Salt",1,"US-1727"
"058bd214d86846f5949c782fb2f1bfbb",991,"Cooking fat",2,
"0592013fe59d4dce8b33b8661323c86d",127,"Cooking oil",2,
"0592013fe59d4dce8b33b8661323c86d",150,"Salt",2,
"0592013fe59d4dce8b33b8661323c86d",991,"Cooking fat",2,
"05d8c19cfc8f47d4b66bd70bbad5407f",127,"Cooking oil",2,
"05d8c19cfc8f47d4b66bd70bbad5407f",150,"Salt",2,
"05d8c19cfc8f47d4b66bd70bbad5407f",991,"Cooking fat",2,
"05dca1a459fe4754bd19d0d175b4da74",127,"Cooking oil",2,
"05dca1a459fe4754bd19d0d175b4da74",150,"Salt",2,
"05dca1a459fe4754bd19d0d175b4da74",991,"Cooking fat",2,
"05e99dfa6f5a44a79677019330c423f7",127,"Cooking oil",2,
"05e99dfa6f5a44a79677019330c423f7",150,"Salt",2,
"05e99dfa6f5a44a79677019330c423f7",991,"Cooking fat",2,
"05ec278a95624c74957734e0ab70ff5b",127,"Cooking oil",2,
"05ec278a95624c74957734e0ab70ff5b",150,"Salt",1,"US-1364"
"05ec278a95624c74957734e0ab70ff5b",991,"Cooking fat",2,
"06270b496e1b4aa09b4906b0871c21b9",127,"Cooking oil",1,"UO-2206"
"06270b496e1b4aa09b4906b0871c21b9",150,"Salt",2,
"06270b496e1b4aa09b4906b0871c21b9",991,"Cooking fat",2,
"0634372d290947fc92bad833679f4f23",127,"Cooking oil",1,"UO-2226"
"0634372d290947fc92bad833679f4f23",150,"Salt",2,
"0634372d290947fc92bad833679f4f23",991,"Cooking fat",2,
"0667b6f1adac439db81e063ceead3b03",150,"Salt",2,
"068501d062324eb097b62ccfea8a5fa6",127,"Cooking oil",2,
"068501d062324eb097b62ccfea8a5fa6",150,"Salt",1,"US-5992"
"068501d062324eb097b62ccfea8a5fa6",991,"Cooking fat",2,
"069465eb8c264016bc63f2ba390ad118",127,"Cooking oil",2,
"069465eb8c264016bc63f2ba390ad118",150,"Salt",2,
"069465eb8c264016bc63f2ba390ad118",991,"Cooking fat",2,
"069ce1000ec94312a038a19b8efdd983",127,"Cooking oil",2,
"069ce1000ec94312a038a19b8efdd983",150,"Salt",2,
"069ce1000ec94312a038a19b8efdd983",991,"Cooking fat",2,
"06a3c5174fea45419046bfa97ea3c29b",127,"Cooking oil",2,
"06a3c5174fea45419046bfa97ea3c29b",150,"Salt",2,
"06a3c5174fea45419046bfa97ea3c29b",991,"Cooking fat",2,
"06afa3273f6a49a38b98ba52ba888ed8",150,"Salt",2,
"06b881a31ba7466e919d01bb09f5e672",127,"Cooking oil",2,
"06b881a31ba7466e919d01bb09f5e672",150,"Salt",2,
"06b881a31ba7466e919d01bb09f5e672",991,"Cooking fat",2,
"06ba04343a6e4f678e01eec018cac7db",127,"Cooking oil",2,
"06ba04343a6e4f678e01eec018cac7db",150,"Salt",1,"US-1283"
"06ba04343a6e4f678e01eec018cac7db",991,"Cooking fat",2,
"06c85056727c434f90b8215d4b1df0a2",127,"Cooking oil",1,"UO-3251"
"06c85056727c434f90b8215d4b1df0a2",150,"Salt",1,"US-3251"
"06c85056727c434f90b8215d4b1df0a2",991,"Cooking fat",2,
"06d940520a174c5c843dd683f49c2f95",127,"Cooking oil",2,
"06d940520a174c5c843dd683f49c2f95",150,"Salt",2,
"06d940520a174c5c843dd683f49c2f95",991,"Cooking fat",2,
"06e12afed6db4f9a99423fc4169cc802",127,"Cooking oil",2,
"06e12afed6db4f9a99423fc4169cc802",150,"Salt",2,
"06e12afed6db4f9a99423fc4169cc802",991,"Cooking fat",2,
"0700ac37276743c3a73536d56c21b04e",127,"Cooking oil",1,"UO-2219"
"0700ac37276743c3a73536d56c21b04e",150,"Salt",2,
"0700ac37276743c3a73536d56c21b04e",991,"Cooking fat",2,
"070b86808a434b1fb9f7f75af25bc594",127,"Cooking oil",2,
"070b86808a434b1fb9f7f75af25bc594",150,"Salt",2,
"070b86808a434b1fb9f7f75af25bc594",991,"Cooking fat",2,
"0731c33c39714e7a8fe032a4c6840fc5",127,"Cooking oil",2,
"0731c33c39714e7a8fe032a4c6840fc5",150,"Salt",2,
"0731c33c39714e7a8fe032a4c6840fc5",991,"Cooking fat",1,"UF-3389"
"0774323f6795452793f0f563fcf08d08",150,"Salt",2,
"07919f0a80fb43dc9dbbc762b869adbf",127,"Cooking oil",2,
"07919f0a80fb43dc9dbbc762b869adbf",150,"Salt",2,
"07919f0a80fb43dc9dbbc762b869adbf",991,"Cooking fat",2,
"0795321942c34174a89d745e644df105",127,"Cooking oil",1,"UO-2563"
"0795321942c34174a89d745e644df105",150,"Salt",2,
"0795321942c34174a89d745e644df105",991,"Cooking fat",2,
"07999cf798314e05b4cfb6005c1092cb",150,"Salt",2,
"07b307a143384b5cb48a35412b6788d6",127,"Cooking oil",1,"UO-2169"
"07b307a143384b5cb48a35412b6788d6",150,"Salt",1,"US-2169"
"07b307a143384b5cb48a35412b6788d6",991,"Cooking fat",1,"UF-2169"
"07c445ca0f284db081b29aa91ee7988e",127,"Cooking oil",2,
"07c445ca0f284db081b29aa91ee7988e",150,"Salt",2,
"07c445ca0f284db081b29aa91ee7988e",991,"Cooking fat",2,
"08004f29b4234c35bfbea5f38ced207a",150,"Salt",2,
"08211a3e91eb4227bb201b44001ea21b",150,"Salt",1,"US-1436"
"087401704b5c4990995dc6b7af8a6b0a",127,"Cooking oil",1,"UO-1616"
"087401704b5c4990995dc6b7af8a6b0a",150,"Salt",1,"US-1616"
"087401704b5c4990995dc6b7af8a6b0a",991,"Cooking fat",2,
"08a2071726b54dae84b17e7b8017588d",127,"Cooking oil",1,"UO-1089"
"08a2071726b54dae84b17e7b8017588d",150,"Salt",2,
"08a2071726b54dae84b17e7b8017588d",991,"Cooking fat",2,
"08a228d06e764dc49fbbf00d813880b8",127,"Cooking oil",2,
"08a228d06e764dc49fbbf00d813880b8",150,"Salt",2,
"08a228d06e764dc49fbbf00d813880b8",991,"Cooking fat",2,
"08a88de2ed7b46648366085ed5bef13b",127,"Cooking oil",2,
"08a88de2ed7b46648366085ed5bef13b",150,"Salt",2,
"08a88de2ed7b46648366085ed5bef13b",991,"Cooking fat",2,
"08b6ed18afcc4300b2c916163a857437",150,"Salt",1,"US-3615"
"08f3d91754ba4911865d5913f19172fc",150,"Salt",1,"US-2569"
"08f99cd6418241cda1841d6a644074f9",150,"Salt",2,
"09296489a3b04339968d856b0b9e44d9",150,"Salt",1,"US-2643"
"092f4d6bc16a49d19c00dbf10038cb3b",127,"Cooking oil",,
"092f4d6bc16a49d19c00dbf10038cb3b",150,"Salt",2,
"092f4d6bc16a49d19c00dbf10038cb3b",991,"Cooking fat",,
"097ea672d9004012a57a7084a54061ab",127,"Cooking oil",2,
"097ea672d9004012a57a7084a54061ab",150,"Salt",2,
"097ea672d9004012a57a7084a54061ab",991,"Cooking fat",2,
"098efabf1d9245b6bb031ca40ce7e36c",150,"Salt",2,
"0995195942ce4c61bd7c381d8e79e6a6",127,"Cooking oil",2,
"0995195942ce4c61bd7c381d8e79e6a6",150,"Salt",2,
"0995195942ce4c61bd7c381d8e79e6a6",991,"Cooking fat",2,
"099f3b6855dc42158237614c25bfb571",127,"Cooking oil",2,
"099f3b6855dc42158237614c25bfb571",150,"Salt",2,
"099f3b6855dc42158237614c25bfb571",991,"Cooking fat",2,
"09c865966539496a8242c1018e90ef5f",150,"Salt",2,
"09eb11716b004f3db526ff17444387ae",127,"Cooking oil",2,
"09eb11716b004f3db526ff17444387ae",150,"Salt",2,
"09eb11716b004f3db526ff17444387ae",991,"Cooking fat",2,
"09f80c42c3cd41999116b6c09d0fe5fb",127,"Cooking oil",1,"UO-1788"
"09f80c42c3cd41999116b6c09d0fe5fb",150,"Salt",2,
"09f80c42c3cd41999116b6c09d0fe5fb",991,"Cooking fat",1,"UF-1788"
"0a049c02fa2046ebbd60a6af568aabae",127,"Cooking oil",2,
"0a049c02fa2046ebbd60a6af568aabae",150,"Salt",1,"US-2539"
"0a049c02fa2046ebbd60a6af568aabae",991,"Cooking fat",2,
"0a27264e6c624c93b389332b558be807",150,"Salt",1,"US-1965"
"0a32ecc59b4543d991993511531bcbdc",127,"Cooking oil",1,"UO-3310"
"0a32ecc59b4543d991993511531bcbdc",150,"Salt",2,
"0a32ecc59b4543d991993511531bcbdc",991,"Cooking fat",2,
"0a396d4827b24ea099971029d14bd817",127,"Cooking oil",2,
"0a396d4827b24ea099971029d14bd817",150,"Salt",2,
"0a396d4827b24ea099971029d14bd817",991,"Cooking fat",2,
"0a3fa4ae17e5425780754137a4e60987",150,"Salt",2,
"0a48cd3173ac4599b9b722ced71b423c",127,"Cooking oil",1,"UO-1803"
"0a48cd3173ac4599b9b722ced71b423c",150,"Salt",2,
"0a48cd3173ac4599b9b722ced71b423c",991,"Cooking fat",2,
"0a72dc2637f34612b2fa35e4d4b6cc60",127,"Cooking oil",2,
"0a72dc2637f34612b2fa35e4d4b6cc60",150,"Salt",2,
"0a72dc2637f34612b2fa35e4d4b6cc60",991,"Cooking fat",2,
"0a762151047143afb734fafb9be8275c",127,"Cooking oil",1,"UO-1412"
"0a762151047143afb734fafb9be8275c",150,"Salt",1,"US-1412"
"0a762151047143afb734fafb9be8275c",991,"Cooking fat",2,
"0ab5e0705d5b40beb0a2e79f49183356",127,"Cooking oil",2,
"0ab5e0705d5b40beb0a2e79f49183356",150,"Salt",2,
"0ab5e0705d5b40beb0a2e79f49183356",991,"Cooking fat",2,
"0ac58cb4e81e452daa6d87169534e762",127,"Cooking oil",1,"UO-2111"
"0ac58cb4e81e452daa6d87169534e762",150,"Salt",2,
"0ac58cb4e81e452daa6d87169534e762",991,"Cooking fat",2,
"0acb15747a494855adae111b05ec1af2",127,"Cooking oil",2,
"0acb15747a494855adae111b05ec1af2",150,"Salt",2,
"0acb15747a494855adae111b05ec1af2",991,"Cooking fat",2,
"0ad4b37a214a455aa6080a4f197e50ca",150,"Salt",1,"US-1007"
"0b195170755f4768ac89c0dc1d08645a",127,"Cooking oil",1,"UO-1064"
"0b195170755f4768ac89c0dc1d08645a",150,"Salt",2,
"0b195170755f4768ac89c0dc1d08645a",991,"Cooking fat",2,
"0b1dda6c9bc74ad6b7b18d9de2497355",127,"Cooking oil",1,"UO-1724"
"0b1dda6c9bc74ad6b7b18d9de2497355",150,"Salt",2,
"0b1dda6c9bc74ad6b7b18d9de2497355",991,"Cooking fat",2,
"0b5e2febcfa54a2aa9c1369db7b62f76",127,"Cooking oil",1,"UO-2320"
"0b5e2febcfa54a2aa9c1369db7b62f76",150,"Salt",1,"US-2320"
"0b5e2febcfa54a2aa9c1369db7b62f76",991,"Cooking fat",2,
"0b7f6c75dec34a6bb3c0990283c92be6",127,"Cooking oil",2,
"0b7f6c75dec34a6bb3c0990283c92be6",150,"Salt",2,
"0b7f6c75dec34a6bb3c0990283c92be6",991,"Cooking fat",2,
"0b9218083309477ab20ef5b6e13a2ab0",127,"Cooking oil",2,
"0b9218083309477ab20ef5b6e13a2ab0",150,"Salt",1,"US-3532"
"0b9218083309477ab20ef5b6e13a2ab0",991,"Cooking fat",2,
"0b922762b1a14c53a9f6bbd6ef3ff337",127,"Cooking oil",1,"UO-2465"
