"t0_hhid","interview__key","hhid","t0_bizroster__id","s12q03a","entID_unps","t0_entDesc","t0_entLoc","t0_entStartMon","t0_entStartYear","t0_operateEnt","t0_whyNotOperate","h12q01","h12q01_1","h12q02_oneDigit","h12q02_twoDigit","h12q02_threeDigit","h12q02_fourDigit","h12q02_superConfirm","h12q03","h12q04","h12q15","h12q16","h12q16b","h12q05","h12q05b","h12q06_1","h12q07_1","h12q07_1other","h12q08a","h12q08b","h12q08c","h12q08d","h12q08e","h12q19a","h12q19b","h12q09","h12q20","h12q10","h12q11A","h12q11B","h12q12","h12q13","h12q14","h12q17","h12q18A","h12q18B","h12q18C","h12q18D","h12q18E","h12q18F","h12q18G","h12q18H","h12q18I","h12q18J","h12q18K","h12q18L","h12q18M","h12q18N","h12q18O","h12q18P","h12q18X","h12q18Q","h12q18_other","h12q21","h12q22"
"H0990801","21-17-86-33","07b307a143384b5cb48a35412b6788d6",1,"SHOE REPAIRING (OLD ENTERPRISE)","1","SHOE REPAIRING (OLD ENTERPRISE)",1,98,2000,1,,"REPAIR OF FOOTWEAR",2,191111,95,952,9523,1,1,2000,2,1,,2,,2,,,1,,,,,1,,12,,150000,0,0,,30000,0,3,,1,1,,,,,,,,,,,,,,,,,2,2
"H0990801","21-17-86-33","07b307a143384b5cb48a35412b6788d6",2,"SELLING OF FUEL (OLD ENTERPRISE)","2","SELLING OF FUEL (OLD ENTERPRISE)",1,98,2000,1,,"RETAIL SALE OF KEROSENE",2,71111,47,479,4799,1,1,2000,1,1,,2,,2,,,1,,,,,1,,12,,500000,0,1,0,150000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H0990801","21-17-86-33","07b307a143384b5cb48a35412b6788d6",4,"SELLING OF BEVERAGES (OLD ENTERPRISE)","4","SELLING OF BEVERAGES (OLD ENTERPRISE)",1,98,2000,1,,"SALE OF SOFT DRINKS AND BEVERAGES",3,91111,56,563,5630,1,2,2000,1,1,,2,,2,,,2,,,,,2,,12,,400000,0,1,0,0,150000,1,,,,,,,,,,,,,,,,,,,,2,2
"H0990801","21-17-86-33","07b307a143384b5cb48a35412b6788d6",3,"RUNNING A RESTAURANT","3","RUNNING A RESTAURANT",1,98,2000,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H3050501","77-76-41-49","08004f29b4234c35bfbea5f38ced207a",1,"AGRO-VET INPUT SHOP","1","DRUG SHOP",5,1,1993,1,,"selling of Agro Vet inputs",2,71111,47,478,4789,,1,1993,4,1,,2,,1,8,,1,2,,,,1,,12,,3000000,0,0,,0,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H4260701","16-81-34-14","098efabf1d9245b6bb031ca40ce7e36c",1,"TAILORING OF CLOTHES AND FABRIC","1","TAILORING OF CLOTHES AND FABRIC",1,1,1998,1,,"TAILORING OF CLOTHES AND FABRIC",1,31111,13,131,1313,1,1,1998,7,1,,2,,2,,,1,,,,,1,,12,,150000,0,0,,50000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H1070602","97-36-48-22","09eb11716b004f3db526ff17444387ae",1,"WHOLESALE OF CHARCOAL","1","WHOLESALE OF CHARCOAL",2,98,2006,1,,"WHOLESALE OF CHARCOAL",3,71111,46,464,4649,1,1,2013,2,1,,1,,2,,,1,2,,,,1,2,5,1,350000,0,0,,0,60000,1,,,,,,,,,,,,,,,,,,,,2,2
"H3100401","40-44-97-66","0a27264e6c624c93b389332b558be807",1,"BREWING LOCAL BEER","1","BREWING LOCAL BEER",7,98,1978,1,,"BREWING BEAR",1,31111,11,110,1102,1,1,1984,2,1,,2,,2,,,1,2,,,,1,2,12,,120000,1,0,20000,50000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H3581001","92-23-56-75","0b9218083309477ab20ef5b6e13a2ab0",1,"DRIVING A BODABODA","4","DRIVING A BODABODA",8,5,2016,1,,"BODA BODA BUSINESS",2,81111,49,492,4921,1,1,2016,8,1,,2,,2,,,1,,,,,1,2,12,,900000,0,2,0,0,300000,1,,,,,,,,,,,,,,,,,,,,2,2
"H1201001","09-40-08-49","0df38d4bdeaa40a8b3407e57cc315e31",1,"BRICK MAKING","1","BRICK MAKING",2,2,2012,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
