"t0_hhid","interview__key","hhid","t0_bizroster__id","s12q03a","entID_unps","t0_entDesc","t0_entLoc","t0_entStartMon","t0_entStartYear","t0_operateEnt","t0_whyNotOperate","h12q01","h12q01_1","h12q02_oneDigit","h12q02_twoDigit","h12q02_threeDigit","h12q02_fourDigit","h12q02_superConfirm","h12q03","h12q04","h12q15","h12q16","h12q16b","h12q05","h12q05b","h12q06_1","h12q07_1","h12q07_1other","h12q08a","h12q08b","h12q08c","h12q08d","h12q08e","h12q19a","h12q19b","h12q09","h12q20","h12q10","h12q11A","h12q11B","h12q12","h12q13","h12q14","h12q17","h12q18A","h12q18B","h12q18C","h12q18D","h12q18E","h12q18F","h12q18G","h12q18H","h12q18I","h12q18J","h12q18K","h12q18L","h12q18M","h12q18N","h12q18O","h12q18P","h12q18X","h12q18Q","h12q18_other","h12q21","h12q22"
"H2950201","51-15-55-47","1af73001aa914b64b6d10f3f6157e081",2,"GROCCERY","2","GROCCERY",4,98,1999,1,,"Retail shop",2,71111,47,471,4719,1,2,2014,1,1,,2,,2,,,2,,,,,2,,3,2,800000,0,1,0,500000,0,2,,,1,,,,,,,,,,,,,,,,,2,2
"H3960801","49-53-80-11","1b1ff5ccd14147ea971879bf82e54780",1,"BURNING AND SELLING CHARCOAL","1","BURNING CHARCOAL",8,98,2005,1,,"BURNING AND SELLING CHARCOAL",1,31111,32,329,3290,1,3,2013,8,1,,1,,2,,,1,3,,,,1,3,12,,40000,0,0,,0,0,2,,,,,,,1,,,,,,,,,,,,,2,2
"H0510801","67-84-82-90","1b8f63cdd081456c8598deeab3c32140",1,"BLACKSMITHING (OLD ENTERPRISE)","1","BLACKSMITHING (OLD ENTERPRISE)",6,98,2004,1,,"Blacksmithing",1,31111,28,282,2822,2,1,1995,1,1,,2,,2,,,1,,,,,1,,12,,500000,0,0,,250000,50000,2,1,,,,,,,,,,,,,,,,,,,2,2
"H4000701","34-92-15-77","1ba46e5f44f84f31936a8e9e2d8f7e49",1,"REPARES BICYCLES","1","REPARES BICYCLES",4,2,2005,1,,"repairs bicycles",2,191111,96,960,9609,,1,1986,1,1,,2,,2,,,1,,,,,1,,2,2,120000,0,0,,20000,0,2,1,1,,,,,,,,,,,,,,,,,,2,2
"H2110901","53-21-40-43","1d3e82924a9d449ab1ff8838a10ed95b",1,"SELLING BEVARAGES AND ALCOHOLIC DRINKS","1","SELLING BEVARAGES AND ALCOHOLIC DRINKS",2,98,2006,1,,"SELLING BEVERAGES",3,71111,47,472,4722,,1,2012,7,1,,2,,2,,,1,,,,,1,,12,,,,,,,,98,,,,,,,,,,,,,,,,,,,,2,2
"H2110901","53-21-40-43","1d3e82924a9d449ab1ff8838a10ed95b",2,"GRINDING SIMSIM PASTE","2","GRINDING SIMSIM PASTE",2,98,2006,1,,"GRINDING ODI",1,31111,10,107,1079,,3,2015,7,1,,2,,2,,,3,,,,,3,,12,,60000,0,0,,0,20000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2350902","94-91-31-33","1d5566b18e9d4d44a0aa67e3b1d07051",1,"RESTUARANT","1","RESTUARAND",6,1,1995,1,,"RESTAURANT",2,91111,56,561,5610,1,2,1991,2,1,,2,,2,,,2,6,,,,2,,12,,4962000,5,2,560000,3380000,542000,2,1,1,1,,,,1,,,,,,,,,,,,,2,2
"H3030903","93-60-86-14","1df0145a0ab24b12a2d71a32368f7c20",1,"PHONE REPAIR AND CD BURNING","1","PHONE REPAIR AND CD BURNING",5,4,2010,1,,"repair of electronics",2,191111,95,951,9512,1,2,2000,8,1,,2,,2,,,2,,,,,2,,12,,300000,0,0,,10000,0,3,,1,,,,,,,,,,,,,,,,,,2,2
"H3910701","39-15-48-25","1e6d3e4b71e8433ebec03f89d6b099b9",1,"SALOON","1","SALOON",7,98,2016,1,,"Barber saloon",2,191111,96,960,9609,,1,2016,7,1,,2,,2,,,1,,,,,1,,3,2,100000,1,0,20000,0,45000,2,1,,1,,,,,,,,,,,,,,,,,2,2
"H3910701","39-15-48-25","1e6d3e4b71e8433ebec03f89d6b099b9",2,"MILLING MACHINE","2","MILLING MACHINE",2,98,2015,1,,"operates a grinding Machine",1,31111,10,106,1062,,1,2015,1,1,,2,,2,,,1,2,,,,1,,12,,40000,0,0,,0,18000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2171001","74-53-80-77","1ed5c910418a4333a97bc91869250c15",1,"SELLING FIREWOOD","1","SELLING FIREWOOD",4,8,2009,1,,"FIREWOOD SELLER",2,11111,2,23222,230,1,1,2005,8,1,,1,,2,,,3,,,,,3,,8,1,192000,0,0,,0,0,3,,,,,,,,,,,,,,,,,1,,"DISTANCE FROM THE COLLECTION POINT  AND THE SCARCITY OF FIRE WOOD.",2,2
"H2140501","54-40-72-70","1ee1ef1774294ebe8767b0cf2f71cb8a",1,"BREWING AND SELLING MARWA","1","BREWING AND SELLING MARWA",6,7,2011,1,,"BREWING AND SELLING KWETE",1,31111,11,110,1103,1,5,2016,7,1,,2,,2,,,5,,,,,6,,5,1,60000,0,1,0,30000,0,3,,1,,,,,,,,,,,,,,,,,,2,2
"H1001001","63-21-46-54","1fa199cd9d254cd08573b777195caae0",1,"MOTOR GARAGE","1","MOTOR GARAGE",7,98,1965,1,,"Motor vehicle garage",2,71111,45,452,4520,1,1,1965,7,1,,2,,2,,,1,,,,,1,,12,,2000000,3,2,500000,0,0,1,,,,,,,,,,,,,,,,,,,,1,1
"H3960501","74-85-18-68","1fad9c71612d44ec8214de7094eecb27",1,"BURNING CHARCOAL","1","BURNINGCHARCOAL",8,98,1995,1,,"BURNING CHARCOAL",2,11111,2,22222,220,1,1,2000,4,1,,1,,2,,,1,2,,,,1,2,8,1,30000,0,0,,0,0,3,1,,,,,,,,,,,,,,,,,,,2,2
"H3260701","87-06-66-15","1ffede5b0b0b47e7ad8c4596a2ddb87e",1,"SELLING FRUITS IN THE MARKET","1","SELLING FRUITS IN THE MARKET",4,4,1990,1,,"RETAIL SALE OF FRUITS AND VEGETABLES",2,71111,47,472,4721,1,1,1990,4,1,,2,,2,,,1,,,,,1,,12,,10000000,1,0,300000,6000000,1000000,1,,,,,,,,,,,,,,,,,,,,2,2
"H0360502","55-22-20-24","20184a85eee84d088e2c6d4e22b6e8b2",1,"OPERATES A SMALL BAR INSIDE RESIDENCE","1","OPERATES A SMALL BAR INSIDE RESIDENCE",1,1,2015,1,,"retail sale of beer",3,91111,56,563,5630,1,1,2015,1,1,,2,,2,,,1,,,,,1,,12,,350000,0,0,,150000,50000,2,1,,,,,,,,,,,,,,,,,,,2,2
"H1140301","29-41-42-58","21b39e42a3fe417d8faac9e6f130d7fe",1,"SELLS SECOND HAND CLOTHES IN THE MARKET","1","SELLS SECOND HAND CLOTHES IN THE MARKET",4,98,2013,1,,"RETAIL SALE OF SECOND HAND CLOTHES IN MARKETS",2,71111,47,478,4782,1,1,2015,8,1,,2,,2,,,1,,,,,1,,9,1,420000,0,0,,150000,150000,2,,,1,,,,,,,,,,,,,,1,,"INCREASED OPERATIONAL COSTS YET SALES ARE LOW",2,2
"H3100601","16-47-16-09","21edfe97cd3b4d8b95d3bf4876da3784",2,"BREWING AND DISTILLING WARAGI","2","BREWING AND DISTILLING WARAGI",2,98,1990,1,,"BREWING AND DIDTILLING OF WARAGI",1,31111,11,110,1101,1,1,1984,7,1,,2,,2,,,1,2,,,,1,,12,,600000,1,1,32000,0,15000,1,,,,,,,,,,,,,,,,,,,,2,2
"H3100601","16-47-16-09","21edfe97cd3b4d8b95d3bf4876da3784",1,"GROCERY SHOP","1","GROCERY SHOP",4,8,1999,1,,"RETAIL SELL OF GENENAL MERCHADIZE",2,71111,47,478,4789,1,1,1995,7,2,,2,,2,,,1,,,,,1,,12,,1080000,0,1,0,1000000,5000,1,,,,,,,,,,,,,,,,,,,,2,2
"H0900701","15-99-09-93","22750893266c4435af80e032a5e7b47e",1,"TREE NURSERY BED","1","TREE NURSERY BED",2,98,2016,1,,"TREE NURSERY BED",5,11111,1,13222,130,1,1,2016,1,1,,2,,2,,,1,2,,,,1,2,12,,300000,0,0,,0,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H2620904","47-50-40-57","22844fe158ea44cfae5adc224aa11ad0",1,"SELL OF SPARE PARTS","3","SELL OF SPARE PARTS",7,98,2016,1,,"SELLING  MOTORCYCLE  SPARE  PARTS",2,71111,45,454,4540,1,2,2016,6,1,,2,,1,2,,2,,,,,2,,12,,2000000,0,0,,1800000,0,3,1,,,,,,,,,1,,,,,,,,,,2,2
"H3360101","07-75-38-41","23aacb17c7d14b7587e396301439e9b1",1,"RETAIL SALE SHOP","1","RETAIL SALE SHOP",5,1,2013,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0010101","77-45-83-39","2538dc9a5ee14cf9bd40d77d9dc8fd6f",1,"BAR","2","BAR",7,98,1996,1,,"selling alcohol",2,91111,56,563,5630,1,1,2005,1,1,,2,,1,8,,1,,,,,1,,12,,1500000,0,1,0,900000,0,3,1,,,,,,,,,,,,,,,,,,,2,2
"H1290701","11-78-05-06","25c2024587844800b222361a9ab26749",1,"RETAIL SALE OF LOCAL BREW","1","RETAIL SALE OF LOCAL BREW",4,1,2012,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0811001","95-21-55-21","26a5c6486a864323ad6c4c5609dcd6e2",1,"RETAIL SALE OF COFFEE","1","RETAIL SALE OF COFFEE",3,98,1990,1,,"RETAIL SALE OF COFFEE",2,71111,47,471,4719,2,1,1990,7,1,,2,,1,12,,1,,,,,1,,8,1,2000000,2,1,100000,1500000,50000,2,,,,,,,1,1,,,,,,,,,,,,2,2
"H3550902","93-78-85-08","2715f05e4bf74f6ab35ff0768a856cb6",1,"OPERATING A NURSERY SCHOOL","1","OPERATING A NURSERY SCHOOL",7,2,2013,1,,"operating a nursery school",2,161111,85,851,8510,1,1,2011,7,2,,2,,2,,,1,2,,,,1,2,12,,1700000,3,0,600000,100000,0,3,1,1,1,,,,,,,,,,,,,,,,,2,2
"H2150601","89-66-10-00","27601ff81e98425c8616230962088eb4",1,"BURNING CHARCOAL","1","BURNING CHARCOAL",8,98,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1590903","73-26-48-47","278f265f66af4decb24250d3bf8660af",1,"SELLING OF FIRE WOOD","1","SELLING OF FIRE WOOD",4,3,2000,1,,"SELLING FIREWOOD",2,71111,47,479,4799,1,2,2000,4,1,,1,,2,,,1,,,,,1,,8,1,20000,0,0,,0,0,2,1,,1,,,,,,,,,,,,,,,,,2,2
"H4000101","89-91-74-28","284b713e357144edb64d95deab3d0d6b",1,"RETAIL KIOSK","1","RETAIL KIOSK",6,12,2012,1,,"SELLING KIOSK",2,71111,47,478,4789,1,1,2014,6,1,,2,,2,,,1,,,,,1,,12,,1200000,0,1,0,750000,25000,1,,,,,,,,,,,,,,,,,,,,2,2
"H1860501","29-74-42-42","28e84f72b4134aa9828ea477592d1acc",1,"BREWING ALCOHOL","1","BREWING ALCOHOL",2,11,1989,1,,"Brewing local alcohol",1,31111,11,110,1101,,2,1998,2,1,,2,,2,,,2,,,,,2,,8,1,56000,0,0,,24000,5000,2,1,,,,,,,,,,,,,,,,,,,2,2
"H0841101","15-90-34-15","29360ece47804a54999c867dc8b6815b",1,"RETAIL SALE OF FOOD STUFF","1","RETAIL SALE OF FOOD STUFF",4,1,2007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H4240901","22-67-17-87","2976322f065f415cb140d32e065c5336",1,"PRODUCE TRADER","1","PRODUCE TRADER",1,98,2010,1,,"Produce trading",2,71111,46,462,4620,1,1,2010,2,1,,2,,1,1,,1,,,,,1,,12,,1200000,4,0,240000,8000000,600000,3,1,,1,,,,,,1,,,,,1,,,,,,2,2
"H0830803","56-12-40-95","29ca29e8dc634ddb98594b73b156ce57",1,"RETAIL SALE VIA STALLS","1","RETAIL SALE VIA STALLS",2,5,2014,1,,"SELLING ON A STALL",2,71111,47,478,4781,1,2,2014,7,1,,2,,2,,,1,2,,,,1,2,9,1,500000,0,0,,300000,15000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2161001","44-01-82-39","2a544415eb344585b7a6541e6901bfa9",1,"BREWING AND SELL OF MARWA/KWETE","1","BREWING AND SELL OF MARWA/KWETE",6,7,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H4300801","97-99-01-53","2abb452a63654ddeadd351815d76cbc6",2,"BODA BODA","2","BODA BODA",1,3,2007,1,,"BODA BODA TRANSPORT",2,81111,49,492,4922,1,1,2013,8,1,,2,,2,,,1,,,,,1,2,12,,380000,0,1,0,30000,240000,1,,,,,,,,,,,,,,,,,,,,2,2
"H4300801","97-99-01-53","2abb452a63654ddeadd351815d76cbc6",3,"SHOE REPAIR","3","SHOE REPAIR",1,3,2007,1,,"SHOE REPAIR",2,191111,95,952,9523,1,1,2012,2,1,,1,,2,,,1,2,,,,1,2,8,1,16000,0,0,,6000,0,2,1,,,,,,,,,,,,,,,,,,,2,2
"H4300801","97-99-01-53","2abb452a63654ddeadd351815d76cbc6",1,"RETAIL SHOP","1","RETAIL SHOP",1,3,2007,1,,"RETAIL TRADE OF GENERIAL MERCHANDISE",2,71111,47,477,4773,1,2,2011,5,1,,2,,2,,,1,2,,,,1,2,8,1,280000,0,0,,70000,0,2,,,1,,,,,,,,,,,,,,,,,2,2
"H0740601","65-57-54-30","2af8d5fd8b2a4458b30dddd1f3d5a9b8",1,"RETAIL SALE OF BEVERAGES (OLD)","1","RETAIL SALE OF BEVERAGES (OLD)",2,6,2013,1,,"RETAIL SALE OF ALCOHOL",2,71111,47,472,4722,1,1,2012,1,1,,2,,2,,,1,,,,,1,,12,,7500000,0,0,,300000,80000,1,,,,,,,,,,,,,,,,,,,,2,2
"H0740601","65-57-54-30","2af8d5fd8b2a4458b30dddd1f3d5a9b8",2,"RETAIL SALE OF VEGETABLES","2","RETAIL SALE OF VEGETABLES",2,6,2013,1,,"RETAIL SALE OF VEGETABLES",2,71111,47,478,4789,,1,2013,2,1,,2,,2,,,1,,,,,1,,5,2,300000,0,0,,100000,60000,3,,1,,,,,,,,,,,,,,,,,,2,2
"H2200401","85-56-17-33","2b330288fe5e430d97c750ee7d86941d",1,"SELLING GENERAL MERCHANDISE","1","SELLING GENERAL MERCHANDISE",7,3,2014,1,,"Shop",2,71111,47,478,4789,1,1,2009,2,1,,2,,2,,,1,,,,,1,,12,,900000,0,0,,500000,30000,1,,,,,,,,,,,,,,,,,,,,2,2
"H1650504","18-04-90-50","2b80b3ba5e2a48028b2fdff1c0491d2c",1,"BODA BODA RIDER","1","BODA BODA RIDER",6,12,2013,1,,"Body boda",2,81111,52,522,5221,1,3,2000,5,1,,2,,2,,,3,7,,,,3,7,12,,60000,0,0,,0,0,3,1,,,,,,,,,,,,,,,,,,,2,2
"H1720101","38-10-04-15","2c6cf92c21274e9a8650c9abd793f796",1,"RETAIL SALE OF FRESH FISH","1","RETAIL SALE OF FRESH FISH",2,9,2011,1,,"RETAILSALE OF FRES FISH",2,71111,47,479,4799,1,1,2005,7,1,,2,,2,,,1,,,,,1,,4,1,600000,0,0,,300000,40000,2,,1,,,,,1,,,,,,,,,,,,,2,2
"H1080301","46-30-32-82","2ca559391bad4f74a1c81b90c85d20da",1,"MILLING GRAINS","1","MILLING GRAINS",2,11,2009,1,,"GRAIN MILLING",2,31111,10,106,1061,1,1,2009,2,1,,2,,1,12,,1,7,8,,,1,2,7,1,400000,0,2,0,100000,150000,3,1,,,,,,,,,,,,,,,,1,,"TOO MUCH COMPETITION FOR THE SMALL CONSUMER BASE RESULTING FROM MANY OTHER SIMILAR ENTERPRISES  STARTING IN THE VILLAGE",2,2
"H3630102","89-93-48-18","2d6b5d1b5929451998ee1d8302f0db26",1,"OWNS SMALL DRUG SHOP","1","OWNS SMALL DRUG SHOP",1,6,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0811401","50-93-47-97","2d761d92f0234df79a38b7b53f7cfbeb",1,"HAIR SALON","1","SALOON MANGER AND BEAUTY SCHOOL",7,1,2002,1,,"hair salon",2,191111,96,960,9602,1,1,2003,5,1,,2,,2,,,1,,,,,1,,12,,3500000,0,1,0,2000000,180000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2590402","57-14-36-92","2db9bb876ffd4de3bf35e7b4c6d03c86",1,"GENERAL MARCHANDISE SHOP","1","GENERAL MARCHANDISE SHOP",1,2,2015,1,,"OPERATING A LOCAL BAR MAINLY WITH FEW GENERAL MERCHANDISE",2,71111,47,471,4719,1,2,2017,1,1,,2,,2,,,2,,,,,1,,1,2,450000,0,1,100000,200000,10000,2,1,1,1,,,,,,,,,,,,,,,,,2,2
"H2620304","52-34-37-33","2dccaa73a2344662a2071d34410deac2",1,"RUNS A BAR WITHIN HIS RESIDENCE","1","RUNS A BAR WITHIN HIS RESIDENCE",1,1,2014,1,,"BAR",3,71111,47,472,4722,1,1,2012,5,1,,2,,2,,,1,,,,,1,,2,2,220000,0,2,0,165000,25000,2,,,1,,,,,,,,,,,,,,,,,2,2
"H2021001","38-82-16-56","2e9733cda05240f49b924ecbf59345f8",1,"MANUFACTURE OF CHARCOAL","1","MANUFACTURE OF CHARCOAL",8,5,1994,1,,"Manufacturing charcoal",1,31111,16,162222,1629,1,5,2005,8,1,,1,,2,,,5,,,,,5,,5,1,180000,0,0,,0,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H4160501","44-27-33-23","2ea2a43b1e1943c7bdc4c6e239b5f390",1,"TRADES IN TIMBER","1","TRADES IN TIMBER",5,98,2008,1,,"sale of timber",2,11111,2,22222,220,1,1,2008,4,1,,2,,2,,,1,2,,,,1,2,12,,10000000,2,0,400000,0,200000,1,,,,,,,,,,,,,,,,,,,,2,1
"H1970201","04-47-64-50","2f68b099c50d417c83a3e0635884ecdb",1,"RETAIL SALE OF RAW TOBACCO","1","RETAIL SALE OF RAW TOBACCO",7,98,2013,1,,"retail sale of unprocessed tobacco",2,71111,47,478,4781,1,1,2013,4,1,,2,,2,,,1,,,,,1,,12,,78000,0,0,,35000,1000,1,,,,,,,,,,,,,,,,,,,,2,2
"H3380701","19-51-50-51","2f949f34cc564134a80b1ae768b8044e",3,"OWNING TRUCKS FOR SAND TRANSPORTING","3","OWNING TRUCKS FOR SAND TRANSPORTING",8,98,1995,1,,"OWNS TRUCKS FOR SAND TRANSPORTING",2,81111,49,492,4923,1,5,2006,1,1,,2,,2,,,5,7,,,,5,7,12,,2200000,1,0,400000,500000,100000,1,,,,,,,,,,,,,,,,,,,,2,2
"H3380701","19-51-50-51","2f949f34cc564134a80b1ae768b8044e",2,"TREATING PEOPLE (USING LOCAL HERBS)","2","TREATING PEOPLE (USING LOCAL HERBS)",2,98,1984,1,,"TREATING PEOPLE USING LOCAL HERBS",2,171111,86,869,8690,1,1,1980,7,4,,1,,2,,,1,,,,,1,,12,,7000000,0,2,0,0,500000,1,,,,,,,,,,,,,,,,,,,,2,2
"H3380701","19-51-50-51","2f949f34cc564134a80b1ae768b8044e",1,"SELLING WARAGI, BEER AND LOCAL ALCOHOL","1","SELLING WARAGI, BEER AND LOCAL ALCOHOL",1,98,2003,1,,"SELLING LOCAL BEER",3,91111,56,563,5630,1,2,1998,7,1,,2,,2,,,2,5,,,,2,5,12,,2000000,2,0,120000,1050000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H0900101","87-52-90-75","30b36dc4f6bb4416970bd6680d83fd5f",1,"BUYING AND RESELLING RAW MAIZE AND YAMS","2","BUYING AND RESELLING RAW MAIZE AND YAMS",2,98,2012,1,,"RETAIL SALE OF FRESH MAIZE AND YAMS",2,71111,47,472,4721,,2,2012,4,1,,2,,2,,,2,,,,,2,,10,1,800000,0,0,,450000,50000,2,1,,1,,,,,,,,,,,,,,,,,2,2
"H3650801","74-81-35-82","3186525b4ddd43b1a71a759e7090dc38",1,"OPERATING A SHOP","1","OPERATING A SHOP",2,2,2013,1,,"Retail shop seller",2,71111,47,478,4781,1,2,2015,7,1,,2,,2,,,2,3,,,,2,3,7,1,2800000,0,0,,2000000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H3650801","74-81-35-82","3186525b4ddd43b1a71a759e7090dc38",2,"SELLING FISH","2","SELLING FISH",4,1,1980,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0880602","32-55-61-97","32c5d81512f14980ae02591ccf41dc9c",1,"SELLING SWEETBANANAS","1","SELLING SWEETBANANAS",4,3,2015,1,,"selling sweet bananas",2,71111,46,462,4620,1,2,2014,7,1,,2,,2,,,2,,,,,2,,12,,1400000,0,0,,800000,320000,1,,,,,,,,,,,,,,,,,,,,2,2
"H3310301","03-24-49-80","33a6238ec98a4acb847dfbae8aa40837",1,"SELLING WARAJI2","1","SELLING WARAJI2",1,7,2010,1,,"selling waragi",3,91111,56,563,5630,1,1,2010,1,1,,2,,2,,,1,,,,,1,,12,,600000,0,0,,380000,0,3,1,,,,,,,,,,,,,,,,,,,2,2
"H3310301","03-24-49-80","33a6238ec98a4acb847dfbae8aa40837",2,"SELLING WARAJI1","2","SELLING WARAJI1",1,7,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H3780801","62-70-13-44","33c7964fa7204590af3946a5efff2be6",1,"HERBALIST","1","HERBALIST",1,98,1977,1,,"Treats people with local herbs  from plants",2,171111,86,869,8690,1,1,1970,1,1,,1,,2,,,1,,,,,1,,12,,50000,0,0,,0,3000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2620901","90-69-49-27","3431ae3c4f4c4c0381f084737f81e258",1,"HOME CLINIC","1","HOME CLINIC",1,98,1990,1,,"HOME OUTREACH",2,171111,87,871,8710,1,2,1998,1,1,,2,,2,,,2,,,,,2,,12,,550000,0,1,0,150000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H4020601","03-75-40-02","344fd6f624a940098ce14612c4439ed4",1,"MAKING LOCAL BREW","1","MAKING LOCAL BREW",2,12,1984,1,,"DISTILLING WARAGI",1,31111,11,110,1101,1,2,2000,2,1,,2,,1,8,,2,,,,,3,,12,,140000,0,0,,100000,0,2,1,,,,,,,,,,,,,,,,,,,2,2
"H2360501","01-42-37-52","36194e22c9c74182b0b2d6bac15feed3",1,"MANUFACTURE OF LOCAL YEAST","1","MANUFACTURE OF LOCAL BREW",1,98,1986,1,,"Manufacturing local yeast",1,31111,11,110,1103,1,1,2016,1,1,,6,,2,,,1,,,,,1,,12,,80000,0,0,,20000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H2960302","11-54-73-22","367888d0a52c45f6aee11c663b86cd5b",1,"CARTENTRY SHOP","1","CARTENTRY SHOP",2,1,1999,1,,"CARPENTRY AND JOINARY",1,31111,16,162222,1622,1,2,1999,2,1,,2,,2,,,2,,,,,2,,12,,70000,0,0,,350000,0,2,1,,1,,,,,,,,,,,,,,,,,2,2
"H0960401","64-62-52-69","374a067b48fc4cf4af08586aed7f24f2",3,"SELLING CLOTHES","3","SELLING CLOTHES",7,1,2005,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0960401","64-62-52-69","374a067b48fc4cf4af08586aed7f24f2",1,"SELLING STATIONERY","1","SELLING STATIONERY",7,1,2005,1,,"Retail sale of stationery",2,71111,47,477,4773,1,2,2005,7,1,,2,,2,,,1,2,,,,1,2,12,,850000,0,0,,500000,163000,2,1,,1,,,,,,,,,,,,,,,,,2,2
"H0960401","64-62-52-69","374a067b48fc4cf4af08586aed7f24f2",2,"SECRETARIAL SERVICES","2","SECRETARIAL SERVICES",7,1,2005,1,,"Secretarial services",2,101111,58,581,5811,1,2,2005,7,1,,2,,2,,,1,,,,,1,2,12,,675000,0,0,,320000,0,2,1,1,1,,,,,,,,,,,,,,,,,2,2
"H1670801","47-70-42-64","379e5ea7895b46a793034dee501de137",1,"BODA BODA RIDER","1","BODA BODA RIDER",3,1,2010,1,,"BODABODA RIDER",2,81111,49,492,4922,1,2,2010,8,1,,2,,2,,,1,,,,,1,,12,,250000,0,1,0,0,60000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2230801","38-70-78-42","382f2314c76c44f98155b7bea0e39654",1,"SLAUGHTERS ANIMALS AND SELLS MEAT","1","SLAUGHTERS ANIMALS AND SELLS MEAT",4,4,2010,1,,"RETAIL SALE OF PORK AT A ROADSIDE STALL",2,71111,47,472,4721,1,1,2008,6,1,,2,,2,,,1,2,,,,1,2,8,1,700000,1,0,42000,500000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H3580201","99-27-26-29","385ee20107e34ab1814d1afcafe49eac",1,"SELLING AGRICULTURAL PRODUCTS(JACKFRUIT)","1","SELLING AGRICULTURAL PRODUCTS",7,6,2007,1,,"Retail sale of Jackfruit",2,71111,47,478,4789,1,1,2009,8,1,,2,,2,,,1,,,,,1,,6,1,200000,0,0,,120000,0,3,1,,1,,,,,,,,,,,,,,,,,2,2
"H3580201","99-27-26-29","385ee20107e34ab1814d1afcafe49eac",2,"SEWING MACHINE OPERATOR","2","SEWING MACHINE OPERATOR",7,6,2007,1,,"Tailoring",1,191111,95,952,9529,1,2,2013,1,1,,2,,2,,,2,,,,,2,,9,1,20000,0,0,,4000,2500,2,1,,,,,,,,,,,,,,,,,,,2,2
"H0740301","00-51-59-28","38cad17a27a24d5eac5472d9e1af1df4",1,"SELLING OMENA","1","SELLING OMENA",4,8,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0690101","42-60-13-45","38ed64d5fa9a4c94bd07de2b07c421cf",1,"SELLING VEGETABLES (OLD)","1","SELLING VEGETABLES (OLD)",4,98,2000,1,,"Retail sale of Vegetables",2,71111,47,478,4789,1,2,2012,7,1,,2,,2,,,1,,,,,1,,12,,850000,0,0,,400000,60000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2660701","34-01-39-70","3a1ce0010d774561bbc4052314eb7168",1,"BAR","1","BAR",6,98,2009,1,,"A bar",3,71111,47,472,4722,1,2,2015,5,1,,2,,2,,,2,,,,,2,,12,,2180000,0,0,,1044000,260000,3,,,1,,,,,,,,,,,,,1,,,,2,2
"H1701001","46-61-82-55","3a5ff7fbc4804c359b81467f3ce2949f",1,"RETAIL TRADE OF GENERAL MERCHANDISE","1","RETAIL TRADE.",3,3,2002,1,,"RETAIL TRADE OF GENERAL MERCHANDISE",2,71111,47,471,4711,1,1,2004,7,1,,3,,1,2,,1,,,,,1,,12,,600000,0,1,0,200000,100000,2,,,1,,,,,,,,,,,,,,,,,2,2
"H2081102","77-66-93-17","3a79d4174ebf43b4b783108f54d0231b",1,"BODABODA MOTORCYCLE SERVICE","1","BODABODA MOTORCYCLE SERVICE",6,2,2011,1,,"BODABODA SERVICE",2,81111,49,492,4921,1,1,2008,8,1,,2,,2,,,1,,,,,1,,4,1,450000,0,0,,0,150000,2,1,,,,,,,,,,,,,,,,1,,"THE WOULD HAVE BEEN CONSUMERS DON'T HAVE MONEY",2,2
