"hhid","s16qa01","s16q02a","s16q02y","s16q02b","s10q03a","s16q03b","s16q03c","s16q03d","s16q04a","s16q04b","s16q04c","s16q01"
"108ebe553d994ae8bee890ebd2447fbf",1012,6,2017,3,2,2,2,2,3,10,,1
"11c06407f2894aa696b02bd42e1ad325",104,5,2018,2,2,2,1,1,1,,,1
"11cce051e10f463e9d807eac544f8298",1011,6,2018,2,1,2,1,1,3,,,1
"11d8e6e27924401f975392dbb4bb0cfb",1011,7,2017,3,1,1,1,1,5,,,1
"1254e7d5420845449d4b2d63d8f8b555",102,6,2018,1,2,2,1,2,3,,,1
"1254e7d5420845449d4b2d63d8f8b555",1011,3,2018,1,1,1,1,1,3,9,,1
"12766e74ad9f4d61aa6b76046aac52fb",114,12,2017,4,1,1,2,2,1,,,1
"1281f3064b5548e58be32cadc2a9904e",1012,7,2018,3,1,2,2,1,8,,,1
"12a8632b753f40c6959744f160ade8ff",115,9,2017,2,1,1,2,2,40,,,1
"132b1d61a34e4480a249784896828820",107,12,2017,12,1,1,1,1,5,,,1
"1335c4b914e64b079a15b82332bc3a62",1011,3,2017,3,1,2,2,2,3,8,,1
"1390e21908ee4f50811be182bc761552",107,10,2018,1,1,1,1,1,40,,,1
"139766f7e0d947e39160c8cdbe782c90",113,1,2017,10,1,1,2,2,40,,,1
"13d977f195b645efb9ca44fc286a7787",111,2,2018,2,1,2,2,2,9,8,13,1
"13d977f195b645efb9ca44fc286a7787",113,9,2017,1,1,2,2,2,8,10,,1
"13e8276c99cd496081c2d78d058b2a21",104,4,2017,7,1,1,1,1,8,10,40,1
"13e8276c99cd496081c2d78d058b2a21",1011,10,2017,6,1,1,1,1,8,10,40,1
"13f725a28a91400690aa319519c0dbf6",102,5,2018,6,2,2,1,1,1,14,8,1
"141911dad9474c8d879f53c8bfd6edee",1011,6,2017,3,1,1,1,2,3,,,1
"14284880612f4308abfe7ad7f51cdcf8",104,6,2017,2,1,1,1,1,40,,,1
"14284880612f4308abfe7ad7f51cdcf8",1011,5,2017,2,1,1,1,1,40,,,1
"1444adc6326d439eaeaba1546d02d59d",104,8,2017,2,1,2,1,2,8,3,1,1
"1444adc6326d439eaeaba1546d02d59d",1011,10,2017,4,1,2,1,2,3,8,9,1
"148096d4034442419b34538a7bc0dcf6",114,6,2018,1,2,1,2,2,96,,,1
"15112bb7ee2c432d83517c273c01cf0b",1011,4,2017,2,1,2,1,1,3,,,1
"1553987122bb403eac103947ccf14569",102,6,2017,3,1,2,1,1,40,,,1
"15d2c6fc84e440a2b5aafd69093157f2",1011,7,2018,3,1,2,1,1,8,,,1
"162c7da3721a4b318a125f5be123aa6e",111,4,2018,0,1,2,2,2,10,,,1
"1644cc9b10c946bfbfaaf1d972bf7258",1011,1,2017,12,1,2,1,2,8,,,1
"16658cfcf7f14257a2be301b98bb0de1",102,6,2018,1,1,2,1,2,8,9,1,1
"16658cfcf7f14257a2be301b98bb0de1",107,7,2018,3,1,2,2,1,40,,,1
"16658cfcf7f14257a2be301b98bb0de1",1011,8,2018,1,1,2,1,2,3,9,8,1
"16686bb795b54d2191e8f9df39d31e71",1012,6,2017,4,1,2,1,1,1,,,1
"168c7ae537cc4394827298958c374b1d",114,3,2018,0,1,1,2,2,8,40,,1
"168c7ae537cc4394827298958c374b1d",115,6,2017,0,1,1,1,1,8,40,,1
"16b2d34dfa854a44b17e4a2a1fe1dcbb",1011,12,2017,2,2,2,1,2,40,,,1
"16d236cfaa29413abb6fca138f544ec4",107,6,2018,2,1,2,1,1,40,,,1
"16d236cfaa29413abb6fca138f544ec4",115,11,2018,1,1,1,1,1,40,,,1
"170275f8246f4dbebe53a915373b5984",104,9,2017,4,1,2,1,2,1,3,4,1
"17378333324c461a88f1ea03eb7e316d",1011,10,2017,2,2,2,1,2,3,9,,1
"1743a758fcdf491da96b27fd16b6021d",1011,4,2017,3,1,1,1,1,8,,,1
"1776b63bada845109ea54547ac3216d1",1011,8,2017,3,1,2,1,1,40,,,1
"178cc701f007453aa380b10c4fa065a5",115,8,2017,6,1,1,2,2,8,,,1
"178ff51df3c54803bb149cb31659e262",1011,10,2017,3,2,2,1,2,3,,,1
"179b274951eb4449a19d4de2deede9d6",108,9,2017,3,1,2,2,2,1,,,1
"179b274951eb4449a19d4de2deede9d6",111,10,2017,0,1,2,2,2,1,,,1
"17c17bf8cc054454a67df0e8837d3cdc",118,4,2018,0,1,2,1,2,1,,,1
"17e4e8ad886f40a2ac66453002b2d901",102,7,2018,0,1,1,2,2,2,5,8,1
"17e4e8ad886f40a2ac66453002b2d901",1011,6,2018,2,1,1,1,2,1,5,8,1
"17f8b87f9b8f4438bf729c2dea6df75d",102,8,2017,2,1,1,1,1,4,13,,1
"17f8b87f9b8f4438bf729c2dea6df75d",1012,4,2017,2,1,1,1,1,3,5,,1
"18419b46a04f4771a998a61279eb3ae1",102,9,2017,1,1,2,1,1,3,8,,1
"1870fa2f0f224496a94898fe205ab40d",110,5,2018,1,1,2,2,2,8,,,1
"1881785b37cc4b85bc7022584c80427d",1011,9,2017,6,1,1,1,1,1,3,,1
"18f5bd33a6c246459366da21c90338a0",1011,7,2017,2,1,2,1,2,3,11,,1
"192ec8f527de48c3b711479b69a57f9c",1011,8,2017,2,1,2,1,2,6,1,,1
"192ec8f527de48c3b711479b69a57f9c",1012,3,2017,3,1,2,1,2,3,,,1
"195edf76aa334d659715445d11dbf790",111,7,2017,6,1,1,1,1,8,,,1
"195edf76aa334d659715445d11dbf790",1011,8,2017,2,1,1,1,1,8,,,1
"19ba694fada44ad7909f285e4535b890",104,8,2017,6,1,2,1,2,8,,,1
"1a23e276ec3548579b682aa6ac9a03f7",108,7,2017,3,1,2,2,1,9,8,3,1
"1a270f97ea7144f7ba1c5543ad51845a",107,10,2017,2,1,2,2,2,4,,,1
"1a270f97ea7144f7ba1c5543ad51845a",1032,9,2017,1,2,2,1,2,3,,,1
"1a5e7470e5e349f4bdf3b8bd8779b225",1011,8,2017,2,1,1,1,2,3,,,1
"1ba46e5f44f84f31936a8e9e2d8f7e49",102,10,2018,2,1,1,1,1,40,,,1
"1ba46e5f44f84f31936a8e9e2d8f7e49",104,6,2018,3,1,1,1,1,8,,,1
"1c287823471441bc9a6706f55636bfbb",104,8,2017,2,1,2,1,2,40,,,1
"1c287823471441bc9a6706f55636bfbb",1011,11,2017,4,1,2,1,2,40,,,1
"1c510d719fcc4e01ba4f19ddc878f6f2",1011,8,2018,3,2,2,1,2,3,8,1,1
"1d179e34397249688d8b0b57232a08b9",111,2,2018,1,1,1,1,1,8,,,1
"1d179e34397249688d8b0b57232a08b9",1011,6,2018,2,1,1,1,1,8,,,1
"1d4074d445f240d7a6ee9c65d83b920f",1011,6,2018,2,2,2,1,1,5,13,40,1
"1d8871f1764249158f6fd0c5bf6e97b7",104,4,2018,1,2,2,2,2,4,,,1
"1d8871f1764249158f6fd0c5bf6e97b7",115,10,2017,0,1,2,2,2,40,,,1
"1d8871f1764249158f6fd0c5bf6e97b7",1011,5,2018,9,1,2,1,1,8,40,,1
"1d98098213a349f1852ee5bd9db570cf",108,12,2017,2,1,2,2,1,9,,,1
"1d98098213a349f1852ee5bd9db570cf",114,10,2017,4,1,1,2,2,9,,,1
"1dcf29bde5ad4b38bfaca4a5f224acdc",115,11,2017,2,2,1,2,2,3,8,,1
"1dd61fdf96334543aebada64e960f897",1011,7,2018,4,1,2,1,1,3,4,5,1
"1ddfeff49903462293869d882e446f43",102,3,2018,3,2,2,1,2,1,3,,1
"1de6522cd7b14e11841c8c5d4f25e211",1011,5,2017,2,1,1,1,1,40,,,1
"1de958bacd3d4eeb82a70d6620757f8f",1011,7,2017,2,2,2,1,2,3,,,1
"1e67060d19bd4d0fa4d5116580862414",102,4,2018,2,1,1,1,1,3,9,,1
"1ec5f5dabb5c49679ddd4a558120328d",104,5,2017,3,1,2,1,2,40,,,1
"1ec5f5dabb5c49679ddd4a558120328d",1011,6,2017,1,1,2,1,2,8,9,,1
"1ee466cb73bb431abc6c0704ce7a012d",111,1,2018,3,1,1,1,1,3,40,15,1
"1f4d227ab74a442786bdcafb290b6a12",113,4,2018,0,1,1,1,1,1,8,,1
"1f9c7edda3584270b8139bfb81fef543",1011,10,2017,2,1,1,1,1,3,8,,1
"1fad9c71612d44ec8214de7094eecb27",1012,9,2017,7,1,1,1,1,2,1,3,1
"1fb71e7cd7cb4488a4a64e121fc228a3",1032,11,2017,2,1,1,1,2,5,,,1
"20184a85eee84d088e2c6d4e22b6e8b2",1012,6,2018,5,1,2,1,2,40,,,1
"208d9ccc80f049a29320cb05f3bb6ea2",1011,6,2017,3,2,2,1,1,3,,,1
"209b4a20b2974b4cb856b78659b82112",1012,9,2017,2,1,2,1,2,40,,,1
"21228dd963014e41a1abc66bc2e70d39",1011,9,2018,3,1,2,1,2,3,5,,1
"217a20d82c0446a4928918df038adca4",1012,9,2017,5,1,2,1,1,40,,,1
"217f9496103b47e39d7c19fed9636482",1011,11,2017,2,1,2,1,2,40,,,1
"21b39e42a3fe417d8faac9e6f130d7fe",118,3,2018,5,1,2,2,1,8,9,1,1
"21c1e89cf5b74595b06ebbd7bc9271c8",110,3,2017,2,1,2,2,1,1,,,1
"21c1e89cf5b74595b06ebbd7bc9271c8",114,2,2018,0,1,1,2,1,40,,,1
"220e6e6cd04e48fda927b0736a33769f",1011,10,2017,2,1,2,2,2,8,,,1
"22332408a42c448fa7ac8f958aea186f",111,7,2017,4,1,2,1,2,13,9,8,1
"22332408a42c448fa7ac8f958aea186f",1011,7,2017,4,1,2,1,2,3,5,9,1
"2266b696a04b4575886b75a1ad1092aa",118,10,2018,0,1,2,2,2,40,,,1
"22774e78ebc7419585623a08408c8f96",104,9,2017,2,1,2,1,2,4,,,1
"22844fe158ea44cfae5adc224aa11ad0",1011,7,2017,3,2,2,2,2,5,,,1
"22d8f0b251ec485696b45326748c7d05",1011,9,2017,3,1,2,1,2,8,1,3,1
"2333ca9510e4498f8d54172fa9728246",102,9,2018,1,1,1,2,1,1,3,8,1
"2333ca9510e4498f8d54172fa9728246",1011,5,2018,1,1,1,1,1,1,3,8,1
"2347da6cb24c4be0afebe738c920950f",1011,1,2018,4,1,2,1,1,3,15,,1
"23565eb411ee4d4fa2184a26d4c6fa91",115,9,2018,1,1,2,2,1,9,,,1
"236a304fee1f4de29bda56006ce6d313",1011,10,2017,3,1,2,1,1,10,4,,1
"23db11534e2c4249b81c216e8b966629",1011,9,2017,3,1,1,1,1,1,8,,1
"2421880afd1f46b190f4732fc8e5e835",110,8,2017,6,1,2,1,2,1,,,1
"242af9ef9b9949eaab0e473b709c427c",118,3,2018,2,2,2,1,1,1,,,1
"242bbe13d9f14404a1910a49c7472422",1012,4,2018,3,2,2,1,2,5,,,1
"24fa880a1a404aa5a78a631de175cfc2",108,11,2017,9,1,2,2,1,3,9,,1
"2570caa433474d98928ccd781062d647",1011,6,2018,3,1,2,1,2,10,3,,1
"25c1e14ebc92478c9687b83c28f200c7",1012,5,2018,3,1,2,1,1,3,15,,1
"25c2024587844800b222361a9ab26749",110,7,2018,1,1,2,1,1,1,8,,1
"25da72740d9c431ea4c8b8fe867f3a07",114,4,2018,0,1,2,2,1,40,3,,1
"26044ee7130241baba4bdc7a96acea48",1012,6,2018,2,1,2,1,2,40,,,1
"264b7a9fbdbc44c6898a02a98b23f99e",1011,6,2018,2,1,1,1,1,40,,,1
"2668508cadbf4cfbb5d1b183c94e2df7",1011,6,2017,4,1,1,1,1,9,2,,1
"2677113d57394f6ab63d882b90de3cab",112,3,2017,1,1,1,1,2,1,,,1
"2685a33ecb68466d999caae3bdbdd921",106,8,2018,3,1,2,1,2,1,3,,1
"2685a33ecb68466d999caae3bdbdd921",1011,8,2018,4,1,2,1,1,1,3,,1
"27237f19b78242dbbc6cb7d6b3b68dcb",1011,11,2017,3,1,2,1,2,8,1,,1
"275105346d6546298931c7fc48c2180b",107,6,2018,1,1,2,2,1,40,,,1
"278f265f66af4decb24250d3bf8660af",1011,3,2018,10,2,2,1,2,3,40,,1
"27c63ae2e23b464bb4b4761b51f89625",1011,8,2017,6,1,2,1,1,1,8,,1
"280407199a6e4a3a98802ff094d8067a",1011,7,2017,3,1,1,1,2,40,,,1
"284476b0690d4911a73aef0c8f2ce96f",111,7,2018,0,1,2,2,1,8,,,1
"2858bff25590478ea65c2b384ddf1351",107,6,2017,1,1,2,2,2,40,,,1
"28903024ec5c400c83377c8415c3f5a1",118,12,2018,0,1,2,2,1,1,40,,1
"28e84f72b4134aa9828ea477592d1acc",104,9,2017,3,1,2,1,1,9,8,,1
"28e84f72b4134aa9828ea477592d1acc",1011,10,2017,6,1,2,1,1,9,8,,1
"28fae53d8b8b40708861a82637daba05",104,10,2017,2,1,2,1,2,4,,,1
"292b612919db497d9aa8a0f850c604a0",1011,3,2017,4,1,1,1,1,3,,,1
"296375cdfbf0448faa769a47d30201c6",104,9,2018,8,1,2,1,1,40,,,1
"296375cdfbf0448faa769a47d30201c6",1011,3,2018,3,2,2,1,1,8,,,1
"2996bdef98fc498eb7d1544ab289a949",104,6,2017,4,2,1,2,1,3,8,10,1
"2996bdef98fc498eb7d1544ab289a949",1011,4,2017,2,1,1,1,1,8,10,40,1
"29b3e9c41d9d4311b1fe99bf9889b26b",114,10,2017,2,2,1,2,2,8,,,1
"29ca29e8dc634ddb98594b73b156ce57",118,2,2018,3,1,2,2,1,96,,,1
"29e7916bdd2645b48211aeb4920fbd67",110,1,2017,5,1,2,1,1,1,,,1
"29e7916bdd2645b48211aeb4920fbd67",115,10,2017,1,1,2,2,1,40,,,1
"29e7916bdd2645b48211aeb4920fbd67",1012,3,2017,4,1,2,1,1,40,,,1
"2a3fdc60eacb43afa748089b59e75d72",1011,4,2017,4,1,2,1,1,8,3,,1
"2a4e78a423c44854b320caf10951c60b",1011,4,2018,1,1,2,1,1,3,,,1
"2a4e78a423c44854b320caf10951c60b",1032,8,2017,2,1,1,1,1,4,,,1
"2a7187b42b264744b3a9d30396eb7ae9",1011,7,2017,4,1,2,1,1,3,,,1
"2abb452a63654ddeadd351815d76cbc6",1011,1,2017,2,1,2,1,1,3,5,,1
"2ada189776a548d89a6c2f2bff16b5c2",1011,6,2018,6,2,2,2,2,8,,,1
"2b158ee9160b4b6380262b810b96eaf0",1012,10,2017,2,2,2,1,2,1,3,,1
"2b188fbe6b7d4db19e4f8e0ff91d4620",118,5,2018,1,2,1,2,2,8,,,1
"2b5700c4ed5e4ec8997a4236831cf10e",104,3,2017,12,1,2,1,1,8,,,1
"2b746e4a31414a8182d62f080eb05b40",110,11,2018,2,2,2,2,2,1,,,1
"2b881b680b65407e8de6fae209a281c1",1011,9,2017,2,1,2,1,2,6,8,3,1
"2bb93f7c98f748c88e4ed683a0aa0df0",111,3,2018,2,2,1,2,2,13,9,,1
"2be7329e10e5476cb60c21b3be722468",118,2,2017,2,1,1,2,1,1,3,8,1
"2bec695a80774434b93d95a49dfced8a",104,3,2017,8,1,1,1,1,5,8,96,1
"2bf703d574344f36a037c7d7c64b5c01",1012,6,2017,1,1,2,1,2,40,,,1
"2c61df53e09649b49a7da037174d0996",111,2,2018,1,1,2,2,1,1,8,,1
"2c6a0b01f8df427f944dc88e15550d44",102,2,2018,4,1,2,1,2,40,,,1
"2c6cf92c21274e9a8650c9abd793f796",111,5,2018,2,1,2,1,1,1,8,,1
"2c86f891acf047ed8097ca1b4e2755e6",114,12,2017,0,2,1,2,2,40,,,1
"2cb1f00388b745698cde84ee0091c1e5",107,3,2018,6,1,2,2,2,4,,,1
"2cb797850b334f1e92c87498fc06141f",109,3,2018,6,1,2,1,1,1,,,1
"2cb7f630fc0a4e25bc66894bbe872f42",1011,6,2017,3,2,2,1,2,1,,,1
"2d020c466a584f56bb8428dc7d613986",118,5,2018,3,1,1,1,1,1,10,40,1
"2d2c5254d89d44a281918e10f477b1b8",110,12,2018,0,1,2,1,1,40,,,1
"2d2e8f9e6d8e4e2892346c42fb30b271",1011,7,2018,2,1,2,1,2,3,,,1
"2d8d01b938b04be8a21c937276f4a851",110,3,2018,2,1,2,1,1,1,3,,1
"2da3f0f2a4554941a479fee7d23a928c",1011,6,2016,3,1,1,1,1,3,,,1
"2e005c9d33a1496889bc2668de51f031",114,6,2018,2,1,2,2,1,3,,,1
"2e856f1055a9440ab29a01767377b8a8",1011,6,2018,2,1,2,1,2,8,,,1
"2f67bb8389de463ab688583c2d2e587b",107,2,2018,10,1,1,1,1,9,,,1
"2f68b099c50d417c83a3e0635884ecdb",1012,9,2017,6,1,2,1,1,6,1,,1
"2f6ccbe630f34e69950cf19e39da7897",108,6,2018,0,1,2,1,1,40,96,,1
"2f9952ff230e43e5a88870c5dbaaa325",104,7,2017,3,1,2,1,2,1,3,,1
"2f99cc17b95e4975831157be7e36c887",104,4,2018,2,1,1,1,1,8,,,1
"2f99cc17b95e4975831157be7e36c887",1011,5,2018,2,1,1,1,1,8,,,1
"2fad42e069bc436ebc6e2fcfc7cc83d5",111,10,2017,4,1,1,2,1,1,3,9,1
"2fd49877045b4ddaa361065cb2f763b0",118,4,2017,2,1,1,1,1,40,1,,1
"300de668bd2f4192b0fd5af97ba22f1f",110,4,2017,5,1,1,1,1,1,8,9,1
"3070915a431846e28dcff9ead5b40482",1011,8,2018,3,1,1,2,1,40,,,1
"30b36dc4f6bb4416970bd6680d83fd5f",115,8,2018,2,1,2,2,2,1,40,,1
"310356da4c8a4ea08d7fc34f77d68fec",1012,3,2017,4,1,2,1,1,11,,,1
"314e0394767143658917172c39cd8104",1011,7,2017,3,1,1,1,1,3,,,1
"31a28b3746724f9d8c45280f0665e0cd",118,7,1,2,1,1,1,1,6,5,,1
"31a28b3746724f9d8c45280f0665e0cd",1011,4,2018,2,2,2,1,1,1,,,1
"32272b79d5e24586980bc3fcc226e34a",1011,6,2017,2,1,2,1,2,3,5,,1
"322c45f1688046189f475c05d96480a5",1011,6,2018,2,1,2,1,2,8,,,1
"325f1113c3b448de8acd2a5f8453b98a",1011,4,2017,4,1,2,2,1,3,,,1
"3286a3c37b804f8c8d02a3193383a3be",111,12,2017,0,2,2,2,2,96,,,1
"3290dc38c12b4bdf8a98096dc5fce083",1011,6,2018,3,1,2,1,2,3,8,,1
"329cfc32423747e2a8ae5a3384a858aa",1011,6,2018,4,1,2,1,1,8,,,1
"329f52994cea49f4b47bbfd5b2fdcf96",1011,6,2018,2,1,1,1,,40,,,1
"32a33545ccab4a899b9d087573f4aa2f",102,6,2018,2,1,2,1,2,5,,,1
"32c5d81512f14980ae02591ccf41dc9c",113,4,2018,0,2,2,2,2,1,8,,1
"33432ba5d808486ca9a0dc3ff2fc8864",1011,3,2018,3,1,2,1,1,8,,,1
"336eaf99465645a9a411f706b1eefd43",102,7,2018,2,1,1,1,2,8,5,40,1
"3431ae3c4f4c4c0381f084737f81e258",107,4,2018,7,1,2,2,2,8,,,1
