"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","h9q30d"
"004e93d7552248ed95d8bc3ec21bdbdb",16,10,3,1,2,2017,1,3,,,".",".",".",2,,,,6,2,,1,,4000000,1,15,14,14,14,6,10,5,0.5,4,2,,,10,"2","4",,2,120,1,4,23,2,,2,"1",
"0071da69d26d4b29a8f9d29d458e68cf",10,10,1,160,1,2003,1,3,,,".",".",".",1,2,,,1,2,,1,,4000000,2,10,14,14,14,1,10,4,0.2,10,2,,,10,"2","3",,1,60,2,4,23,2,,1,"2",
"008071c371724fe49a5bb047472df87f",16,10,4,50,2,2014,1,3,,,,,,2,,,,6,2,,1,,1000000,2,15,14,14,14,6,8,5,0.1,3.5,2,,,10,"1",,,1,140,1,4,22,2,,1,"3",
"00854d05d4f044c985ffce60c1b514c2",10,10,3,8,2,1974,1,3,,,,,,1,1,,,1,2,,1,,28000000,3,10,14,14,15,,150,60,3,10,2,,,10,"6","8","9",1,80,2,4,23,2,,1,"2",
"00858c2384184dc3bfc800550a6c8cb5",10,10,,,,,,,,,".",".",".",,,,,,,,,,,5,10,96,13,14,2,20,2,0.1,20,1,2,"1000",10,"1","2","4",2,200,1,8,22,2,,3,"2",
"008ffc050d4e47c7920e9c7c2e35887a",16,12,,,,,,,,,".",".",".",,,,,,,,,,,3,15,14,14,14,6,30,20,0.8,10,2,,,10,"2","4",,1,80,1,4,23,2,,1,"1",
"00a09aedb8c049aa8364d377c26c5f81",16,10,3,2,2,2007,1,3,,,".",".",".",2,,,,2,2,,1,,25000000,3,15,14,14,13,,,,,10,2,,,,".",".",".",,120,1,4,23,2,,1,"1",
"00a68f13f97141199e9fda8aacbccc8d",10,10,3,3500,1,2007,4,3,,,".",".",".",1,96,,,6,2,,1,,5000000,1,10,12,14,15,,30,5,1,2,2,,,10,"1","4",,1,40,2,2,23,2,,1,"1",
"00bbd034f88649bc980b091d4a5af645",10,10,3,0.2,2,2014,2,3,,,".",".",".",2,,,,1,2,,1,,19000000,3,10,12,13,21,,,,,5,2,,,,".",".",".",,40,2,2,22,2,,2,"1",
"00c9353d8ebe42faabf5919b81d7fae7",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",10,10,1,2160,2,2005,1,3,,,".",".",".",2,,,,2,1,1,3,1,700000,2,10,12,13,14,6,7,3,0.1,3,1,2,"5000",10,"1","7",,1,60,1,4,22,2,,1,"2",
"00e23121bad94719bff27f93646437b3",10,10,1,2500,1,2005,5,96,2005,1,"1",,,2,,,,2,2,,1,,4000000,2,10,12,13,16,1,20,20,0.5,10,2,,,10,"2","6","8",1,80,2,3,23,2,,1,"1",
"00eb1114df14443a9effe1db5343435d",15,12,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,11,,,,,1,1,1,"12000",,".",".",".",,40,2,2,22,1,8,1,"2",
"00f1eb71d428408f888b058a8e8664fe",10,10,4,3000,1,1960,2,3,,,".",".",".",1,1,,,1,2,,1,,15000000,3,10,12,13,16,4,3,3,2,5,2,,,10,"4","5","6",2,60,1,2,22,2,,1,"2",
"0101511a1da74f35b4fb8fd0c2cf8e69",10,10,4,900,2,1994,1,3,,,".",".",".",1,3,,,2,2,,1,,10000000,5,10,12,13,15,,30,2,2,20,2,,,10,"4","8","15",1,200,1,4,23,2,,1,"15",
"0103050b934841289df128242538e3ea",11,10,3,2,2,2005,1,3,,,".",".",".",1,5,,,2,2,,1,,12000000,2,10,16,14,14,6,15,60,0.2,10,2,,,10,"1","2","5",1,110,1,4,95,,,,"2",
"01152e19bbdd4744a712260121f34bf7",10,10,96,0.41,1,2010,4,96,2010,1,"2",,,1,3,,,2,2,,1,,7000000,1,10,12,13,18,,,,,5,1,8,"60000",13,,,,2,140,1,2,22,2,,1,"2",
"0125c97b154d4f249c07f630cd52a102",10,10,1,12,1,1980,1,3,,,".",".",".",2,,,,6,2,,1,,100000,2,10,16,96,17,2,1,30,1,2,2,,,10,"1","2",,2,60,1,2,23,2,,1,"1",
"0130f7b8553e41139cc871d924491db2",16,10,1,50,2,2001,1,3,,,,,,2,,,,2,1,1,1,,1800000,4,15,14,14,14,1,20,5,0.5,15,1,2,"1000",10,"2","3","4",2,80,1,4,23,2,,1,"1",
"01474a4d9efd4b8190c37f5fba89a005",10,10,4,15000,2,1997,2,1,2008,1,"2",,,2,,,,1,2,,1,,80000000,6,10,11,13,11,,,,,10,1,1,"50000",,,,,,160,8,2,22,2,,1,"2",
"01483c3751964ad2842b6e4a8b6edcdd",10,10,,,,,,,,,".",".",".",,,,,,,,,,,3,10,16,14,12,6,10,5,0.1,3.5,2,,,10,"2","4","6",1,60,1,4,23,2,,1,"2",
"014de44f6ef44053a6742d1db80fe516",10,10,4,900,1,1987,1,3,,,,,,1,96,,,2,1,3,1,,3000000,2,10,12,14,14,6,40,60,1.5,10,2,,,10,"6","7",,2,80,1,4,23,2,,1,"1",
"015b2f40827d4d70a5aa4ac958235a78",10,10,4,800,3,2011,2,3,,,".",".",".",2,,,,1,2,,1,,1500000,1,10,14,14,18,,,,,2,2,,,10,"1",,,1,15,1,2,23,1,2,1,"1",
"0192be21a93d4c2d83997fb6dc1c3ea6",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,15,,30,10,0.1,1,2,,,10,"1",,,1,40,2,2,22,1,10,1,"1",
"01946faa112841669f992ad1c026ddb6",15,10,3,0.1,2,2014,1,3,,,".",".",".",2,,,,6,2,,1,,1000000,1,10,14,14,14,6,15,3,0.2,1,2,,,10,"1",,,1,10,2,4,23,1,4,1,"1",
"01c14a909dd54c2088fe1b32e84ae2ec",10,10,4,4000,2,2008,2,3,,,".",".",".",1,96,,,1,2,,1,,500000,1,10,12,14,16,96,30,1,2,2,2,,,10,"1","2","3",1,60,1,2,23,2,,1,"1",
"01c6b5639280472aa1dbfea2b7c10c24",10,10,4,5000,1,2012,2,96,2012,1,"1",,,2,,,,1,2,,1,,3000000,2,10,12,10,12,1,10,5,0.1,3,2,,,10,"1",,,1,40,2,2,22,2,,1,"1",
"01dfba97dd29447f9a82aef0f59237de",10,10,1,50,2,2008,1,3,,,".",".",".",2,,,,2,2,,1,,4000000,3,10,16,14,15,,20,5,0.5,3,2,,,10,"1","3","5",1,80,2,4,23,2,,1,"1",
"01fc2a6821064f528ca01e20dbea8db2",16,10,1,140,2,1997,1,3,,,".",".",".",2,,,,2,2,,1,,1000000,5,15,14,14,14,2,20,5,0.2,20,1,2,"1000",10,"7","8","9",1,160,1,4,23,2,,1,"2",
"020fd884bebf40b0a97f2156b8eda1b6",16,10,1,70,2,1969,1,3,,,".",".",".",2,,,,4,2,,1,,3000000,3,15,15,,14,5,10,15,0.25,5,2,,,10,"2","3",,2,60,1,4,22,2,,1,"2",
"021babeee5f646108cbe9bb3b2a4c485",10,10,1,25,2,2010,2,3,,,".",".",".",2,,,,6,2,,1,,1000000,1,10,12,14,14,6,30,5,0.5,5,2,,,10,"2","5",,1,60,1,4,23,1,4,1,"2",
"02257a7aa9a94ca9b464e910e2bd642d",10,10,3,0.75,1,2008,1,3,,,".",".",".",1,1,,,2,2,,1,,6000000,2,10,16,13,15,,10,2,0.05,2,2,,,10,"1",,,1,80,8,2,23,2,,1,"1",
"023400859c2e49d9a0701040d93fa0f2",15,16,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,14,14,6,2,3,0.01,4,1,2,"1000",10,"7",,,1,80,2,4,22,1,3,1,"1",
"024a80a27283471e857285cf751564ae",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,14,96,1,60,15,2.5,3,2,,,10,"4",,,1,40,2,2,23,1,2,1,"1",
"02617e359bfc48cbaa6ff204cb915790",10,10,1,20000,1,1999,2,1,1999,1,"1",,,2,,,,1,2,,1,,,3,10,12,13,16,1,45,5,1,3,2,,,13,".",".",".",1,100,2,2,23,2,,1,"2",
"02931fcf3f8c4454919998cd30c933d3",10,10,4,5000,1,2001,4,1,2001,1,"2",,,2,,,,2,2,,1,,30000000,4,10,12,16,11,,,,,5,1,1,"30000",,,,,,100,1,1,21,2,,3,"10",
"02a50a54fb3a4c9f989e246cb0c9200e",10,12,,,,,,,,,".",".",".",,,,,,,,,,,1,15,14,14,15,,10,2,0.1,3,2,,,10,"1","2",,1,50,1,4,23,2,,1,"1",
"02ad65979b5d4f9e8654d5912304304d",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,12,6,2,1,0,2,1,1,"6000",10,"1",,,1,20,2,1,22,1,4,1,"1",
"02dd448165ce46279ca601a02865d543",10,10,,,1,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031fbb84e2af4d5e889ccc7492ecbf55",10,10,1,25,2,2005,1,3,,,".",".",".",2,,,,1,2,,1,,5000000,1,10,12,14,15,,15,10,0.2,3,2,,,10,"1","2",,1,60,1,2,23,1,5,1,"1",
"03292ce0d7f24e42801500e576140648",10,10,4,1500,1,1998,2,3,,,".",".",".",1,96,,,1,2,,1,,3500000,2,10,12,13,16,2,40,1,1.6,5,2,,,10,"6","7","8",1,60,2,2,23,2,,1,"9",
"0349cc41571b406e889303445fe7e34c",10,10,1,130,2,1979,1,3,,,,,,2,,,,1,1,1,2,1,12000000,3,10,12,13,14,2,25,10,0.2,10,1,2,"500",10,"5",,,2,80,1,4,22,2,,1,"1",
"034e9ec479764a228fa3ebdd8d359cf0",10,10,4,440,1,1967,2,3,,,,,,1,96,,,1,1,1,1,,14000000,3,10,16,13,15,,50,5,1.6,4,2,,,10,"7",,,1,40,8,4,23,2,,1,"1",
"034f0004fa7a4a25b4aacdb196177f2b",10,10,4,4000,1,2016,1,3,,,".",".",".",1,96,,,2,2,,1,,2000000,2,10,12,14,14,6,3,5,0.1,5,2,,,10,"4","5","6",1,80,1,4,22,2,,2,"1",
"035c9f46cc9a41f9bacdbe9a5de03d8c",10,10,4,0.15,1,2000,2,3,,,,,,2,,,,1,2,,1,,20000000,2,10,12,13,21,,,,,5,2,,,,,,,,60,2,2,22,2,,3,"2",
"0367b97ab6cb487095e018a1ffdf17a9",16,10,1,70,2,1996,1,3,,,,,,2,,,,2,2,,1,,5000000,2,15,14,14,14,96,30,10,1.8,10,1,2,"2000",10,"2","3","4",1,100,1,4,95,,,,"1",
"036b190944154e22bbd0d574a8d08be0",11,10,1,2500,1,2002,2,3,,,".",".",".",1,96,,,1,1,1,1,,35000000,2,10,12,13,15,,40,10,0.2,2,2,,,10,"5","6","7",1,60,1,2,22,1,2,1,"2",
"037866653c7c4cb99a80f05a38cdafb2",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"038bf67186f048d1966a17475bedd578",10,10,4,2500,1,1966,2,2,1966,1,"1","2",,2,,,,2,2,,1,,8000000,2,10,16,14,16,2,5,1,0.1,2,2,,,10,"3","4",,1,60,1,1,23,2,,1,"2",
"039a11571b874a88b7a6c200469fe4f3",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03c42091117d479097bf8be7a9dfebb1",10,10,1,243,2,2001,1,3,,,".",".",".",2,,,,2,1,2,2,2,700000,2,15,12,14,14,1,15,5,0.4,10,1,2,"2000",10,"5",,,1,90,1,4,23,1,3,1,"4",
"03d4f5f6631747878b76ad399fb2b80c",10,10,3,0.1,1,1990,2,3,,,".",".",".",1,96,,,1,2,,1,,25000000,3,10,16,14,14,6,20,10,0.3,10,2,,,10,"3","6","7",1,100,2,4,22,2,,2,"2",
"03dcda394fdc4008868fe663e6f762c8",15,10,4,1200,1,2006,2,3,,,,,,1,96,,,6,2,,2,3,2500000,2,10,12,14,16,1,45,1,0.4,3,2,,,10,"4","5",,1,40,8,2,23,2,,1,"2",
"03f862af923942ad9f37fa65f52a8f3d",10,10,3,0.25,2,1988,1,3,,,".",".",".",2,,,,2,2,,1,,4000000,4,10,12,14,15,,15,10,0,0.5,2,,,10,"1","7","8",1,80,1,4,23,2,,1,"1",
"04077875a3894775bb24f2f42e7adc67",10,10,4,624,1,1979,2,3,,,".",".",".",1,96,,,2,2,,1,,60000000,6,10,12,13,15,,30,5,0.5,1,2,,,10,"1",,,1,40,2,2,23,2,,1,"1",
"04079e5069be47278c3ec71eb77a8997",10,10,4,280,1,2015,2,96,2015,1,"1",,,2,,,,4,2,,1,,6000000,1,10,12,13,14,6,20,3,0.2,3,2,,,10,"1","2",,1,40,1,2,23,2,,1,"1",
"040ecbcfb343431bb6645772dd87c2bb",11,10,3,0.8,1,2000,1,2,2000,1,"1",,,2,,,,2,2,,1,,1000000,1,10,13,14,14,6,30,30,2,8,2,,,10,"2",,,1,120,1,4,95,,,,"2",
"0418981cf19046bd930dbbfe8af3c1c4",10,,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,13,10,,,,,5,2,,,,".",".",".",,80,2,2,22,2,,1,"2",
"042c4cc37a904f18a05671d5323d78d3",10,10,3,0.12,2,1960,2,1,1970,1,"1",,,2,,,,1,2,,1,,50000000,3,10,12,13,15,,30,10,0.5,6,2,,,10,"4",,,2,40,1,4,22,2,,1,"2",
"043058c9577d4e2ebeeb2c62c20acb22",16,10,4,50,1,2000,1,3,,,".",".",".",2,,,,6,2,,1,,300000,1,15,16,,14,1,40,10,0.5,5,2,,,10,"1","6",,1,80,1,4,23,2,,1,"1",
"0436a29148344151a89c6a941e52e1d0",15,10,1,3000,1,2005,1,3,,,,,,1,96,,,1,2,,1,,10000000,3,10,12,96,14,96,10,5,0.1,5,2,,,10,"4","5",,1,60,1,2,22,2,,2,"1",
"044525d42e7547cb844fa01062ed908c",16,10,,,,,,,,,".",".",".",,,,,,,,,,,6,10,12,13,15,,0.3,10,3,450,2,,,10,"1","3","11",1,0,2,4,23,1,2,1,"1",
"044c92119a6e44b6bd74f41b5131f7fb",11,10,1,65,1,2014,1,3,,,".",".",".",2,,,,2,2,,1,,4000000,2,10,12,14,14,1,15,5,0.2,5,1,2,"2000",10,"2","3",,1,60,1,4,23,2,,1,"1",
"044fe31f64084ca4bb3d0474820c95ff",15,12,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,15,,40,2,0.5,0.5,2,,,10,"1",,,1,10,8,2,22,1,2,1,"1",
"0475d96d540e42f48e10f7e052c18533",10,10,4,210,1,1990,2,1,2014,1,"1",,,2,,,,1,2,,1,,50000000,2,10,12,16,11,,,,,3,1,1,"15000",,".",".",".",,60,2,2,11,2,,3,"1",
"048117d75d7e486587c27ca4bb7d294f",10,10,4,50,1,2017,2,3,,,".",".",".",1,96,,,2,2,,1,,1000000,1,10,12,13,16,96,5,1,0.3,2,2,,,10,"4",,,1,40,2,4,23,2,,1,"4",
"04a6909c35374a8088daf007b717dba1",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,15,,20,2,0.25,5,2,,,10,"3","5","7",1,80,1,4,22,1,7,1,"1",
"04adcf9e96a14cc2879a6d47da1a2ae9",10,10,3,0.12,2,2007,1,3,,,".",".",".",2,,,,2,2,,1,,400000,1,15,16,14,16,6,10,5,0.3,2,2,,,10,"2",,,1,10,2,4,95,,,,"2",
"04beb1f67d72438a95bbd2da5ae9bc56",10,10,4,5000,1,2012,1,3,,,".",".",".",1,96,,,1,2,,1,,10000000,3,10,12,13,14,96,180,60,5,10,2,,,10,"2","3","6",2,100,1,2,23,2,,1,"2",
"04e3098df42742428550ed1754b3cce9",10,10,,,,,,,,,".",".",".",,,,,,,,,,,3,10,16,14,15,,40,10,1,5,2,,,10,"5","6","7",1,100,1,4,22,2,,1,"2",
"04e34e77abfc4a14a6ddb3f8604a51ee",10,10,1,50,1,1989,1,3,,,".",".",".",1,96,,,2,2,,1,,6000000,2,10,11,13,15,,15,5,0.3,10,2,,,10,"4","5",,1,150,1,2,22,2,,3,"2",
"04fbfbe14e064de88046b1bd162fb008",10,10,3,0.5,2,2009,1,3,,,".",".",".",2,,,,4,2,,1,,6000000,2,10,16,13,17,1,6,2,0.025,0,2,,,10,"2","4",,1,60,8,4,23,2,,1,"2",
"05052c1f4a06454ca9f2ef68f4ed9918",10,10,3,2,1,2008,1,3,,,".",".",".",1,96,,,2,2,,1,,25000000,4,10,16,13,16,96,30,2,0.5,5,2,,,10,"2","4","5",1,60,2,2,23,2,,1,"2",
"053050b9f02d468dabfb5515b9f97be6",10,10,3,4,2,1982,1,3,,,".",".",".",2,,,,2,2,,1,,36000000,4,10,12,13,14,6,30,30,0.6,20,1,2,"1000",10,"3",,,1,120,1,4,23,1,1,1,"1",
"0566d903b26649e59275f92f6118361d",10,10,1,283,2,2008,1,3,,,".",".",".",2,,,,2,2,,1,,1500000,2,10,12,13,15,,5,1,0.2,5,2,,,10,"1",,,1,80,2,4,23,2,,1,"1",
"056cb993abee42a89f67363f1b38f878",11,10,,,,,,,,,".",".",".",,,,,,,,,,,2,10,16,14,18,,,,,20,2,,,10,"2","3","4",1,100,2,2,23,1,2,1,"2",
"056fa1dd91d740dcaa47fc4937363a95",16,12,,,,,,,,,".",".",".",,,,,,,,,,,1,15,14,14,14,96,10,5,0.6,2,1,2,"500",14,".",".",".",1,30,1,4,23,2,,1,"1",
"057535df5a63411bb13f906e251b9130",10,10,,,,,,,,,".",".",".",,,,,,,,,,,3,10,16,14,15,,15,8,0.5,5,2,,,10,"4","5","6",1,40,1,2,22,2,,1,"1",
"057fc24f426f48fca061898d6efa4f49",10,10,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,14,14,1,60,30,0.5,3,2,,,10,"4","5","6",1,40,1,4,23,1,1,1,"6",
"0583ffbf78c441f7828b4e53acdd71f1",10,10,4,4000,1,2006,2,3,,,".",".",".",1,96,,,1,2,,1,,5000000,3,10,12,13,14,6,8,5,0.2,10,2,,,10,"4","7","8",1,120,1,4,23,2,,1,"1",
"058bd214d86846f5949c782fb2f1bfbb",10,10,1,20,2,1980,1,2,0,1,"1",,,2,,,,1,2,,1,,4000000,3,10,16,14,15,,30,5,1,4,2,,,10,"2","4","5",1,100,2,4,23,2,,1,"2",
"0592013fe59d4dce8b33b8661323c86d",10,10,4,5000,2,1990,1,3,,,,,,1,1,,,1,2,,1,,200000000,6,10,12,13,11,,,,,3,1,1,"15000",,,,,,60,2,1,22,2,,2,"1",
"05d8c19cfc8f47d4b66bd70bbad5407f",16,10,,,,,,,,,".",".",".",,,,,,,,,,,1,15,14,14,14,1,40,10,1.5,5,2,,,10,"2","3",,1,80,2,4,23,1,2,1,"1",
"05dca1a459fe4754bd19d0d175b4da74",16,10,1,90,2,2013,1,3,,,".",".",".",2,,,,2,2,,1,,3000000,1,15,14,14,16,2,40,1,1,10,2,,,10,"1",,,2,60,2,4,23,2,,1,"2",
"05e99dfa6f5a44a79677019330c423f7",10,10,4,2100,1,1999,1,3,,,".",".",".",2,,,,2,1,1,1,,4000000,3,10,12,13,14,6,10,10,0.2,5,1,2,"1000",10,"4","6","7",1,70,1,2,22,1,3,2,"2",
"05ec278a95624c74957734e0ab70ff5b",16,10,,,,,,,,,".",".",".",,,,,,,,,,,1,15,16,14,14,6,40,30,1,0,2,,,14,".",".",".",1,2,1,4,23,1,1,1,"1",
"06270b496e1b4aa09b4906b0871c21b9",15,15,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,10,12,1,5,3,0.1,2,1,1,"18000",10,"2",,,1,60,1,2,22,1,2,1,"2",
"062da72d5d3a457e9336b62c8bb9096d",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0634372d290947fc92bad833679f4f23",16,10,,,,,,,,,".",".",".",,,,,,,,,,,1,15,14,14,16,2,60,15,1.5,10,2,,,10,"4",,,1,80,1,4,23,2,,1,"3",
"0667b6f1adac439db81e063ceead3b03",10,10,3,0.5,1,2013,1,3,,,".",".",".",2,,,,4,2,,1,,14000000,5,10,12,13,12,6,15,5,0.1,5,1,2,"3000",10,"1",,,1,60,1,4,23,2,,1,"1",
"068501d062324eb097b62ccfea8a5fa6",16,10,1,0.2,3,2018,1,3,,,".",".",".",2,,,,1,2,,1,,200000,1,15,16,14,12,96,5,5,0.25,5,1,1,"30000",10,"1","2",,1,80,1,4,22,1,4,1,"1",
"069465eb8c264016bc63f2ba390ad118",10,10,4,162,1,2003,1,3,,,".",".",".",1,96,,,2,2,,1,,800000,2,10,16,96,20,,6,3,0.2,2,2,,,10,"2","4","7",1,60,1,4,23,2,,1,"1",
"069ce1000ec94312a038a19b8efdd983",10,10,,,,,,,,,".",".",".",,,,,,,,,,,3,10,12,13,14,6,20,30,0.125,5,2,,,10,"4","5","6",1,100,1,4,23,2,,1,"1",
"06a3c5174fea45419046bfa97ea3c29b",16,10,1,150,2,2014,1,3,,,".",".",".",2,,,,4,2,,1,,10000,2,15,14,13,14,2,60,15,3,20,1,2,"2000",10,"2","3",,2,120,1,5,23,2,,1,"2",
"06afa3273f6a49a38b98ba52ba888ed8",10,10,3,3,1,1972,2,2,1972,1,"1","2",,2,,,,2,2,,1,,90000000,3,96,12,13,11,,,,,5,1,1,"40000",,".",".",".",,100,2,2,22,2,,3,"2",
"06b881a31ba7466e919d01bb09f5e672",10,10,4,5000,3,2003,1,3,,,".",".",".",2,,,,6,2,,1,,1000000,1,15,16,14,14,6,10,10,0.2,10,1,2,"1000",10,"2","3","4",1,80,1,4,23,2,,1,"1",
"06ba04343a6e4f678e01eec018cac7db",10,10,1,21,1,1980,1,3,,,".",".",".",1,3,,,2,2,,1,,3000000,4,10,12,14,14,6,20,5,0.5,10,2,,,10,"1","12","13",1,100,1,4,23,2,,1,"1",
"06c85056727c434f90b8215d4b1df0a2",16,10,3,0.25,2,1985,1,3,,,".",".",".",2,,,,1,2,,1,,2000000,3,15,14,14,14,2,20,2,1,10,2,,,10,"3","4","5",2,100,1,4,23,1,1,1,"1",
"06d940520a174c5c843dd683f49c2f95",10,10,3,2,2,1984,1,3,,,".",".",".",2,,,,6,2,,1,,4000000,2,10,12,14,14,6,30,10,0.5,5,1,2,"2000",10,"1","10",,1,60,2,4,22,2,,1,"1",
"06e12afed6db4f9a99423fc4169cc802",16,10,3,0.25,2,1960,1,3,,,".",".",".",2,,,,2,2,,1,,700000,2,15,16,14,14,6,25,5,0.5,5,1,2,"1000",10,"2","6",,1,120,2,4,95,,,,"2",
"0700ac37276743c3a73536d56c21b04e",16,10,,,,,,,,,".",".",".",,,,,,,,,,,3,15,14,14,16,2,20,10,0.3,10,2,,,10,"2","5","6",1,80,1,4,23,2,,1,"2",
"070b86808a434b1fb9f7f75af25bc594",10,10,1,64,1,2010,1,3,,,,,,1,2,,,6,2,,1,,1000000,2,10,16,13,20,,6,1,0.2,3,2,,,10,"2","3","4",1,60,1,4,23,2,,1,"1",
"0731c33c39714e7a8fe032a4c6840fc5",10,10,4,2500,2,1926,2,2,1926,1,"2",,,2,,,,2,2,,1,,25000000,4,10,12,14,16,2,30,5,0.5,100,2,,,10,"7","8","9",1,100,2,2,23,2,,1,"6",
"0751ec0e0fe949e68111233049babbaf",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,16,14,17,1,20,2,0.05,4,2,,,10,"1",,,1,20,8,4,23,1,4,1,"1",
"0774323f6795452793f0f563fcf08d08",10,10,3,0.13,2,1999,1,3,,,,,,2,,,,6,2,,2,2,1500000,4,15,12,14,14,1,30,3,0.8,15,1,2,"1000",10,"6","7","8",1,80,1,4,23,2,,1,"3",
"07919f0a80fb43dc9dbbc762b869adbf",16,10,4,28,1,1994,1,3,,,".",".",".",2,,,,6,2,,1,,400000,3,15,16,14,14,1,12,8,0.1,5,2,,,10,"4",,,1,20,2,4,23,2,,1,"2",
"0795321942c34174a89d745e644df105",10,10,3,0.26,3,2003,1,3,,,".",".",".",2,,,,6,2,,1,,1200000,3,15,14,14,16,1,40,2,2,15,2,,,10,"1","6","7",1,120,8,4,23,2,,1,"1",
"07999cf798314e05b4cfb6005c1092cb",15,10,4,4000,2,1971,2,96,1971,2,".",".",".",2,,,,2,2,,1,,4000000,2,10,16,14,12,2,5,10,0.1,3,2,,,10,"2","3","5",1,80,2,2,23,1,2,1,"2",
"07b307a143384b5cb48a35412b6788d6",11,10,4,1000,1,1996,3,96,1996,1,"1",,,2,,,,1,2,,1,,10000000,1,10,17,14,18,,,,,2,1,1,"5000",13,".",".",".",1,60,2,2,23,2,,1,"2",
"07c445ca0f284db081b29aa91ee7988e",16,10,1,50,2,2011,2,3,,,".",".",".",2,,,,6,1,2,2,2,2000000,1,15,16,14,14,6,10,30,0.2,2,2,,,10,"1","4","5",1,40,1,4,23,1,2,1,"1",
"08004f29b4234c35bfbea5f38ced207a",15,15,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,12,6,5,2,0.1,2,2,,,10,"2",,,1,30,1,1,22,1,5,3,"1",
"08211a3e91eb4227bb201b44001ea21b",10,12,,,,,,,,,".",".",".",,,,,,,,,,,1,10,16,14,16,2,60,1,0.4,5,2,,,10,"2",,,1,80,2,2,22,2,,1,"2",
"087401704b5c4990995dc6b7af8a6b0a",10,10,3,0.02,2,1983,1,3,,,".",".",".",1,1,,,1,2,,1,,250000000,3,10,12,13,11,,,,,6,1,1,"19000",,".",".",".",,60,2,2,22,2,,1,"2",
"08a2071726b54dae84b17e7b8017588d",10,10,3,4,2,1975,1,3,,,".",".",".",1,1,,,2,2,,1,,20000000,4,10,16,14,15,,8,10,0.4,20,2,,,10,"2","6","9",1,60,1,4,23,2,,1,"1",
"08a228d06e764dc49fbbf00d813880b8",10,10,,,,,,,,,".",".",".",,,,,,,,,,,2,10,14,14,12,6,60,30,0.5,10,2,,,10,"1","2","4",1,100,1,4,23,2,,1,"2",
"08a88de2ed7b46648366085ed5bef13b",10,10,1,16,1,2000,1,2,2000,2,".",".",".",2,,,,1,2,,1,,4000000,2,10,11,13,14,6,20,4,0.5,3,2,,,10,"2","4","7",1,60,2,4,23,2,,1,"6",
"08b6ed18afcc4300b2c916163a857437",10,10,4,12000,2,2017,2,2,1970,2,".",".",".",1,1,,,1,1,2,4,2,7000000,2,10,12,13,14,5,10,15,0.25,3,2,,,10,"10",,,1,40,1,4,22,2,,1,"1",
"08f3d91754ba4911865d5913f19172fc",10,10,1,45,2,1985,1,3,,,".",".",".",2,,,,5,1,2,2,2,400000,4,15,14,14,17,1,18,1,0.5,7,2,,,10,"6",,,1,40,2,4,23,2,,1,"4",
"08f99cd6418241cda1841d6a644074f9",10,10,1,1800,3,2016,96,3,,,".",".",".",2,,,,6,2,,1,,300000,1,10,16,14,16,1,60,5,2,5,2,,,10,"3","5",,1,20,2,2,23,1,2,1,"1",
"09296489a3b04339968d856b0b9e44d9",10,10,1,2000,1,9998,2,96,9998,2,".",".",".",2,,,,5,2,,1,,5000000,2,10,16,14,15,,60,2,1.5,3,2,,,10,"2",,,1,60,2,2,23,2,,1,"1",
"092f4d6bc16a49d19c00dbf10038cb3b",10,10,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,13,14,6,20,5,0.5,2,2,,,10,"1","3",,1,40,1,4,23,2,,1,"1",
