"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","h9q30d"
"85ceb53eb1bd41a4bfb5f897f8800ac7",16,10,3,0.1,2,1999,1,3,,,".",".",".",2,,,,2,2,,1,,600000,2,15,16,14,14,1,15,30,0.5,15,1,2,"2000",10,"4","5","7",1,100,1,4,23,2,,1,"3",
"85d2f1ad01354522b4bb5486f6f0cca9",10,10,1,3200,1,1980,4,3,,,".",".",".",1,3,,,1,2,,1,,7000000,2,10,12,13,14,6,30,10,0.5,5,2,,,10,"2",,,1,40,8,2,95,,,,"3",
"85e3724de768403e905ce5968dc735ee",10,12,,,,,,,,,".",".",".",,,,,,,,,,,2,10,16,14,14,2,20,3,0.3,8,2,,,10,"1","3","4",1,60,1,4,95,,,,"1",
"860a1b47a8c04b36b2c21b1238863cf5",10,10,1,15,2,1980,1,3,,,".",".",".",2,,,,2,2,,1,,1000000,3,15,16,14,15,,20,5,0.5,5,2,,,10,"1","6","7",1,80,2,4,51,2,,1,"1",
"8658c239083f48c1a35fa7666868d94a",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"86668fd2837248ef9ab6590fad3f84a9",10,10,1,713,1,1994,1,3,,,".",".",".",1,96,,,1,2,,1,,1000000,2,10,12,13,14,6,30,60,0.25,5,2,,,10,"1","6",,2,80,1,4,23,2,,1,"1",
"866f6a8e646840eba3ed5335760613fc",10,10,3,0.25,2,1972,1,3,,,".",".",".",2,,,,2,1,2,2,2,,4000000,10,12,14,14,6,15,10,0.4,2,1,2,"1000",10,"1",,,1,60,1,4,22,2,,1,"1",
"868820bd80114644a08cc1407f231db4",10,10,1,32,1,2018,1,3,,,".",".",".",1,96,,,1,2,,1,,800000,1,10,16,14,14,6,10,5,0.3,2,2,,,10,"2","3",,1,40,1,4,95,,,,"2",
"868942351f974df29ca4b9121fff2e30",15,10,,,,,,,,,".",".",".",,,,,,,,,,,1,10,16,13,12,6,5,10,0.01,60,1,1,"18000",10,"3","5","6",1,4,2,2,23,1,4,1,"7",
"86a9fa3980384a5d905b1f8fa8533c97",10,10,4,4000,2,2002,1,3,,,".",".",".",2,,,,2,2,,1,,3000000,2,10,96,14,14,6,30,30,1,5,2,,,10,"1",,,1,120,1,5,23,1,2,1,"1",
"86d2fcfb7ec14961b67d4806c8b1c873",10,10,4,75,2,1991,1,3,,,".",".",".",2,,,,2,2,,1,,800000,3,10,12,13,11,,,,,10,1,2,"30000",,".",".",".",,120,1,5,22,2,,1,"1",
"86dc6b17270745839df7c9216705808b",10,10,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,13,12,96,5,2,0.1,5,1,1,"23000",10,"1","3",,1,40,8,2,22,2,,1,"1",
"86f88cae3fe94ed5a6ef1f143b178c89",15,16,,,,,,,,,,,,,,,,,,,,,,1,10,12,16,11,,,,,5,1,1,"15000",,,,,,50,2,1,12,2,,3,"3",
"8712b74250794fddac99ea78d80997db",10,10,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,14,16,5,30,10,0.6,5,2,,,10,"5","6",,1,60,2,2,95,,,,"2",
"871ce70794974b6e92089daa702c5fef",10,10,4,5000,2,1968,4,1,2014,2,".",".",".",2,,,,2,2,,1,,3000000,3,10,12,13,21,,,,,4,2,,,,".",".",".",,60,1,2,22,1,1,1,"1",
"8728fb96ed9e4334909c0477bae7855a",16,10,,,,,,,,,".",".",".",,,,,,,,,,,2,15,14,14,16,1,15,1,0.2,10,2,,,10,"2","3","4",1,60,1,8,95,,,,"1",
"873289a6bb6345bd8d26ca2aa71b7a2f",15,16,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,12,6,10,3,0.02,2,1,1,"120000",10,"1","5",,1,40,1,2,95,,,,"1",
"87b63450eb1247178831c388964b7044",10,10,1,700,1,1986,4,3,,,,,,1,96,,,6,2,,1,,2000000,2,10,16,14,16,6,20,2,0.5,3,2,,,10,"3",,,1,40,2,2,23,1,1,1,"1",
"87b9fa9f6c5d41f692d6671d4e24bb78",10,10,3,0.12,2,,4,3,,,".",".",".",2,,,,5,2,,1,,800000,2,10,16,14,15,,30,5,0.5,3,2,,,10,"2",,,1,40,2,4,23,2,,1,"1",
"87bb19dff0f44187875ec19a10fe8279",10,10,1,12,2,1970,1,3,,,".",".",".",2,,,,2,2,,1,,1000000,2,10,16,96,14,6,20,10,0.5,10,2,,,10,"1","4",,1,100,1,4,23,1,2,1,"1",
"87c4e00c7e5748e28a863e4b24de142a",15,10,4,60,2,2000,1,3,,,".",".",".",2,,,,2,2,,1,,600000,1,15,16,14,14,96,30,5,2,10,1,2,"1000",10,"1","4",,1,60,1,4,95,,,,"1",
"87c8524fdbe84d429d1b49f7ac1a60db",10,10,4,360,2,1987,2,3,,,".",".",".",1,96,,,1,2,,1,,5000000,2,10,16,14,15,,30,5,0.6,3,2,,,10,"3",,,1,40,1,2,23,2,,1,"1",
"87cf074bdbb5428e9676b693e48005bd",10,10,3,1.5,1,1973,1,3,,,,,,2,,,,6,2,,1,,,5000000,10,12,14,12,6,60,5,1,2,2,,,11,,,,1,40,1,4,23,2,,1,"2",
"87e2684f3b8f476da41f9f3f2ecf725e",10,10,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,14,14,6,10,60,0.5,5,2,,,10,"2",,,1,40,1,4,23,2,,1,"2",
"87e27e3874834bd78aa01fd5f3d35e87",16,10,4,2500,3,2014,1,3,,,".",".",".",2,,,,2,2,,1,,800000,1,15,16,14,14,6,20,5,0.5,5,2,,,10,"2",,,1,80,1,4,23,2,,1,"5",
"8803916429d34e9293b6d6a5f862592e",16,10,4,8,2,2005,1,3,,,".",".",".",2,,,,6,2,,1,,250000,1,15,16,14,14,6,30,2,0.4,4,2,,,10,"3",,,1,40,1,4,95,,,,"1",
"881538d806af44b394bb1f7e473e81fb",11,10,3,100,1,1993,1,3,,,".",".",".",1,3,,,2,2,,1,,4000000,3,10,12,14,15,,60,15,2,5,2,,,10,"4","5","8",1,60,1,2,23,2,,1,"1",
"881b32dbbbfd47ad898d435a7c977804",10,10,3,1.5,2,2011,1,3,,,".",".",".",2,,,,2,2,,1,,8500000,3,10,16,14,14,96,15,15,0.3,4,2,,,10,"2","3","4",1,40,1,4,23,1,2,1,"1",
"881cff26a2b141539b62557a525c35ca",10,10,4,5000,1,1998,1,3,,,".",".",".",1,3,,,2,2,,1,,3500000,3,10,16,14,14,1,30,10,0.5,2,2,,,10,"1","3","4",1,60,2,4,23,2,,1,"5",
"8823470f96414e278d101b390c87b44b",15,15,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,13,19,2,5,2,0.01,3,1,8,"36000",10,"2","4",,1,60,2,2,22,1,8,1,"2",
"88308be5dc024f0da569f7f4f1365ad6",10,10,4,2500,1,1996,2,3,,,".",".",".",1,96,,,1,2,,1,,15000000,2,10,12,13,15,,30,40,0.7,5,2,,,10,"4","5","7",1,80,2,2,22,2,,1,"2",
"88528987d073476d9d0283249b51b309",10,10,4,5000,2,2016,1,96,2016,1,"1",,,2,,,,2,2,,1,,50000000,3,10,12,13,16,2,5,1,0.1,3,2,,,10,"5","6",,1,80,2,2,22,2,,3,"2",
"885f34fec90d45c9b754bdb340c19612",10,10,,,,,,,,,".",".",".",,,,,,,,,,,1,15,14,14,12,1,60,25,3,5,1,1,"700",13,".",".",".",1,60,8,4,23,1,1,1,"1",
"886036020ce3462394ff6ef50b910fc5",10,10,,,,,,,,,".",".",".",,,,,,,,,,,1,15,14,14,12,6,15,10,0.15,3,2,,,10,"1",,,1,40,2,4,95,,,,"1",
"88929fffa331450386b6ad15f5cf3644",15,10,4,1500,2,2013,1,96,2013,1,"1","2",,2,,,,5,2,,1,,10000000,1,10,12,13,11,,,,,5,1,2,"2500",,".",".",".",,80,2,2,23,1,2,1,"1",
