"s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h","hhid"
"1",2,2,2,2,2,2,2,2,"0ab5e0705d5b40beb0a2e79f49183356"
"1",2,2,2,2,2,2,2,2,"0ac58cb4e81e452daa6d87169534e762"
"9",2,2,2,2,2,2,2,2,"0ad4b37a214a455aa6080a4f197e50ca"
"1",2,2,2,2,2,2,2,2,"0b195170755f4768ac89c0dc1d08645a"
"1",2,2,2,2,2,2,2,2,"0b1dda6c9bc74ad6b7b18d9de2497355"
"2",2,2,2,2,2,2,2,2,"0b922762b1a14c53a9f6bbd6ef3ff337"
"1",2,2,2,2,2,2,2,2,"0be0f54fc2f44d4d8328e2b8878a06d0"
"1",2,2,2,2,2,2,2,2,"0c3e9a0e660a4ec8a84320ec2aee7f95"
"2",2,2,2,2,2,2,2,2,"0c7ed7713a3b4c80ab675ecc093d0a2a"
"1",2,2,2,2,2,2,2,2,"0cac20f5e69f4d00ac5d1bfc15689dba"
"2",2,2,2,2,2,2,2,2,"0ccd9462978a4880b1f650cecd2d26dd"
"1",2,2,2,2,2,2,2,1,"0cf284629d3f460eb8d1ac4e90b0639b"
"1",2,2,2,2,2,2,2,2,"0d7d45da8d23438f892a87baa61a4b7a"
"1",2,2,2,2,2,2,2,2,"0da5a64fbb634dd5a96a9d945a7ea296"
"2",2,2,2,2,2,2,2,2,"0dc5a325d5dd4987b0255e6dc261c7c9"
"2",2,2,2,2,2,2,2,2,"0dd53d87ea84437b9f5a26b992f3d396"
"1",2,2,2,2,2,2,2,2,"0e3bcf22a773456eb3475d233a7dc880"
"2",2,2,2,2,2,2,2,2,"0e530e4dff074880bc7b09f4d3755c2d"
"1",2,2,2,2,2,2,2,2,"0e6bbfd7a7ff407ba8c19c68b4614a43"
"1",2,2,2,2,2,2,2,2,"0e7c523a5c34420c9fdba2a12575cd14"
"2",2,2,2,2,2,2,2,2,"0ead3d9097d14f19afae3f37ed3fa95e"
"1",2,2,2,2,2,2,2,2,"0f3a4301801440ada74bb46498bddedb"
"1",2,2,2,2,2,2,2,2,"0f4fac38703b4b049484b45fcbe5629f"
"2",2,2,2,2,2,2,2,2,"0f667b218c504918a233aac6e8ee5bda"
"1",2,2,2,2,2,2,2,2,"0f6771f84c3a4bbb850133c3e9b7e498"
"1",2,2,2,2,2,2,2,2,"0f896c130fda4f5788f29621fde557f3"
"1",2,2,2,2,2,2,2,2,"0fcb437569834d1c9c2606f6766add88"
"1",2,2,2,2,2,2,2,2,"104c763be4a348c7858dd66cc2fbc597"
"7",2,2,2,2,2,2,2,2,"10651f09e6a44d788c5947935927ecd0"
"2",2,2,2,2,2,2,2,2,"108160782ccd45a9b7a3b97da91f5483"
"4",1,2,2,2,2,2,2,2,"108581c17994453a902a47aaec861b78"
"4",2,2,2,2,2,2,2,2,"108ebe553d994ae8bee890ebd2447fbf"
"2",2,2,2,2,2,2,2,2,"10c39a24e0784c66897740bdbc426cc8"
"1",2,2,2,2,2,2,2,2,"10c74627258044b8a3441bd75e51c277"
"1",2,2,2,2,2,2,2,2,"112126f886be4437a68c163a94797d71"
"1",2,2,2,2,2,2,2,2,"11c06407f2894aa696b02bd42e1ad325"
"1",2,2,2,2,2,2,2,2,"12326283f3b543f7a0204eeb08c3a7cd"
"1",2,2,2,2,2,2,2,2,"1254e7d5420845449d4b2d63d8f8b555"
"2",2,2,2,2,2,2,2,2,"1281f3064b5548e58be32cadc2a9904e"
"1",2,2,2,2,2,2,2,2,"12a4d25d94ea436285c294aef2a8dba5"
"2",2,2,2,2,2,2,2,2,"1313728d816c492e852a4dc2f2bea58c"
"6",2,2,2,2,2,2,2,2,"131fdb31a30649e792542baee928cee3"
"2",2,2,2,1,2,2,2,2,"132b1d61a34e4480a249784896828820"
"1",2,2,2,2,2,2,2,2,"137047ed72be45cbbe79528e9a8febcf"
"2",2,2,2,2,2,2,2,2,"137fab734a03455f98d0124f4847fc13"
"2",2,2,2,2,2,2,2,2,"1390e21908ee4f50811be182bc761552"
"7",2,2,2,2,2,2,2,2,"13c8dabea0a14e74b5409df736d0c6fc"
"1",2,2,2,2,2,2,2,2,"13e8276c99cd496081c2d78d058b2a21"
"2",2,2,2,2,2,2,2,2,"13f725a28a91400690aa319519c0dbf6"
"1",2,2,2,2,2,2,2,2,"141911dad9474c8d879f53c8bfd6edee"
"1",2,2,2,2,2,2,2,2,"142f863d5d3747d4b12da5a96819e8c8"
"1",2,2,2,2,2,2,2,2,"1444adc6326d439eaeaba1546d02d59d"
"2",2,2,2,2,2,2,2,2,"147c52ca54784111b65348d2fc3eed37"
"4",2,2,2,2,2,2,2,2,"148096d4034442419b34538a7bc0dcf6"
"2",2,2,1,2,2,2,2,2,"15112bb7ee2c432d83517c273c01cf0b"
"1",2,1,2,2,2,2,2,2,"1553987122bb403eac103947ccf14569"
"1",2,2,2,2,2,2,2,2,"156df40d4f9c476c80ebbb625b8d60ec"
"1",2,2,2,2,2,2,2,1,"158f0ced0e9a41aa975d268a4c9b98a0"
"1",2,2,2,2,2,2,2,2,"158fdcb371864b379252dd73d6a526b2"
"1",2,2,2,2,2,2,2,2,"15c0f37757dc46b28873a77b5e8a913d"
"1",2,2,2,2,2,2,2,2,"15f9cb22388f428f9f3dcf081ccfc10a"
"2",2,2,2,2,2,2,2,2,"15fd3aeeaeb34f6ea14d42f6bcdee0d6"
"1",2,2,2,2,2,2,2,2,"162c504b1fed4a5b9848882e7752940a"
"2",2,2,2,2,2,2,2,2,"162c7da3721a4b318a125f5be123aa6e"
"2",2,2,2,2,2,2,2,2,"1644cc9b10c946bfbfaaf1d972bf7258"
"1",2,2,2,2,2,2,2,2,"164f59280b494e09a7618a255a2334c1"
"1",2,2,2,2,2,2,2,2,"1658c6246ed14e8296d29cf476fdeb13"
"2",2,2,2,2,2,2,2,2,"16658cfcf7f14257a2be301b98bb0de1"
"1",2,2,2,2,2,2,2,2,"16686bb795b54d2191e8f9df39d31e71"
"5",2,2,2,2,2,2,2,2,"16887c92f1b147cba6be26cdd50b01f3"
"2",2,2,2,2,2,2,2,2,"168c7ae537cc4394827298958c374b1d"
"1",2,2,2,2,2,2,2,2,"16bbbd98ba5e4f94a981844b8183ee50"
"2",2,2,2,2,2,2,2,1,"16c0790e52ec43c58fcd99e7d75e10d3"
"3",2,2,2,2,2,2,2,2,"16c6f42d01644fea9c34fa54421a4480"
"1",2,2,2,2,2,2,2,2,"16c86a16fed44b30a54b6076f4f4f6c9"
"1",2,2,2,2,2,2,2,2,"16d236cfaa29413abb6fca138f544ec4"
"1",2,2,2,2,2,2,2,2,"170275f8246f4dbebe53a915373b5984"
"2",2,2,2,2,2,2,2,2,"17114af3aae5418e956cd93e3549aed1"
"2",2,2,2,2,2,2,2,2,"174d7bce575c45bbae624af39a4e3f2c"
"2",2,2,2,2,2,2,2,2,"1776b63bada845109ea54547ac3216d1"
"2",2,2,2,2,2,2,2,2,"178cc701f007453aa380b10c4fa065a5"
"2",1,2,2,2,2,2,2,2,"179b274951eb4449a19d4de2deede9d6"
"2",2,2,2,2,2,2,2,2,"17befd96efff47ca9c60b12d3dd1071c"
"2",2,2,2,2,2,2,2,2,"17c17bf8cc054454a67df0e8837d3cdc"
"1",2,2,2,2,2,2,2,2,"17eb32a03c28409db6e2cf12fc379298"
"1",2,2,2,2,2,2,2,2,"17eb44366c7043bcaf46fb683b1beff3"
"1",2,2,2,2,2,2,2,2,"17ee2908902f4b3884ff9ec69c10ba5a"
"2",2,2,2,1,2,2,2,2,"18419b46a04f4771a998a61279eb3ae1"
"2",2,2,2,2,2,2,2,2,"186268990d514a30b6998f49782e6344"
"4",2,2,2,2,2,2,2,2,"187d1528fc524811bc61dd37d5dc083f"
"1",2,2,2,2,2,2,2,2,"1881785b37cc4b85bc7022584c80427d"
"2",2,2,2,2,2,2,2,2,"1882689344ef46b39e66d162a2a98a99"
"2",2,2,2,2,2,2,2,2,"18b9c926f94c4c8282495f4324e4cb68"
"7",2,2,2,2,2,2,2,2,"18ce6918b33347719d97ec41a14e3df6"
"1",2,2,2,2,2,2,2,2,"18ea57abd7794ada8cdb3ab63b317587"
"8",2,2,2,2,2,2,2,2,"18f5bd33a6c246459366da21c90338a0"
"1",2,2,2,2,2,2,2,2,"192773eb6e2f480d8283caef17b07c92"
"1",2,2,2,1,2,2,2,2,"192ec8f527de48c3b711479b69a57f9c"
"2",2,2,2,2,2,2,2,2,"194c70f94cca497aac045956fa1b6124"
"1",2,2,2,2,2,2,2,2,"19541d5092684cc0a707da4aff5895d0"
"2",2,2,2,2,2,2,2,2,"195edf76aa334d659715445d11dbf790"
"12",2,2,2,2,2,2,2,2,"19783a8d2c5046e7ad2f63aa7e5189a9"
"1",2,2,2,2,2,2,2,2,"19aebc5aa6da40c3a890064d3eaa92b1"
"2",2,2,2,2,2,2,2,2,"19ba694fada44ad7909f285e4535b890"
"2",2,2,2,2,2,2,2,2,"19c4fc257abc424384647435dadb3700"
"2",2,2,2,2,2,2,2,2,"1a01bd1460524c62ab3b8f37161a1e86"
"1",2,2,2,2,2,2,2,2,"1a202f1842434ed6a844137614d526b3"
"1",2,2,2,2,2,2,2,2,"1a23e276ec3548579b682aa6ac9a03f7"
"2",1,2,2,2,2,2,2,1,"1a270f97ea7144f7ba1c5543ad51845a"
"1",2,2,2,2,2,2,2,2,"1a3d672c757c44b2aa7ed0fa190395fc"
"3",2,2,2,2,2,2,2,2,"1a4e07a2e001491990c1a79b3c0b06cc"
"1",2,2,2,2,2,2,2,2,"1a5e7470e5e349f4bdf3b8bd8779b225"
"1",2,2,2,2,2,2,2,2,"1a8e64e3f4c64a6c8b1d1c7962251e85"
"1",2,2,2,2,2,2,2,2,"1aa2f71fd3b144299a74dc9d4761a4bf"
"1",2,2,2,2,2,2,2,2,"1ac5be311466436b889555bae1886fd6"
"2",2,2,2,2,2,2,2,2,"1afc0338bf3b4f9ba59f4529c7e8b830"
"1",2,2,2,2,2,2,2,2,"1b058a022f4e4c15afd9e585e2a3d8e1"
"1",2,2,2,2,2,2,2,2,"1b2a1dd8c61d47d99f229fec9267bd22"
"1",2,2,2,2,2,2,2,2,"1b315a8237ee42d9936b5115c9b76c1a"
"1",2,2,2,2,2,2,2,2,"1b599a7d26094ccaadac933ba550fd0a"
"1",2,2,2,2,2,2,2,2,"1b6c16815b70461dbde0af4dbea1bc68"
"1",2,2,2,2,2,2,2,2,"1bfa24d291f74f478080a5e0b0c2316d"
"5",2,2,2,2,2,2,2,2,"1bfd952f27704db5aa96059df2731fa2"
"2",2,2,2,2,2,2,2,2,"1c287823471441bc9a6706f55636bfbb"
"11",2,2,2,2,2,2,2,2,"1c510d719fcc4e01ba4f19ddc878f6f2"
"1",2,2,2,2,2,2,2,2,"1c64eb05ca32403da6621f5e94d55910"
"2",2,2,2,2,2,2,2,2,"1d179e34397249688d8b0b57232a08b9"
"3",2,2,2,2,2,2,2,2,"1d5db1452c134d13a766ce2d80347a47"
"10",2,2,2,2,2,2,2,2,"1d7dd463d9cc43f587aee7e7e1995a35"
"1",2,2,2,2,2,2,2,2,"1d84f4637473454a98d77f5d98cc4fd2"
"1",2,2,2,2,2,2,2,2,"1d8871f1764249158f6fd0c5bf6e97b7"
"1",2,2,2,2,2,2,2,2,"1d938aa42c73429e9889c7a86cedaa2f"
"2",2,2,2,2,2,2,2,2,"1da6a4c9a49946e897870386d4be2c8b"
"2",2,2,2,2,2,2,2,2,"1da7a78f4a3348b9804b7159f8e18c98"
"2",2,2,2,2,2,2,2,2,"1dcf29bde5ad4b38bfaca4a5f224acdc"
"1",1,2,2,2,2,2,2,2,"1dd61fdf96334543aebada64e960f897"
"1",2,2,2,2,2,2,2,2,"1ddfeff49903462293869d882e446f43"
"1",2,2,2,2,2,2,2,2,"1de029ce91744778826d44fd2ccc246e"
"1",2,2,2,2,2,2,2,2,"1de6522cd7b14e11841c8c5d4f25e211"
"4",2,2,2,2,2,2,2,2,"1de958bacd3d4eeb82a70d6620757f8f"
"1",2,2,2,2,2,2,2,2,"1e26128cba484124b97bec4bf39e776b"
"1",2,2,2,2,2,2,2,2,"1e54026f09fa40988087510deea90f46"
"2",2,2,2,2,2,2,2,2,"1e56d33526fb49769284e77f0e5dad9a"
"1",2,2,2,1,2,2,2,2,"1e67060d19bd4d0fa4d5116580862414"
"8",2,2,1,2,2,2,2,2,"1e77f798054d471ab8bd2f11036942ad"
"2",1,2,2,2,2,2,2,2,"1e796e9fa1c64e16943f69008601d15b"
"4",2,2,2,2,2,2,2,2,"1eb28777f39148c7a2a3a36617f9a251"
"2",2,2,2,2,2,2,2,2,"1ee466cb73bb431abc6c0704ce7a012d"
"1",2,2,2,2,2,2,2,2,"1ef4272d96c04493bc66559cc7f9cd98"
"4",2,2,2,2,2,2,2,2,"1f0b5aa37fca42318a4ffedde0f6fed5"
"2",2,2,2,2,2,2,2,2,"1f13028b882145f1904e9519ce5f1d68"
"1",2,2,2,2,2,2,2,2,"1f19f2165bba4e73aac18269975c88ea"
"1",2,2,2,2,2,2,2,2,"1f5ce03f97d9472a9103a6dc7a53b304"
"1",2,2,2,2,2,2,2,2,"1fb71e7cd7cb4488a4a64e121fc228a3"
"1",2,2,2,2,2,2,2,2,"1fd70b9e35aa4cd6b25cbf59492adbd6"
"1",2,2,2,2,2,2,2,2,"2062fd74021e4fdc81f6dc28ca48674c"
"11",2,2,2,2,2,1,2,2,"208d9ccc80f049a29320cb05f3bb6ea2"
"1",2,2,2,2,2,2,2,2,"209b4a20b2974b4cb856b78659b82112"
"3",2,2,2,1,2,2,2,2,"20eff2f68f514a169a4d565c7e03c714"
"2",2,2,2,2,2,2,2,2,"21356128700341afab4bae888ad2f981"
"1",2,2,2,2,2,2,2,2,"213e685c665441c1a77464e5790d4d39"
"7",2,2,2,2,2,2,2,2,"217a20d82c0446a4928918df038adca4"
"1",2,2,2,2,2,2,2,2,"21af07d78ce04063a86281f45e4277be"
"1",2,2,2,2,2,2,2,2,"21b849069dbf4fd496fd37c1660cda62"
"1",2,2,2,2,2,2,2,2,"220e6e6cd04e48fda927b0736a33769f"
"1",2,2,2,2,2,2,2,2,"225eff3a30f74df8bb7cdcb2e8b53e7c"
"1",2,2,2,2,2,2,2,2,"2279a0d187384ac491f8c51a8fab14a0"
"2",2,2,2,2,2,2,2,2,"2280f98ac1154da5a0ef0da8b4a4f4bb"
"1",2,2,2,2,2,2,2,2,"22a58a22dae74065b1677bf5ab72c137"
"1",2,2,2,2,2,2,2,2,"22d8f0b251ec485696b45326748c7d05"
"2",2,2,2,2,2,2,2,2,"2353319aa97d462c9e3c06c17aeb4da9"
"1",2,2,2,1,2,2,2,2,"23565eb411ee4d4fa2184a26d4c6fa91"
"2",2,2,2,2,2,2,2,2,"236a304fee1f4de29bda56006ce6d313"
"2",2,2,2,2,2,2,2,2,"23c108ade72a47ee966e7552f5f47721"
"4",2,2,2,2,2,2,2,2,"23db11534e2c4249b81c216e8b966629"
"1",2,2,2,2,2,2,2,2,"23f174f359df441baa0a8f74e693287b"
"1",2,2,2,2,2,2,2,2,"2421880afd1f46b190f4732fc8e5e835"
"1",2,2,2,2,2,2,2,2,"242af9ef9b9949eaab0e473b709c427c"
"1",2,2,2,2,2,2,2,2,"242bbe13d9f14404a1910a49c7472422"
