"PID","t31","t32","t33","t34","t35","t36","hhid"
7,98,,98,,,,"264b7a9fbdbc44c6898a02a98b23f99e"
14,2,,2,,,,"26df7db98a224f2d8cc3df26834c8cb3"
4,1,2,1,2,2,,"27237f19b78242dbbc6cb7d6b3b68dcb"
9,1,2,1,2,2,,"277509c12a5148299027784fbb1bfd7c"
6,2,,2,,,,"281c1e9727e24f3ba38cd4bdaec4edf0"
4,2,,1,2,2,,"28a179792a564fd496adc09a3de78988"
4,2,,2,,,,"28fae53d8b8b40708861a82637daba05"
9,2,,2,,,,"2996bdef98fc498eb7d1544ab289a949"
5,1,1,2,,,,"29f77616aa4f47ffb44bac82fbacef59"
9,2,,2,,,,"2a3fdc60eacb43afa748089b59e75d72"
4,2,,98,,,,"2a85264bf5b74593930eae2103209224"
7,1,1,1,2,2,,"2ab832b9019a4d45b3b1c5a93eb436d5"
-999999999,2,,2,,,,"2abb452a63654ddeadd351815d76cbc6"
7,1,2,1,2,1,6,"2ada189776a548d89a6c2f2bff16b5c2"
8,2,,1,2,2,,"2af8d5fd8b2a4458b30dddd1f3d5a9b8"
2,2,,1,2,2,,"2b7afe6f631548f48a9cfcb272c63cad"
8,2,,1,3,2,,"2b80b3ba5e2a48028b2fdff1c0491d2c"
7,2,,2,,,,"2b97ff1426c44de289a445eded0ccb86"
11,2,,2,,,,"2bfb2d5d0484428fb2747b0cecd88b2b"
8,1,2,1,2,2,,"2c61df53e09649b49a7da037174d0996"
5,2,,2,,,,"2c6a0b01f8df427f944dc88e15550d44"
4,2,,1,2,2,,"2c8a0ac39a1a441a96182ad2be1326d9"
6,2,,2,,,,"2c8e03b857bc459fb92fac9045dbcacf"
8,2,,2,,,,"2cb1f00388b745698cde84ee0091c1e5"
4,2,,2,,,,"2d6b5d1b5929451998ee1d8302f0db26"
10,2,,2,,,,"2d9fb7ca4e764d448ca445f70e9378db"
4,2,,1,2,2,,"2db9bb876ffd4de3bf35e7b4c6d03c86"
4,2,,2,,,,"2dccaa73a2344662a2071d34410deac2"
-999999999,,,,,,,"2dd96e542ec149129f04e92caa96a30d"
6,1,2,1,2,2,,"2e005c9d33a1496889bc2668de51f031"
4,2,,2,,,,"2e856f1055a9440ab29a01767377b8a8"
10,2,,1,1,2,,"2ea2a43b1e1943c7bdc4c6e239b5f390"
6,2,,2,,,,"2ebeec35d766400bb532f402fe7533dc"
4,2,,2,,,,"2f144f92a2b64dcdb520dec89307cd53"
10,2,,1,2,2,,"2f9952ff230e43e5a88870c5dbaaa325"
6,2,,2,,,,"2fb38936615b4db3a67d76b621284603"
3,1,2,1,2,2,,"2fdef796914c4c00a3f3164e76f43b57"
10,2,,2,,,,"30322018c45f4c6b95cec1f96fbea405"
6,2,,1,2,2,,"310356da4c8a4ea08d7fc34f77d68fec"
6,2,,2,,,,"31a28b3746724f9d8c45280f0665e0cd"
7,2,,2,,,,"31ad2ecbbb2b415fbe958982b5502c35"
9,2,,2,,,,"3290dc38c12b4bdf8a98096dc5fce083"
-999999999,2,,2,,,,"32c5d81512f14980ae02591ccf41dc9c"
11,1,1,2,,,,"32e86c42baf14a2a80377b9206c590f0"
2,2,,2,,,,"336eaf99465645a9a411f706b1eefd43"
3,2,,2,,,,"34596ad80dd949dab8419c2ca8144e61"
4,2,,2,,,,"34ebc424a83444a783220940c21e3568"
6,2,,2,,,,"35a4759799a64403abcf6f526479d782"
