"hhid","PID","pid_unps","t0_hhid","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10"
"00a09aedb8c049aa8364d377c26c5f81",5,"P39507-005","H3950701",1,6,12,,1,19,98,98,2000,5
"00a09aedb8c049aa8364d377c26c5f81",6,"P39507-006","H3950701",2,3,12,,1,5,24,12,2013,
"00a09aedb8c049aa8364d377c26c5f81",7,,"H3950701",1,3,12,,1,2,29,8,2016,
"00a68f13f97141199e9fda8aacbccc8d",1,,"H0491302",2,2,12,,1,23,98,2,1995,1
"00a68f13f97141199e9fda8aacbccc8d",2,,"H0491302",1,3,12,,1,5,8,11,2013,
"00a68f13f97141199e9fda8aacbccc8d",3,,"H0491302",2,3,12,,1,3,10,11,2015,
"00a68f13f97141199e9fda8aacbccc8d",4,,"H0491302",1,1,12,,1,31,98,98,1988,1
"00bbd034f88649bc980b091d4a5af645",1,"P35207-002","H3520701",2,1,12,,1,64,24,8,1953,4
"00bbd034f88649bc980b091d4a5af645",2,"P35207-003","H3520701",1,4,4,15,4,22,26,11,1995,5
"00bbd034f88649bc980b091d4a5af645",3,"P35207-004","H3520701",1,4,4,15,4,20,98,9,1997,5
"00bbd034f88649bc980b091d4a5af645",4,"P35207-005","H3520701",2,5,12,,1,84,98,98,1934,4
"00bbd034f88649bc980b091d4a5af645",5,,"H3520701",1,10,12,,1,18,24,12,1999,5
"00c9353d8ebe42faabf5919b81d7fae7",1,"P36910-002","H3691002",2,3,12,,1,26,98,98,1992,3
"00c9353d8ebe42faabf5919b81d7fae7",2,"P36910-006","H3691002",,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",3,"P36910-007","H3691002",,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",4,"P36910-008","H3691002",2,1,12,,1,55,98,11,1962,2
"00c9353d8ebe42faabf5919b81d7fae7",5,"P36910-009","H3691002",2,3,12,,1,15,98,98,2003,5
"00c9353d8ebe42faabf5919b81d7fae7",6,"P36910-010","H3691002",1,3,12,,1,12,31,5,2006,5
"00c9353d8ebe42faabf5919b81d7fae7",7,,"H3691002",2,3,12,,1,9,26,5,2009,
"00c9353d8ebe42faabf5919b81d7fae7",8,,"H3691002",2,3,12,,1,14,98,5,2004,5
"00c9353d8ebe42faabf5919b81d7fae7",9,,"H3691002",2,4,12,,1,14,13,6,2004,5
"00c9353d8ebe42faabf5919b81d7fae7",10,,"H3691002",,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",11,,"H3691002",2,4,12,,1,1,9,11,2016,
"00db391b5a9a4ef0954f50f148069c46",1,"P10905-003","H1090502",2,2,12,,1,25,2,6,1992,1
"00db391b5a9a4ef0954f50f148069c46",2,"P10905-012","H1090502",1,1,12,,1,28,16,4,1990,1
"00db391b5a9a4ef0954f50f148069c46",3,"P10905-013","H1090502",1,3,12,,1,7,26,6,2010,
"00db391b5a9a4ef0954f50f148069c46",4,"P10905-014","H1090502",1,3,12,,1,6,23,10,2011,
"00db391b5a9a4ef0954f50f148069c46",5,"P10905-015","H1090502",2,3,12,,1,4,13,12,2013,
"00db391b5a9a4ef0954f50f148069c46",6,"P10905-017","H1090502",1,3,12,,1,2,7,10,2015,
"00db391b5a9a4ef0954f50f148069c46",7,,"H1090502",1,7,12,,3,10,15,1,2008,5
"00db391b5a9a4ef0954f50f148069c46",8,,"H1090502",1,3,2,1,1,0,14,2,2018,
"00e23121bad94719bff27f93646437b3",1,"P23707-001","H2370701",1,1,12,,2,40,12,12,1977,1
"00e23121bad94719bff27f93646437b3",2,"P23707-002","H2370701",2,2,12,,1,35,3,12,1982,1
"00e23121bad94719bff27f93646437b3",3,"P23707-006","H2370701",,,,,,,,,,
