"hhid","PID","s6q02","s6q03","s6q04","sq05_1","s6q06","s6q07_1","s6q07_2","s6q07_3a","s6q07_3b","s6q07_3c","s6q07_3d","s6q07_3e","s6q07_3f","s6q07_3g","s6q07_3h","s6q07_3i","s6q07_3j","s6q07_3x","s6q13_1","s6q14_2","h6q12a","h6q12b","h6q12c","h6q12d","h6q12e","h6q12f","h6q12g","h6q12h","h6q12i","h6q12j","h6q12k","h6q12_1a","h6q12_1b","h6q12_1c","s6q30b","s6q14","s6q15a","s6q15b","s6q15c","s6q15x","s6q15z","s6q30","s6q16","s6q17","s6q18a","s6q18b","s6q18c","s6q19","s6q20","s6q21","s6q22","s6q23","h6q31_1","h6q31a","h6q31b","s6q24","s6q25","h6q32"
"00b48fb6bcf84dd581bd7b2be5f908a0",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",6,3,1,14,1,1,1,2,,,,,,,,,,,,1,2,1,2,2,2,2,2,2,1,2,2,2,,,,2,1,1,2,2,2,2,2,2,,,,,,,2,2,,1,1,1,1,1,2
"00cb487f12014891b3efa5c8679d18ab",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",6,2,1,20,1,1,1,2,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,2,2,2,2,,,,2,1,1,2,2,2,2,1,1,2,2,2,1,3,2,2,1,10,1,1,2,4,4,1
"00dc3a212a1f40698656b2dc7cc97a85",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",8,2,1,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,2,2,,,,,,,1,2,1,2,2,2,4,4,1
"00dc3a212a1f40698656b2dc7cc97a85",9,2,1,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,2,2,,,,,,,2,2,,2,2,2,4,4,1
"00dc3a212a1f40698656b2dc7cc97a85",10,2,1,0,1,1,1,2,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,3,,,,,,2,2,,,,,,,2,2,,2,2,2,5,5,1
"0142f6f0c8f9435c97ac2563a6f390ec",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",7,1,2,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,1,2,,,,,,,2,2,,1,1,1,4,4,1
"014cbd0c0b844976888438f7ea74aa69",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",4,1,1,48,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,,,,,2,2,,2,2,2,4,4,3
"018d29620fa44db282c80b6627413e5c",5,1,1,20,1,1,2,2,,,,,,,,,,,,1,2,1,2,1,2,2,2,2,2,2,2,2,,3,,2,4,,,,,,2,1,2,1,2,2,2,2,2,1,10,1,2,2,4,4,3
"018d29620fa44db282c80b6627413e5c",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
