"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17ab","s8q17","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d"
"0007d1f1449242feb5a25429644fb991",1,2,6,2,2,2,2,1,1,2,,,,,"subsistence mixed farmer",6,63,633,6330,1,"harvesting soya beans and beans and rearing animals",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,8,6,4,4,2,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",2,2,6,1,2,2,2,1,1,1,,,,,"PRIMARY SCHOOL TEACHER",2,23,234,2341,1,"teaching children",161111,85,851,8510,1,1,,1,1,2,1,1,1,,8,4,,,,,5,4,1,"SUBSISTENCE MIXED FARMER",6,63,633,6330,"ploughing and harvesting soya beans and rearing animals",11111,1,15222,150,6,7,5,0,0,0,0,5,5,0,0,0,2,0,5,0,6,1,1,150000,4,,2,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",3,2,6,1,2,2,2,1,1,1,,,,,"subsistence mixed farmer",6,63,633,6330,1,"harvesting soya beans and planting maize and beans and rearing animals",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,1,"house Builder",7,71,713,7133,"BUILDING HOUSES",61111,41,410,4100,1,5,6,0,7,7,7,7,7,7,0,0,0,0,0,0,0,3,,,,,,,96,,,50000,3,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",6,1,,2,2,2,2,1,1,2,,,,,"subsistence mixed farmer",6,63,633,6330,1,"ploughing land and planting beans and rearing animals",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,7,7,7,7,7,7,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,,2,2,2,2,1,1,2,,,,,"Ploughing land",6,61,611,6111,1,"Growing crops mainly for sale and some for food",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,5,5,0,3,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,,2,1,2,2,1,1,2,,,,,"Selling food items",5,52,521,5211,1,"Selling food items in the market",71111,47,478,4789,1,3,,,,,,,,,,,2,2,1,2,5,7,1,"preparing land for planting",6,61,611,6111,"Growing crops mainly for sale and some for sale and some for food",11111,1,11222,111,6,7,5,0,10,0,12,5,4,0,0,3,0,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",4,2,2,2,2,2,2,1,1,2,,,,,"Weeding crops",6,61,611,6111,1,"Growing crops mainly for sale and some for food",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,3,3,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",1,2,2,2,1,2,2,2,1,2,,,,,"SAWING CLOTHES",7,75,753,7531,1,"SAWING CLOTHES",31111,14,141222,1410,1,3,,,,,,,,,,,2,2,1,2,7,1,2,,,,,,,,,,,,,,0,4,4,4,4,4,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",2,1,,2,2,2,2,2,2,1,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"PRODUCTION OF CROPS FOR HOME CONSUMPTION",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",3,2,2,2,2,2,2,1,1,2,,,,,"LOOKING AFTER ANIMALS",6,63,632,6320,1,"LOOK AFTER ANIMALS",11111,1,14222,141,1,6,3,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,5,9,9,9,9,9,9,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",1,2,3,1,2,2,2,2,1,2,,,,,"CASUAL LABOURER",9,92,921,9211,1,"CASUAL LABOURER ON PRIVATE AGRICULTURAL FARMS",11111,1,11222,111,1,1,,2,2,2,2,2,2,1,1,2,,,,,7,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,3,,,14000,3,,,,,,,,,,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",3,1,,2,2,2,2,2,2,2,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,19
"003ed8d32f794609919d60d2ed8813e8",4,2,1,1,2,2,2,2,1,2,,,,,"CASUAL LABOURER",9,92,921,9211,1,"CASUAL LABOURER ON PRIVATE AGRICULTURAL FARMS.",11111,1,11222,111,1,1,,2,2,2,2,2,2,1,1,2,,,,,7,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,3,,,14000,3,,,,,,,,,,,,,,,,
"005fbc5779014a0290b088071bde9f72",1,1,,2,1,2,2,2,1,2,,,,,"RETAIL SALE OF TOBBACO",5,52,522,5221,1,"RETAIL SALE OF TOBBACO",71111,47,472,4723,1,3,,,,,,,,,,,2,2,1,2,5,1,2,,,,,,,,,,,,,,13,13,13,13,13,13,13,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,2,3,2,2,2,2,2,2,2,2,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,19
"0060071f3f414406af7312d68eae8513",2,2,3,2,2,2,2,1,1,2,,,,,"subsistence crop farming",6,63,631,6310,1,"subsistence crop farming",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,0,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",3,1,,2,2,2,2,1,1,1,,,,,"subsistence crop farming",6,63,631,6310,1,"subsistence crop farming",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,0,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"007341c9c07448a580714ee6a46d427f",1,2,2,1,2,2,2,2,1,2,,,,,"LABOURER IN BRICK MAKING",9,93,932,9329,1,"MAKING BRICKS",31111,23,239,2392,1,1,,2,2,2,2,2,2,1,8,2,,,,,7,8,2,,,,,,,,,,,,,,12,12,12,12,12,12,12,,,,,,,,1,1,7000,2,,1,,,,,,,,,,,,,,,,
"007341c9c07448a580714ee6a46d427f",2,1,,1,2,2,2,2,1,2,,,,,"COOK AT A PRIMARY SCHOOL",5,51,512,5120,1,"PRIMARY SCHOOL EDUCATION",161111,85,851,8510,1,1,,2,2,1,2,2,1,,12,4,,,,,5,96,2,,,,,,,,,,,,,,14,14,14,14,14,14,14,,,,,,,,2,1,120000,4,,2,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",1,2,5,2,2,2,2,2,2,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11
"008c674975f24ea79f50e30cbd4ee635",2,2,5,2,2,2,2,2,2,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11
"008c674975f24ea79f50e30cbd4ee635",4,2,5,2,2,2,2,2,2,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11
"008c674975f24ea79f50e30cbd4ee635",5,1,,2,2,2,2,2,2,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11
"009c1baa0edb44f8af47773ce0b7caaa",1,1,,2,2,2,2,1,1,2,,,,,"Subsistence crop farmer",6,61,613,6130,1,"Subsistence crop farming",11111,1,12222,129,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,6,6,6,6,6,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",2,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"009c1baa0edb44f8af47773ce0b7caaa",4,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,,2,1,2,2,1,1,2,,,,,"STALL SELLER",5,52,521,5211,1,"STALL SELLING TOMATOES",71111,47,478,4781,1,3,,,,,,,,,,,2,2,1,2,5,7,1,"SUBSISTENCE CROP FARMER",6,63,631,6310,"SUBSISTENCE CROP FARMING",11111,1,12222,129,6,5,5,5,5,5,5,5,5,5,0,3,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",1,1,,1,2,2,2,2,1,2,,,,,"House builder",7,71,712,7123,1,"Construction",61111,41,410,4100,1,1,,2,2,2,2,2,1,,10,3,,,,,5,4,2,,,,,,,,,,,,,,9,0,0,10,8,8,9,,,,,,,,4,1,20000,2,,1,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",2,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"00c2b27287a74f948fef24a8de42825c",1,1,,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13
"00c2b27287a74f948fef24a8de42825c",2,2,3,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13
"00c2b27287a74f948fef24a8de42825c",3,1,,2,2,2,2,1,1,,,,,,"commercial farming",6,61,611,6114,1,"commercial farming",11111,1,11222,119,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,6,6,6,6,6,6,6,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",4,2,3,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"00cb487f12014891b3efa5c8679d18ab",1,1,,2,2,2,2,1,1,2,,,,,"rearing animals",6,63,633,6330,1,"rearing of animals",11111,1,15222,150,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,4,6,5,5,0,5,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",2,1,,2,2,2,2,1,1,2,,,,,"rearing animals",6,63,633,6330,1,"rearing animals",11111,1,15222,150,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,0,0,4,0,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",3,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"00cb487f12014891b3efa5c8679d18ab",4,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"00d5da8bbd544c548a71f176496ee4b6",1,2,2,2,2,2,2,2,2,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11
"00d5da8bbd544c548a71f176496ee4b6",2,1,,2,2,2,2,2,2,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11
"00d5da8bbd544c548a71f176496ee4b6",3,1,,2,2,2,2,2,2,2,2,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11
"00dc3a212a1f40698656b2dc7cc97a85",1,1,,1,2,2,2,1,1,2,,,,,"SUBSISTENCE FARMER GROWING MAIZE AND OTHER FOOD CROPS",6,63,631,6310,1,"SUBSISTENCE FARMER GROWING MAIZE AND OTHER FOOD CROPS",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,1,"CUTTING GRASS  FOR THATCHING.",7,75,754,7549,"CUTTING GRASS FOR THATCHING",201111,97,970,9700,1,7,8,0,5,5,4,4,5,0,0,3,3,3,0,0,0,4,,,,,,,1,10000,2,,1,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,2,1,2,2,2,2,2,2,1,,,,,"SUBSISTENCE FARMER GROWING MAIZE AND OTHER FOOD CROPS",6,63,631,6310,1,"SUBSISTENCE FARMER GROWING MAIZE AND OTHER FOOD CROPS",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",3,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"00dc3a212a1f40698656b2dc7cc97a85",4,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"00dc3a212a1f40698656b2dc7cc97a85",5,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"0142f6f0c8f9435c97ac2563a6f390ec",1,1,,1,2,2,2,2,1,2,,,,,"ROOFERS",7,71,712,7121,1,"ROOFING",61111,41,410,4100,1,1,,2,2,2,2,2,1,,12,4,,,,,7,3,2,,,,,,,,,,,,,,8,8,8,8,8,8,0,,,,,,,,4,3,,,1500000,1,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",2,2,1,2,2,2,2,1,1,2,,,,,"MIXED  FARMING",6,63,633,6330,1,"MIXED FARMING",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,6,6,0,6,6,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"0142f6f0c8f9435c97ac2563a6f390ec",4,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"0142f6f0c8f9435c97ac2563a6f390ec",5,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"0142f6f0c8f9435c97ac2563a6f390ec",6,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"014cbd0c0b844976888438f7ea74aa69",1,1,,2,1,2,2,1,1,2,,,,,"BODA BODA RIDER",8,83,831,8321,1,"transport",81111,49,492,4921,1,3,,,,,,,,,,,2,2,1,2,5,8,1,"Growing crops and keeping animals",6,63,631,6310,"Agriculture",11111,1,15222,150,6,7,5,0,8,8,8,8,0,0,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",1,1,,2,2,2,2,2,2,1,,,,,"Subsistence farming",6,63,631,6310,1,"harvesting cassava",11111,1,11222,113,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",2,2,1,2,2,2,2,2,2,1,,,,,"Subsistence farming",6,63,631,6310,1,"weeding cassava",11111,1,11222,113,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",1,1,,2,2,2,2,1,1,2,,,,,"COMMERCIAL  FARMER",6,63,632,6320,1,"RAISING BULLS",11111,1,14222,141,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",2,2,1,2,2,2,2,1,1,2,,,,,"COMMERCIAL FARMER",6,63,632,6320,1,"RAISING BULLS",11111,1,14222,141,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,12,12,12,12,12,12,12,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",6,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"018d29620fa44db282c80b6627413e5c",7,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"0192cb54d502450ca603738439bf616f",1,2,8,2,2,2,2,2,2,1,,,,,"TEACHING IN A PRIMARY SCHOOL",2,23,234,2341,1,"PRIMARY SCHOOL TEACHER",161111,85,851,8510,1,1,,2,2,1,1,1,1,,12,4,,,,,2,4,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,1,450000,4,,1,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,2,8,2,2,2,2,1,1,2,,,,,"GROWING MAIZE AND BEANS FOR HOME CONSUMPTION",6,63,631,6310,1,"GROWING MAIZE AND BEANS FOR HOME CONSUMPTION",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,2,8,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13
"0192cb54d502450ca603738439bf616f",4,2,8,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13
"0192cb54d502450ca603738439bf616f",5,2,8,2,2,2,2,1,1,2,,,,,"MIXED CROP AND LIVESTOCK FARMING FOR MAJORLY HOME CONSUMPTION",6,63,633,6330,1,"MIXED CROP AND LIVESTOCK FARMING FOR HOME CONSUMPTION",11111,1,15222,150,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,2,6,6,6,6,6,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",8,1,,2,2,2,2,1,1,2,,,,,"MIXED CROP AND LIVESTOCK FARMING FOR HOME CONSUMPTION",6,63,633,6330,1,"MIXED CROP AND LIVESTOCK FARMING",11111,1,15222,150,1,6,4,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,1,,1,2,2,2,1,1,2,,,,,"AGRICULTURAL LABOURER",9,92,921,9211,1,"PLOUGHING, GROWING CROPS",11111,1,16222,161,1,1,,2,2,2,2,2,2,1,8,4,,,,,7,5,1,"SUBSISTENCE CROP FARMER",6,63,631,6310,"production of food crops",11111,1,11222,119,6,7,5,0,3,0,0,0,3,3,0,0,2,0,2,0,0,4,1,4000,2,,1,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",1,2,5,2,2,2,2,1,1,1,,,,,"Crop farmer",6,61,611,6111,1,"Crop farming",11111,1,12222,129,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,0,0,0,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",2,2,5,2,2,2,2,1,1,1,,,,,"Crop farmer",6,61,611,6111,1,"Crop farming",11111,1,12222,122,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,2,5,1,2,2,2,2,1,1,,,,,"Salon worker",5,51,514,5141,1,"Hair dressing",191111,96,960,9602,1,1,,2,2,2,2,1,1,,12,4,,,,,7,4,2,,,,,,,,,,,,,,8,8,8,8,8,8,8,,,,,,,,4,1,100000,4,,3,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,2,5,1,2,2,2,2,1,2,,,,,"Apprentice  carpenter",3,31,311,3112,1,"Construction of buildings",61111,41,410,4100,1,1,,2,2,2,2,2,2,2,9,4,,,,,5,4,2,,,,,,,,,,,,,,0,8,8,0,0,0,0,,,,,,,,1,1,150000,4,,4,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",5,1,,1,2,2,2,1,1,2,,,,,"Primary teacher",2,23,234,2341,1,"PRIMARY EDUCATION",161111,85,851,8510,1,1,,2,2,2,2,2,2,5,12,4,,,,,1,4,1,"Subsistence farmer",6,63,631,6310,"Subsistence farming",11111,1,12222,122,6,7,5,0,0,0,0,0,2,0,0,3,3,3,3,0,0,1,1,100000,4,,5,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",7,2,5,2,2,2,2,1,1,2,,,,,"Subsistence farmer",6,63,631,6310,1,"Crop farming",11111,1,12222,122,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,3,3,3,3,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",8,2,5,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"019f06d347d04d5fa22f1846aba0c59b",9,2,5,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"019f06d347d04d5fa22f1846aba0c59b",10,2,5,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,,2,2,2,2,1,1,2,,,,,"SUBSISTENCE CROP FARMING",6,63,631,6310,1,"MATOOKE, BEANS, SWEATPOTATOES",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,0,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"01d54a65224747fba33cf7b310c7435e",1,2,2,2,2,2,2,1,1,2,,,,,"COMMERCIAL MIXED FARMER",6,61,613,6130,1,"COMMERCIAL MIXED FARMING",11111,1,15222,150,1,6,2,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,5,10,10,10,10,10,10,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"01d54a65224747fba33cf7b310c7435e",2,1,,2,2,2,2,1,1,2,,,,,"COMMERCIAL MIXED FARMER",6,61,613,6130,1,"COMMERCIAL MIXED FARMING",11111,1,15222,150,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,4,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"01d54a65224747fba33cf7b310c7435e",3,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"01d54a65224747fba33cf7b310c7435e",6,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"01e7608a258e42c7a2f5af8b551bc247",1,1,,2,2,2,2,1,1,2,,,,,"subsistence crop farming",6,63,631,6310,1,"subsistence crop farming",11111,1,11222,119,1,6,4,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,3,3,3,3,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
