"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17ab","s8q17","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d"
"e71a3dc6e5cb473ab53e52b73b10ba4d",5,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e7344e1f84914899a0de39afee9bd452",1,2,2,2,1,2,2,2,1,2,,,,,"Shopkeeper",5,52,522,5221,1,"wholesale and Retail sales of eggs",71111,46,463,4630,1,3,,,,,,,,,,,2,2,1,1,5,4,2,,,,,,,,,,,,,,0,10,10,10,10,10,10,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e7344e1f84914899a0de39afee9bd452",2,1,,2,2,2,2,2,2,2,2,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13
"e7344e1f84914899a0de39afee9bd452",7,1,,1,2,2,2,2,1,2,,,,,"House Maid",9,91,911,9111,1,"House keeping",191111,96,960,9609,1,1,,2,2,2,2,2,1,,12,4,,,,,7,3,2,,,,,,,,,,,,,,8,8,8,8,8,8,8,,,,,,,,4,1,50000,4,,7,,,,,,,,,,,,,,,,
"e736bcb6cbfb4c64b6b9f29f9010ba6a",1,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE COMMERCIAL  CROP FARMER",6,61,611,6111,1,"FINGER MILLET AND GROUNDNUTS GROWER",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e736bcb6cbfb4c64b6b9f29f9010ba6a",2,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE COMMERCIAL CROP FARMER",6,61,611,6111,1,"FINGER MILLET AND GROUNDNUTS GROWER",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e736bcb6cbfb4c64b6b9f29f9010ba6a",3,2,1,2,2,2,2,2,2,1,,,,,"SUBSISTENCE COMMERCIAL CROP FARMER",6,61,611,6111,1,"FINGER MILLET AND GROUNDNUTS GROWER",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e736bcb6cbfb4c64b6b9f29f9010ba6a",4,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e736bcb6cbfb4c64b6b9f29f9010ba6a",5,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE COMMERCIAL FARMER",6,61,611,6111,1,"FINGER MILLET AND GROUNDNUTS GROWER",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,4,4,4,4,4,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e736bcb6cbfb4c64b6b9f29f9010ba6a",6,2,1,1,2,2,2,2,1,,,,,,"SECRETARY IN ST JOHN'S COLLEGE KACHUMBALA  PRIMARY SCHOOL",4,41,412,4120,1,"OFFICE / SCHOOL SECRETARY IN ST JOHN'S COLLEGE KACHUMBALA.",161111,85,851,8510,1,1,,1,2,2,2,1,1,,12,4,,,,,5,4,2,,,,,,,,,,,,,,0,8,8,8,8,8,8,,,,,,,,8,1,250000,4,,6,,,,,,,,,,,,,,,,
