"hhid","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3"
"11849db1f29e4b0cb08e6eeda1fbfb30",6,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3
"122b45c8ede343909405d719aa98f674",7,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"129e90e0b1534943b07e61e5b50d632b",5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"12d9093756604f24b9255e1ba86dbd4f",6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"132b9b8ef3e846abb4dd11ffa45e55f0",14,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"144b7e78b04746d4bf4b3a17e62eae1c",10,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
"153130f9590e4b59a237bbcd326d58ce",8,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"1658e0a4e49040548c0f56b70c4a0f75",6,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
"16821330e76d4edcb91f14caa98a742c",12,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4
"172ef9d000384fd187798123563776cf",6,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3
"17a52aa31b0a4f878010b643c427e444",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
"18506aeca7de41faba0358b1742177ff",5,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"18a09e7e60274c099838f40ab9ac837a",5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"195e7e185f2d4346bb2cfad5e5ad023f",5,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,3
"1b53079ceaf94e0396763c32908ac53f",7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3
"1d1b0112e5fc4665b6259b6538dc0939",10,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3
"1d70eacf23834d34b4dda5073d230f29",5,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,3
"1e951f7b564247088afe5da99452ba04",10,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"1fe4c1318fd54f66b040b4dfb416ef74",4,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,7
"20d6da2686574173adaf3413391ca906",5,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2
"20dc85914d764218a363309a0e25cef1",7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"2140c5c82fb2488b8e6036d60d423225",7,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"21f10611df214254b3541c9eb5c93c13",4,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"228ea02d49594149a81805983d000ce9",3,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"2342cd7d1e3d4166aab8918e8555d0d0",5,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2
"236cfc7a73be4fbf961dfe0e1da153f0",10,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2
"23825fe7c5d9468fac206ac53bb12e1a",7,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3
"25433274635a41ac80e8eeb62a694a1a",7,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,3
"25bca54a351240c7900a48203fade4b4",8,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"25db106efa724efdb5c0420e2bd97944",7,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2
"25ef06fd5b5e476592286c005f1f0ef8",4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"26372ce413f748b98a3b3d1b1ee64608",6,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,3
"26cdf966ad3d4347a3b64baeba4acc3d",11,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4
"275628d5ba744b6585a7e7b6f5ba8e45",12,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,4
"2793689c81fe4a66a7cfe86d1b3150f9",9,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
"2799950e3b464fd1b3458b74361da9b9",13,1,2,1,1,2,2,2,2,2,,2,1,1,2,2,2,2,2,1,2,2,4
"282cd74076c2438f921c0ccf6160fdfe",12,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
"28cd2ccd0f144e4c816092654cfc2727",7,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"28cf2e844e8f4445bf3bfccc02b66b49",4,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4
"29d372b1412b47f8a56376ec4cf28707",9,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"2a51f29fbf274a588d3017cbc2c50dea",7,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2
"2a8596db3d5a4dff968707a60106ca7f",7,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"2bea05c273944082b1c5fbd6b391e0a8",6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
"2c26585736444489a370ee90f939872c",6,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"2c5fb73501804b39ad74d51b52188688",6,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4
"2ccb2dbb24b4411ab872957322c924ba",4,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,4
"2d683a86b3e247ed8e8d9c59c8dba618",8,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"2dd973cdd68e4aebb9022299bb510b2d",6,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
"2eb976486cfa4f4b992d87c52227a2d3",9,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
"2ef4b34470ea4fafa4597f2756aeec99",8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10
"2f1a7d2120d64757a214842e7a29b673",2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"2f3a098e58ac41a8b58f0fea74822b1d",5,1,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,3
"2f4f8d7f02aa464b85274a488b590a20",5,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3
"309a68a1a2c04e2c95fbb5342b4b28ef",15,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"3125d7938c8a4df099a04c983c4ea29b",6,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
