"hhid","hhidold","batch","region","regurb","subreg","district","dc_2018","s1aq02a","cc_2018","s1aq03a","sc_2018","s1aq04a","pc_2018","urban","response_status","year","month","day","wave","wgt"
"222ddd7beeb6427cac3030800bd3ab80","f2af3f1c4c0f4042a87e634157c1e592",481,2,20,6,"BULAMBULI",225,"BULAMBULI",1,"LUSHA",14,"GOMBE",3,0,1,"2019","04","04",8,888.204708946794
"223eaf0efc8f4a89a92e0835945ff65d","8e70cdad3a9045fdb4d573587bc2ea8f",500,2,20,6,"KWEEN",228,"KWEEN",1,"BINYINY",2,"KONO",3,0,1,"2019","08","19",8,888.204769776538
"22468fd5c0654e6fb1c9a07597d232fd","1fa199cd9d254cd08573b777195caae0",176,1,11,2,"WAKISO",113,"BUSIRO",1,"KYENGERA TOWN COUNCIL",11,"KASENGE",2,1,1,"2019","11","01",8,2603.38347395626
"224c1dab76684d34bde4139b30cf9aab","408b979bb12a41bb8fdb8c6e481cd23e",891,4,40,15,"KISORO",408,"BUFUMBIRA",1,"BUSANZA",2,"BUHOZI",1,0,1,"2019","11","05",8,2277.17075806253
"225ce7a298b74c198057f0d963f53a72","6fbd6d3c79154fa08e1bd82de62547cc",728,3,30,11,"MARACHA",320,"MARACHA",1,"YIVU",8,"PAKAYO",8,0,1,"2019","04","12",8,582.636367548126
"226f458fa11e4919a3a22cbece5b1056","2d2c5254d89d44a281918e10f477b1b8",266,1,10,2,"BUKOMANSIMBI",118,"BUKOMANSIMBI",1,"BIGASA",1,"BUKANGO",1,0,1,"2019","05","22",8,10101.5034400778
"228ea02d49594149a81805983d000ce9",,,2,20,5,"BUTALEJA",221,"BUNYOLE",1,"KACHONGA",9,"NABIGANDA",2,0,1,"2019","09","20",8,1110.2562719526
"229d2e80c4924e009daa0a7818001988","7675198e5ee6477da8a608bb8eb15697",422,2,20,5,"TORORO",212,"WEST BUDAMA",3,"MULANDA",5,"MULANDA",2,0,1,"2019","08","09",8,1110.25596222067
"22e3ffc6fb744497ae61f2b8f386983f","c5144bccec92485d8ead5eadde9bdcb7",1005,4,41,14,"IBANDA",417,"IBANDA MUNICIPALITY",2,"KAGANGO DIVISION",3,"KAGONGO",1,1,1,"2019","05","11",8,10380.4446412247
"22f1abe41cf647788695382514c0e513","1b8f63cdd081456c8598deeab3c32140",85,1,10,2,"MASAKA",105,"BUKOTO",1,"KYESIIGA",5,"BUGERE",2,0,1,"2019","11","04",8,2020.30078859163
"23209e24c96541a1af7969ab4c73d35c","1644cc9b10c946bfbfaaf1d972bf7258",1061,4,40,13,"NTOROKO",424,"NTOROKO",1,"KARUGUTU",5,"ITOJO",2,0,1,"2019","11","08",8,1301.24038988302
"2322b92bf73247fca54660634e10b4f4","dd626a8fbaf54df09a91e17a2cac0ef7",650,3,31,11,"MOYO",309,"OBONGI",1,"OBONGI TOWN COUNCIL",4,"YAKINEMIJI",5,1,1,"2019","08","09",8,579.334289546478
"2327ff79e9924751be6f311583f65b3e","39cee976f2a74b2f8889a2e1ce75071f",10,1,11,1,"KAMPALA",102,"KCCA",1,"KAWEMPE DIVISION",2,"KIKAAYA",8,1,1,"2019","09","15",8,1087.52519718249
"2342cd7d1e3d4166aab8918e8555d0d0","994a67318ceb45688e8f485e9ff734ac",354,2,20,4,"JINJA",204,"KAGOMA",3,"BUTAGAYA",2,"NAWAMPANDA",5,0,1,"2019","08","14",8,986.894154846295
"2342f7a273b3482ca0d6fa0f87a07583","479c32b9044c44bfb3fbaab3de5b1950",1044,4,40,14,"BUHWEJU",420,"BUHWEJU",1,"NYAKISHANA",7,"RUKONDO",4,0,1,"2020","01","16",8,910.868272918113
"2354aa9ee2ae4dc7b1401ec1ea40ac5b","eadb80f8aeba45d0866a12472624e2e0",745,3,30,9,"OYAM",321,"OYAM",1,"MINAKULU",8,"ADEL",2,0,1,"2019","04","09",8,5243.72749416039
"236cfc7a73be4fbf961dfe0e1da153f0","9761754db1804372bee3f6e6182c0c8b",292,1,10,2,"LWENGO",124,"BUKOTO",1,"KYAZANGA",3,"KAKOMA",2,0,1,"2019","09","22",8,5050.7517200389
"236ec650f300413fb1b203d18b77c3da","29ecf615ade249ec872ad704fa701c1e",80,1,11,3,"LUWERO",104,"KATIKAMU",2,"BOMBO TOWN COUNCIL",1,"NKOKONJERU",6,1,1,"2019","06","26",8,7810.15068107583
"23825fe7c5d9468fac206ac53bb12e1a","a433acebe78f40abbe740ffc92f87651",546,3,30,11,"ARUA",303,"AYIVU",2,"AROI",2,"ROBU",6,0,1,"2019","11","01",8,873.954607190366
"23af8c0d1355477a92ad99a557c839c0","1658c6246ed14e8296d29cf476fdeb13",171,1,11,2,"WAKISO",113,"BUSIRO",1,"KATABI TOWN COUNCIL",5,"NALUGALA",4,1,1,"2020","01","16",8,2020.30078859163
"23b70f075e54479b95938797c69e4fc0","71f720c6ba3e47c7b296d3cac439556e",875,4,40,13,"KABAROLE",405,"FORT PORTAL MUNICIPALITY",3,"SOUTHERN DIVISION",2,"KIJANJU",3,0,1,"2020","01","20",8,1297.55549380716
"23b89241ac554c5abfa5981a8a7c6d39","a88ee0c747c04417a9f520bbf8fbbcb6",96,1,10,2,"MPIGI",106,"MAWOKOTA",1,"BUWAMA",1,"NABITEETE",9,0,1,"2019","07","04",8,1122.38926180716
"2415bfb664dd47aa87a7abb041406378","00f1eb71d428408f888b058a8e8664fe",283,1,10,2,"KALUNGU",122,"KALUNGU",1,"LWABENGE",6,"BWESA",2,0,1,"2019","11","06",8,3367.16803686164
