"HHID","district_code","urban","region","regurb","rotate","HHID_old","equiv","hsize","nrrexp30","cpexp30","welfare","plinen","ctpline","hpline","spline","poor_13"
"H04603-04-01","118",0,1,10,1,1053000403,3.25723332166672,4,398784.84375,153303.40625,47065.52734375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04604-04-01","118",0,1,10,1,1053000404,1.64329999685287,2,284037.53125,111591.7578125,67907.109375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04606-04-01","118",0,1,10,1,1053000406,6.18776668608189,9,359750.40625,137867.578125,22280.66796875,11463.4453125,15946.951171875,21257.646484375,29571.796875,1
"H04606-04-02","118",0,1,10,1,105300040602,5.18093320727348,7,1297813.75,502626.90625,97014.7421875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04607-04-01","118",0,1,10,1,1053000407,2.75929999351501,3,577595.875,234850,85112.1640625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04608-04-01","118",0,1,10,1,1053000408,3.00843328237534,4,491728.375,195572.25,65008.0078125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04609-04-01","118",0,1,10,1,1053000409,4.85943335294724,6,419652.40625,165758.015625,34110.56640625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04610-04-01","118",0,1,10,1,1053000410,3.88643324375153,6,205625.546875,80739.140625,20774.611328125,11463.4453125,15946.951171875,21257.646484375,29571.796875,1
"H04610-04-02","118",0,1,10,1,,1.00483334064484,1,179550.609375,70661.734375,70321.84375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04610-04-03","118",0,1,10,1,,1.00483334064484,1,191300.78125,75827.734375,75462.9921875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04801-04-01","124",1,1,11,1,1053001201,3.68659996986389,6,399895.59375,161356.96875,43768.50390625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
