"hhid","district","urban","region","regurb","subreg","equiv","hsize","usize","nrrexp30","fnrfxp30","cpexp30","fcpexp30","welfare","plinen","ctpline","hpline","spline","poor_2019","quints","decile","qurban","qregion"
"10c74627258044b8a3441bd75e51c277",418,0,4,40,14,2.59763330221176,3,3,245947.0625,0,138129.40625,0,53175.09765625,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,2,4,3,2
"10ceb21bdb8d4898873a3a75df1feb74",108,0,1,10,3,0.992266654968262,1,1,70570.796875,29544.576171875,40479.6875,15918.4130859375,40795.171875,11463.4453125,15946.951171875,30611.45703125,42584.00390625,1,2,3,2,1
"112126f886be4437a68c163a94797d71",314,0,3,30,8,6.73113334178925,8,8,164411.328125,132753.796875,90262.734375,70915.4921875,13409.73828125,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,1,1,1
"11677af1b0144119a6f225a20b75675a",417,1,4,41,14,1.00483334064484,1,1,664802.5,165507.046875,387538.125,89174.0546875,385674.03125,11463.4453125,16173.9326171875,30611.45703125,43190.125,0,5,10,5,5
"117be70b702543a2a9b2c6ed42bde0d8",408,0,4,40,15,2.75433331727982,4,4,350656.6875,0,192834.984375,0,70011.4921875,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,3,6,4,3
"119f2e2e03f143fc879b9f0ed133f62e",310,0,3,30,11,3.48929995298386,4,6,312373.03125,8850.2529296875,173536.078125,4838.84814453125,49733.78125,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,2,4,2,3
"11c06407f2894aa696b02bd42e1ad325",324,0,3,30,8,2.85283333063126,4,5,122498.234375,0,68996.8515625,0,24185.376953125,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,,,,
"11cce051e10f463e9d807eac544f8298",211,0,2,20,7,6.2975999712944,9,9,855948.25,0,477964.34375,0,75896.265625,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,3,6,4,4
"11d8e6e27924401f975392dbb4bb0cfb",321,0,3,30,9,3.65943330526352,5,10,414270,0,230193.6875,0,62904.19140625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,3,5,3,4
"11d9f40f48184bc3a967131e8ed79d24",102,1,1,11,1,1.00483334064484,1,2,332790.75,130481.859375,192244.65625,70076.1875,191319.9375,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,10,4,5
"11fa0219f3c04dc69816ce8f2784a912",110,1,1,11,2,1.86176663637161,2,2,426965.5,0,237616.03125,0,127629.328125,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,9,4,4
"11fe2002e4b64d6a9f6f9dc246c6b5cb",314,0,3,30,8,2.81949996948242,4,4,276876.3125,22125.6328125,154403.9375,11819.248046875,54762.87890625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,2,4,3,4
"12326283f3b543f7a0204eeb08c3a7cd",312,0,3,30,10,0.992266654968262,1,1,310212.71875,22125.6328125,170747.796875,12064.1396484375,172078.546875,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,5,9,5,5
"1254e7d5420845449d4b2d63d8f8b555",327,1,3,31,8,4.12249997258186,6,6,496536.40625,0,278103.15625,0,67459.8359375,11463.4453125,16304.146484375,30611.45703125,43537.83203125,0,,,,
"12766e74ad9f4d61aa6b76046aac52fb",117,0,1,10,3,0.992266654968262,1,1,461361.625,103406.015625,269325.59375,55238.2578125,271424.625,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,5,10,5,5
"1281f3064b5548e58be32cadc2a9904e",226,0,2,20,4,2.7138666510582,3,4,348296.53125,0,195207.65625,0,71929.71875,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,3,6,4,4
"12a4d25d94ea436285c294aef2a8dba5",113,1,1,11,2,2.24439996480942,3,6,539945.1875,0,315156.34375,0,140418.96875,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,9,4,4
"12a8632b753f40c6959744f160ade8ff",108,0,1,10,3,3.92416664958,6,6,349235.28125,0,199798.15625,0,50914.80078125,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,2,4,3,1
"12e25cf614ca4641804dd645d930b062",113,1,1,11,2,2.85996663570404,4,5,700433.3125,0,399870.84375,0,139816.609375,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,9,4,4
"12e688f31e39475e9ae5aa19685c7e37",203,1,2,21,4,3.52993330359459,5,6,999558.5,0,570453.5625,0,161604.625,11463.4453125,16547.525390625,30611.45703125,44187.7421875,0,5,9,4,5
