"interview__key","EA_code","programme_id","s11q03"
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",2,1
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",3,1
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",2,1
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",4,1
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",1,1
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",5,1
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",1,2
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",3,2
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",4,2
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",2,1
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",5,2
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",2,1
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",4,1
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",1,1
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",5,1
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",3,1
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",2,1
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",5,2
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",4,2
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",1,1
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",3,2
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",1,1
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",5,2
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",4,1
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",2,1
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",3,1
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",2,1
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",4,1
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",5,2
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",1,1
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",3,1
"20-02-77-43","218cb290a69743c69e521b6122a6d507",4,1
"20-02-77-43","218cb290a69743c69e521b6122a6d507",2,1
"20-02-77-43","218cb290a69743c69e521b6122a6d507",1,1
"20-02-77-43","218cb290a69743c69e521b6122a6d507",5,1
"20-02-77-43","218cb290a69743c69e521b6122a6d507",3,1
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",3,1
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",4,1
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",5,2
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",2,1
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",1,2
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",1,1
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",3,1
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",2,1
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",4,1
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",5,1
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",4,1
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",5,1
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",1,1
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",3,1
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",2,1
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",2,1
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",5,2
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",1,1
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",4,1
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",3,1
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",1,1
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",5,1
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",4,1
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",3,1
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",2,1
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",2,1
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",3,1
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",4,1
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",1,1
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",5,2
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",3,2
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",1,2
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",5,2
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",4,1
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",2,1
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",2,1
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",1,2
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",3,2
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",4,1
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",5,2
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",2,1
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",1,1
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",5,2
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",4,1
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",3,1
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",5,2
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",3,1
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",4,1
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",2,1
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",1,2
"43-35-34-23","2e97754263a84e12b95022950c69f673",5,2
"43-35-34-23","2e97754263a84e12b95022950c69f673",4,2
"43-35-34-23","2e97754263a84e12b95022950c69f673",1,2
"43-35-34-23","2e97754263a84e12b95022950c69f673",3,2
"43-35-34-23","2e97754263a84e12b95022950c69f673",2,1
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",5,2
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",3,2
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",1,2
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",4,1
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",2,1
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",3,1
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",4,1
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",1,1
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",5,1
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",2,1
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",3,1
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",4,1
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",2,1
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",1,1
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",5,1
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",4,1
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",1,1
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",3,1
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",2,1
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",5,2
"37-68-69-42","305b636544344f65aabef33609978907",2,1
"37-68-69-42","305b636544344f65aabef33609978907",5,2
