"EA_code","t0_EA_code","interview__key","trip_num","s1b_visit","s1bq2a","s1bq2b","s1bq2d","s1bq2e","s1bq2c","s1bq3a","s1bq3b","s1bq3a_v2","s1bq3b_v2","s1bq3d","s1bq3e","s1bq3c","s1bq4a","s1bq4b","s1bq4a_v2","s1bq4b_v2","s1bq4d","s1bq4e","s1bq4c","s1bq5a","s1bq5b","s1bq5d","s1bq5e","s1bq5c","s1bq6a","s1bq6b","s1bq6d","s1bq6e","s1bq6c"
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",1,2,,,,,,,,"2018-09-07","2018-09-07T08:06:33",,3,"2018-09-07T07:27:27",,,"2018-09-07","2018-09-07T07:27:37",,1,"2018-09-08T04:16:16",,,,,,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",1,3,"2019-01-14","2019-01-14T10:29:08",3,1,"2019-01-15T09:39:46","2019-01-17","2019-01-17T01:00:29","2019-01-17","2019-01-17T01:00:36",3,2,"2019-01-17T01:46:52",,,,,3,3,,"2019-01-14","2019-01-14T08:22:31",3,1,"2019-01-14T09:28:42","2019-01-14","2019-01-14T11:05:43",3,1,"2019-01-14T11:26:22"
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",1,3,,,,,,"2018-03-06","2018-03-06T04:46:22",,,2,3,"2018-03-06T05:29:34","2018-08-29","2018-08-29T05:40:46","2018-08-29","2018-08-29T05:40:51",3,1,"2018-08-29T07:48:10",,,,,,"2018-08-28","2018-08-28T02:09:33",3,1,"2018-08-28T02:49:08"
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",1,3,"2018-03-22","2018-03-22T08:42:25",1,1,"2018-03-22T09:02:10","2018-03-22","2018-03-22T04:19:00","2018-10-03","2018-10-03T07:58:25",1,1,"2018-03-22T05:28:18","2018-03-22","2018-03-22T05:33:51","2018-10-03","2018-10-03T07:19:43",1,1,"2018-10-04T03:05:44","2018-10-03","2018-10-03T06:09:07",1,1,"2018-10-04T02:18:43","2018-03-22","2018-03-22T09:08:52",1,1,"2018-03-22T09:42:23"
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",1,3,"2018-07-30","2018-07-30T08:06:28",1,,"2018-07-30T08:45:49","2018-08-01","2018-08-01T07:08:16",,,1,,"2018-08-01T09:00:06","2019-01-27","2019-01-27T04:20:40","2019-01-27","2019-01-27T04:20:48",1,1,"2019-01-27T05:19:18","2019-01-21","2019-01-21T05:24:56",1,1,"2019-01-21T06:05:07","2018-07-30","2018-07-30T08:47:58",1,,"2018-07-30T09:21:33"
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",1,3,"2018-06-05","2018-06-05T06:07:38",1,1,"2018-06-05T06:58:22","2018-06-06","2018-06-06T02:28:29","2018-12-05","2018-12-05T04:42:55",1,1,"2018-06-06T03:18:50","2018-12-05","2018-12-05T03:43:30","2018-12-05","2018-12-05T03:43:34",1,1,"2018-12-05T04:36:47","2018-12-05",,,,,"2018-06-05","2018-06-05T06:58:29",1,1,"2018-06-05T07:15:05"
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",1,3,"2018-05-29","2018-05-29T04:26:52",1,1,"2018-05-29T06:09:58",,,,,3,3,,,,,,3,3,,"2019-01-11","2019-01-11T04:55:27",2,2,,"2018-05-29","2018-05-29T06:10:06",1,1,"2018-05-29T07:09:50"
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",1,3,"2019-01-18","2019-01-18T01:41:42",1,1,"2019-01-18T02:13:32","2019-01-18","2019-01-18T02:38:06","2019-01-18","2019-01-18T02:38:11",1,3,"2019-01-18T03:33:27",,,,,3,3,,,,3,3,,"2019-01-18","2019-01-18T02:13:52",,,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",1,3,"2018-03-17","2018-03-17T00:15:13",1,1,"2018-03-17T01:45:04","2018-03-14","2018-03-14T08:20:24","2018-08-31","2018-08-31T04:37:06",1,1,"2018-03-14T10:03:39","2018-03-14","2018-03-14T10:03:58","2018-08-31","2018-08-31T06:01:23",1,1,"2018-03-14T11:42:05","2018-03-14","2018-03-14T06:11:51",1,1,"2018-03-14T07:08:07","2018-03-17","2018-03-17T01:45:36",1,1,"2018-03-17T02:28:26"
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",1,3,"2018-06-05","2018-06-05T13:16:27",1,1,"2018-06-05T14:09:38","2018-06-04","2018-06-04T15:53:00","2018-12-01","2018-12-01T03:24:16",1,1,"2018-12-01T03:32:59","2018-06-04","2018-06-04T12:09:26","2018-11-29","2018-11-29T03:20:31",1,1,"2018-11-29T04:45:45","2018-11-29","2018-11-29T01:54:22",1,1,"2018-11-29T03:05:05","2018-06-05","2018-06-05T14:09:48",1,1,"2018-06-05T14:56:21"
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",9,3,"2018-11-02","2018-11-02T04:24:18",1,1,"2018-11-02T05:27:58",,,,,,,,,,,,,,,,,,,,"2018-11-02","2018-11-02T05:45:26",1,1,"2018-11-02T06:29:48"
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",1,1,"2018-07-03","2018-07-03T04:52:55",1,,"2018-07-03T05:42:55","2018-07-03","2018-07-03T03:14:46",,,1,,"2018-07-03T04:34:37","2018-07-03","2018-07-03T07:18:48",,,1,,"2018-07-03T08:43:53",,,,,,"2018-07-03","2018-07-03T06:04:09",1,,"2018-07-03T06:35:24"
