"interview__key","EA_code","class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66","s3q53_v2","s3q54_v2","s3q55a_v2","s3q55b_v2","s3q56_v2","s3q57_v2","s3q58_v2","s3q59_v2","s3q60_v2","s3q60_oth_v2","s3q61_v2","s3q61_oth_v2","s3q62_v2","s3q63_v2","s3q64_v2","s3q65_v2","s3q66_v2"
"74-65-87-03","09583a0be3d943588eccede22daecd45",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",4,1,1,58,79,1,2,1,,,,1,108,1,2,1,2,2,30,39,1,4,1,,,,,,1,62,1,2,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",3,2,1,90,102,1,1,1,,,,1,145,1,2,1,2,1,35,37,1,4,1,,,,,,1,65,1,2,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",2,1,1,37,72,1,1,1,,,,1,80,1,1,1,2,1,37,72,1,4,1,,,,,,1,45,1,3,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,2,1,43,48,1,1,1,,,,1,73,1,1,1,2,1,43,48,2,3,1,,,,,,1,79,1,2,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",0,2,2,39,46,1,1,1,,,,1,59,1,1,1,2,2,39,46,2,4,1,,,,,,1,76,1,2,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",5,1,2,46,69,1,1,1,,,,1,91,1,2,1,2,1,19,26,1,3,1,,,,,,1,42,1,2,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",6,1,1,46,41,1,1,1,,,,1,70,1,1,1,,,46,41,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",3,2,2,42,38,1,3,1,,,,1,46,1,2,1,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",4,1,2,30,34,1,3,1,,,,1,37,1,2,1,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",1,2,2,37,40,2,2,1,,,,1,50,1,2,1,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",5,1,2,33,38,1,4,1,,,,1,64,1,2,1,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",2,2,2,40,45,2,2,1,,,,1,59,2,3,1,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",0,2,2,47,54,2,1,1,,,,1,62,1,2,1,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",6,1,2,7,8,1,2,1,,,,1,12,1,2,1,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",3,1,2,46,49,1,1,1,,,,1,22,1,1,1,,,43,51,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",4,1,2,34,35,1,3,1,,,,1,14,1,1,1,,,45,32,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",5,1,2,32,21,1,3,1,,,,1,12,1,1,1,,,33,30,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",0,2,2,98,109,1,2,1,,,,1,57,4,4,2,,,95,106,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,1,2,72,65,1,3,1,,,,1,26,3,1,2,,,56,56,,,,,,,,,,,,,
