"interview__key","EA_code","year_id","s3q30a","s3q30b","s3q31a","s3q31b","s3q32a","s3q32b","s3q33a","s3q33b"
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",1,40,50,0,1,8,14,12,17
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",0,22,32,0,0,11,3,7,13
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",1,20,14,0,0,12,6,1,4
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",0,6,11,1,0,4,4,0,3
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",0,30,19,2,0,26,18,1,1
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",1,,,,,,,,
"01-86-81-64","29d53afc2900441fa7931d2da4f6ab7e",0,23,20,0,0,15,14,5,5
"01-86-81-64","29d53afc2900441fa7931d2da4f6ab7e",1,19,20,1,0,6,14,6,1
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",0,,,,,,,,
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",1,,,,,,,,
"10-91-96-82","2b9fe8ab9b854dc1a78be4554e2db70f",0,21,21,0,0,9,4,10,8
"10-91-96-82","2b9fe8ab9b854dc1a78be4554e2db70f",1,40,45,1,0,13,4,7,9
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",1,,,,,,,,
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",0,,,,,,,,
"18-49-15-19","2c09ec554d4e489bb9d6e97baaebfa65",1,,,,,,,,
"18-49-15-19","2c09ec554d4e489bb9d6e97baaebfa65",0,13,19,1,0,9,10,4,5
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",1,20,12,0,0,3,0,10,3
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",0,16,14,1,0,6,7,4,6
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",1,38,21,0,0,12,9,13,6
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",0,23,31,0,0,5,4,6,11
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",0,14,11,1,0,4,4,4,6
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",1,17,29,0,0,4,7,4,5
"67-79-02-00","2ce29c6cfe0a456793b78a9eea712769",1,22,14,4,1,17,13,0,0
"67-79-02-00","2ce29c6cfe0a456793b78a9eea712769",0,7,21,0,1,7,16,0,3
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",0,71,57,1,0,58,31,9,18
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",1,70,54,1,0,57,38,7,11
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",1,46,40,0,0,3,2,14,9
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",0,11,19,0,0,2,0,7,7
"43-35-34-23","2e97754263a84e12b95022950c69f673",1,,,,,,,,
"43-35-34-23","2e97754263a84e12b95022950c69f673",0,,,,,,,,
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",0,28,31,0,0,15,18,5,4
