"interview__key","EA_code","community_needs_id","s6dq1","s6dq2","s6qd3","s6dqd4","s6dq5","s6dq6","s6dq7","s6dq08a","s6dq08b","s6dq08c","s6dq09","s6dq10","s6dq11","s6dq12a","s6dq12b","s6dq12c","s6dq13","s6dq14","s6dq15","s6dq16","s6dq17a","s6dq17b","s6dq17c","s6dq17_oth0"
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",110,1,1,1,,1,1,2,104,,,2,3,,,,,,,,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",101,1,1,1,,2,,,104,,,2,5,,,,,,,,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",103,1,1,1,,1,9,1,107,,,1,2,2018,107,,,0,0,,2,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",101,1,1,1,,1,96,1,104,,,1,1,2018,103,,,0,0,,2,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",101,1,1,1,,1,1,2,102,101,105,2,5,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",111,,,,,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",111,1,1,1,,1,1,2,106,,,1,3,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",106,1,1,1,,1,1,2,103,105,,1,5,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",101,1,1,1,,1,1,1,103,,,1,1,2018,109,,,100000000,0,,2,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",110,1,1,1,,1,1,1,104,,,1,1,2014,104,,,0,0,,1,0,0,0,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",111,2,1,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",103,1,1,1,,2,,,107,104,101,2,1,2017,107,,,0,0,,1,1,0,0,0
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",101,1,1,1,,2,,,101,104,106,2,1,2018,104,,,0,0,,2,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",105,1,2,1,,1,1,2,104,106,,2,5,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",101,1,1,1,,2,,,104,,,2,3,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",103,1,1,1,,1,1,2,104,,,1,5,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",101,1,1,1,,1,1,2,104,,,2,5,,,,,,,,,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",106,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",107,,,,,,,,,,,,,,,,,,,,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",105,,,,,,,,,,,,,,,,,,,,,,,,
