"EA_code","t0_EA_code","interview__key","schoolmeeting_id","s3q39a","s3q38","s3q39b","s3q40","s3q41"
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",1,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",3,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",4,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",2,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",5,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",1,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",5,10,1,208,,3
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",4,11,1,2018,,3
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",1,12,1,2018,1,96
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",2,2,1,2016,1,96
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",3,8,1,2018,1,3
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",3,10,1,2017,1,3
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",4,9,1,2017,,3
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",2,10,1,2016,1,3
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",1,2,1,2017,1,96
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",5,3,1,2018,,1
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",5,,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",4,2,1,2018,,3
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",3,2,1,2018,1,96
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",2,3,1,2018,1,3
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",1,2,1,2018,1,96
