"EA_code","t0_EA_code","interview__key","community_groups_id","s6bq01","s6bq02","s6bq03","s6bq04","s6bq05"
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",310,2,,,,
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",304,2,,,,
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",312,2,,,,
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",313,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",313,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",302,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",303,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",304,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",310,1,1,2010,1,2
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",307,1,5,2010,3,16
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",312,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",301,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",305,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",311,1,1,2000,2,15
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",308,2,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",306,1,20,2015,2,30
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",309,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",304,1,3,2013,1,65
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",308,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",310,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",312,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",309,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",302,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",307,1,2,2015,2,10
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",305,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",303,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",301,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",313,2,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",311,1,1,2015,2,18
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",306,1,1,2009,1,110
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",307,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",304,1,3,2015,1,20
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",306,1,3,2011,1,30
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",312,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",311,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",302,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",301,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",313,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",308,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",309,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",303,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",305,2,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",310,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",312,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",301,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",302,1,1,2016,2,20
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",310,2,,,,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",307,1,1,2005,1,6
