"EA_code","t0_EA_code","interview__key","s4oq113","s4oq114"
"3c03c72ff5bb4e43bb462f77bc401895","3301070703","08-02-90-92",1,1
"3f1a8214f7a14ede97f67c4a18cd0f07","1225050503","78-89-98-52",1,1
"421f6dc9b1b74d31bff813bbbec0946c","1083010105","86-08-76-83",1,1
"406d4f0d71384978ab447f7dd9057f40","2261040403","42-02-64-77",1,1
"48a67d1f18994ef98a5949aef015bbd4","2141131303","88-74-11-89",1,1
"4ba54fb88a534722877835b1045a512d","4042070709","85-31-22-31",1,1
"4904caa625114480b7dfb1ac1090ea9d","3042040401","75-39-75-81",1,1
"40d1c6c197a14e6eadf31dfcc95a200b","4032010105","03-52-46-70",1,1
"49ac26b03a504025bc11014fb9fd07f0","1031070701","65-53-81-18",1,1
"48bea11db2944c909fda02151c5118af","2191030304","67-26-59-19",1,1
"4cdaf79caf624178b5eadc9be94a36aa","3141030304","35-28-58-28",1,1
"4a1d00f074cc4b00918c46c988ddbe64",,"45-42-36-18",,
"4cf59369cdf24583a27873140b200861","1122040401","74-16-21-77",,
"4d5ac1450c634c6ca704f0e8848cc443","1012040404","91-91-63-66",,
"4ece7adab00c4cf2bef7f7a13841c000","2071040404","85-33-44-23",1,1
"4fead528c43a425c8ead7ad9e02285fe","2221111101","36-09-12-99",,
"4dd6d629e3ae4f8d89147cbaf0a79f8f","2231282802","00-95-07-36",1,1
"50915c4977d44997a241f9e364f0a753",,"83-55-75-67",1,1
"511e248a967448a89f871d73acff14a4","4151141403","80-32-55-46",1,2
"54c10aa0c5a84733aa4d36847a5906e3","3071080801","72-32-17-28",1,1
"4ecbd2e7063b4921af2e0b7e0a8db0ce","3271030305","98-74-07-23",1,1
"53fd71c2301f43f8873de4f1f0eace0c","3032010105","71-61-98-83",1,1
"56ad9167bff0445f93a7fbaced2e3152","1102060609","02-73-44-22",1,1
"54405a9ba99d4e618e87548191c47c14","4041020202","32-71-89-73",1,1
"56c850451863421290489c656c6356a1","4044030303","03-45-89-44",1,1
"56d5e1c386f34ef68f31280d6a7d8f46","1173010111","41-24-08-74",1,1
"5781bbe35d9c4d5fa1246f3d26a59a0b","3211030305","77-44-13-92",,
"588cfcfc790240e98d9ca22db6683fd8","1241010103","81-59-88-07",,
