"EA_code","t0_EA_code","c1aq01b","c1aq02b","c1aq03b","s1aq04b","s1aq05b","interview__key","s1aq06__1","s1aq06__2","s1aq06__3","s1aq06__4"
"30a233559a484aa884a3c795efb64cdf","1021050505",102,"1","5","13","05","83-68-83-41",1,1,2,1
"30fabcc38b1c4f909a0de8b415a2988e","3091030301",309,"1","3","5","3091030501","72-50-29-68",1,1,1,1
"31b1bf8fbcc54ee09f83e940546a45b8","2261010102",226,"1","1","1","2","87-78-01-68",1,1,2,2
"332221c6e42c4c7693f07f18bf883c77","3062040406",306,"2","4","2","3061020306","91-29-19-18",1,1,1,1
"36a60129e57347bea99b101f51c2d0a0","3131020205",313,"1","2","5","5","31-50-07-11",1,1,1,1
"37a0243153154356a3fae9c57c688f46","1102040407",110,"2","4","1","1102040107","66-53-93-59",1,1,1,1
"3a2df233c4d3470b83d0d3e0851df33d","1021030304",102,"1","3","9","04","07-01-51-11",1,2,2,2
"3b39a3793b9e42deb8bea71311058e8a","3181141407",318,"1","14","2","7","56-67-32-81",1,1,1,1
"3bd4a06cc7b5416d864333ff348bb354","2082020201",208,"2","2","8","2082020801","92-67-60-32",1,1,1,1
"3c03c72ff5bb4e43bb462f77bc401895","3301070703",330,"1","7","3","3301070303","08-02-90-92",1,1,1,1
"3c068ff6dd2648088c08a9fcdcb812f2","1102070703",110,"2","7","4","1102070403","26-54-44-39",1,1,1,1
"3c7b52089dbc43ecb5f3c5e354f1ec09","3034050511",303,"4","5","7","3034050711","61-93-15-21",1,1,1,1
"3d3ecc270b3743a1ac5b07ac5161ae2f",,,,".",".",,"36-93-22-14",1,1,2,2
"3dfec81ca5704294b2259b4da35ba66f","1073020205",107,"3","2","3","5","00-56-65-43",1,1,1,1
"3e4cfe4688a44d3ba5524f2574dbed04","2051060603",205,"1","6","2","2051060203","24-54-97-79",1,1,1,1
"3e8f9d823ced4b679756834480de1eb1","4022080805",402,"2","8","5","4022080505","18-15-18-97",1,1,1,1
"3f1a8214f7a14ede97f67c4a18cd0f07","1225050503",122,"5","5","2","3","78-89-98-52",1,2,1,2
"406d4f0d71384978ab447f7dd9057f40","2261040403",226,"1","4","4","03","42-02-64-77",1,1,1,2
"40d1c6c197a14e6eadf31dfcc95a200b","4032010105",403,"2","1","2","4032010205","03-52-46-70",1,1,1,1
"421f6dc9b1b74d31bff813bbbec0946c","1083010105",108,"3","1","5","5","86-08-76-83",2,1,1,2
"48a67d1f18994ef98a5949aef015bbd4","2141131303",214,"1","13","1","3","88-74-11-89",1,1,1,1
"48bea11db2944c909fda02151c5118af","2191030304",219,"1","3","12","04","67-26-59-19",1,1,1,1
"4904caa625114480b7dfb1ac1090ea9d","3042040401",304,"2","4","2","3042040201","75-39-75-81",1,1,1,1
"49ac26b03a504025bc11014fb9fd07f0","1031070701",103,"1","7","2","01","65-53-81-18",1,1,1,2
"4a1d00f074cc4b00918c46c988ddbe64",,,,".",".",,"45-42-36-18",1,1,1,1
"4ba54fb88a534722877835b1045a512d","4042070709",404,"2","7","4","9","85-31-22-31",1,1,1,1
"4cdaf79caf624178b5eadc9be94a36aa","3141030304",314,"1","3","4","3141030404","35-28-58-28",1,1,1,1
"4cf59369cdf24583a27873140b200861","1122040401",112,"2","4","3","1122040301","74-16-21-77",1,2,2,1
"4d5ac1450c634c6ca704f0e8848cc443","1012040404",101,"2","4","2","1012040204","91-91-63-66",1,2,2,2
"4dd6d629e3ae4f8d89147cbaf0a79f8f","2231282802",223,"1","28","1","2","00-95-07-36",1,1,1,1
"4ecbd2e7063b4921af2e0b7e0a8db0ce","3271030305",327,"1","3","3","5","98-74-07-23",1,1,1,1
"4ece7adab00c4cf2bef7f7a13841c000","2071040404",207,"1","4","1","04","85-33-44-23",1,1,1,1
"4fead528c43a425c8ead7ad9e02285fe","2221111101",222,"1","11","2","2221060201","36-09-12-99",1,1,1,1
"50915c4977d44997a241f9e364f0a753",,,,".",".",,"83-55-75-67",1,2,1,1
"511e248a967448a89f871d73acff14a4","4151141403",415,"1","14","7","4151140703","80-32-55-46",1,1,1,1
"53fd71c2301f43f8873de4f1f0eace0c","3032010105",303,"2","1","2","3032010205","71-61-98-83",1,1,1,1
"54405a9ba99d4e618e87548191c47c14","4041020202",404,"1","2","3","4041020302","32-71-89-73",1,1,1,2
"54c10aa0c5a84733aa4d36847a5906e3","3071080801",307,"1","8","3","1","72-32-17-28",1,1,1,1
"56ad9167bff0445f93a7fbaced2e3152","1102060609",110,"2","6","3","1102060309","02-73-44-22",1,1,1,2
"56c850451863421290489c656c6356a1","4044030303",404,"4","3","3","4044030303","03-45-89-44",1,1,1,2
"56d5e1c386f34ef68f31280d6a7d8f46","1173010111",117,"3","1","4","1171050411","41-24-08-74",1,1,1,2
"5781bbe35d9c4d5fa1246f3d26a59a0b","3211030305",321,"1","3","4","5","77-44-13-92",1,1,1,1
"588cfcfc790240e98d9ca22db6683fd8","1241010103",124,"1","1","6","1241010603","81-59-88-07",1,1,1,2
"5b1bfa5bef2c4d529bd9d6297a3e11ec","2261020208",226,"1","2","5","2261020508","20-39-84-46",1,1,1,1
"5d98309983cf4e319ba077b1e10020fc","3221111112",322,"1","11","4","3221110412","22-55-33-62",1,1,1,1
"5df1b3d3aa7d4cb3b184c8ab9edf7506","3151050502",315,"1","5","3","2","52-64-64-81",1,1,1,1
"5ec0701dd9f54f1bbe921ca9175a60d9","1112020218",111,"2","2","6","18","56-80-19-40",1,1,2,2
"5f9ac4ea0e654d08b3cd6ed453de3ff1","1021040402",102,"1","4","1","02","07-07-36-19",1,1,1,1
"5fe1acda95ad4556b6a0983a641d479a","4182020204",418,"2","2","1","4182020104","84-67-15-95",1,1,1,1
"5feb56a602554863982002d7dffa96e9","3291060606",329,"1","6","2","3291060206","94-06-39-74",1,1,1,1
"606dfeb842fa4339b5772cb092c00c26","3103060608",310,"3","6","4","8","01-46-09-86",1,1,1,1
"61187e593ce849f6b0b6f20972734150","2211090905",221,"1","9","5","5","67-70-56-85",1,1,1,2
"627c07fe24fc470f9300d75233c4b4ee","2123111101",212,"3","11","1","2123110101","58-19-91-16",1,1,2,2
"62c15549e2894eee9032940da84f6170","331BIBI010104",331,"BIBI","1","4","4","56-99-39-47",1,1,1,1
"639bf406ae23488b9674d26d841618fb","2111070708",211,"1","7","3","08","95-66-18-46",1,1,1,1
"64a7c25789dc44988120f839b628656f",,,,".",".",,"31-52-69-96",1,1,1,1
"6504c17bdaa94ba5b08d852aa03e266d","2111050505",211,"1","5","3","05","18-43-14-59",1,1,1,2
"67a9e20200064275ab4495b3b07aca86","2301040403",230,"1","4","1","2301040103","16-93-07-51",1,1,1,1
"68f903f5bf9145f88554337640a5e431","3301101002",330,"1","10","1","3301100102","92-26-77-38",1,1,1,1
