"EA_code","t0_EA_code","initiative_id","interview__key","s3mq1","s3mq2"
"06c492654e8342fabe3ec8af1aad4cef","1074030303",2,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",3,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",4,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",5,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",6,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",7,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",8,"66-47-37-97",1,1
"06c492654e8342fabe3ec8af1aad4cef","1074030303",9,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",10,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",11,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",12,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",13,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",14,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",15,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",16,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",17,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",18,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",19,"66-47-37-97",2,
"06c492654e8342fabe3ec8af1aad4cef","1074030303",20,"66-47-37-97",2,
"07d762b045a54167af44618c38f26e49","4032050503",1,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",2,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",3,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",4,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",5,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",6,"39-29-24-84",1,1
"07d762b045a54167af44618c38f26e49","4032050503",7,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",8,"39-29-24-84",1,2
"07d762b045a54167af44618c38f26e49","4032050503",9,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",10,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",11,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",12,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",13,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",14,"39-29-24-84",1,3
"07d762b045a54167af44618c38f26e49","4032050503",15,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",16,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",17,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",18,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",19,"39-29-24-84",2,
"07d762b045a54167af44618c38f26e49","4032050503",20,"39-29-24-84",2,
"09583a0be3d943588eccede22daecd45",,1,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,2,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,3,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,4,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,5,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,6,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,7,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,8,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,9,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,10,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,11,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,12,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,13,"74-65-87-03",,
"09583a0be3d943588eccede22daecd45",,14,"74-65-87-03",,
