"EA_code","t0_EA_code","interview__key","communal_resource_id","s6eq01","s6eq02","s6eq03","s6eq04","s6eq05","s6eq06","s6eq07a","s6eq07b","s6eq07c","s6eq08a","s6eq08b","s6eq08c","s6eq09a","s6eq09b","s6eq09c","s6eq10","s6eq11","s6eq12","s6eq13","s6eq14"
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",102,2,,,,,,,,,,,,,,,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",103,2,,,,,,,,,,,,,,,,,,,
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",104,2,,,,,,,,,,,,,,,,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",104,1,1,1,2,1,2,,,,104,,,101,,,3,2,,2,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",103,2,,,,,,,,,,,,,,,,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",101,2,,,,,,,,,,,,,,,,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",102,2,,,,,,,,,,,,,,,,,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",105,2,,,,,,,,,,,,,,,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",102,,,,,,,,,,,,,,,,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",104,,,,,,,,,,,,,,,,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",103,,,,,,,,,,,,,,,,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",105,,,,,,,,,,,,,,,,,,,,
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",101,,,,,,,,,,,,,,,,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",101,,,,,,,,,,,,,,,,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",105,,,,,,,,,,,,,,,,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",102,,,,,,,,,,,,,,,,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",103,,,,,,,,,,,,,,,,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",104,,,,,,,,,,,,,,,,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",101,,,,,,,,,,,,,,,,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",102,,,,,,,,,,,,,,,,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",104,,,,,,,,,,,,,,,,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",105,,,,,,,,,,,,,,,,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",103,,,,,,,,,,,,,,,,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",105,2,,,,,,,,,,,,,,,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",101,2,,,,,,,,,,,,,,,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",104,2,,,,,,,,,,,,,,,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",102,2,,,,,,,,,,,,,,,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",103,2,,,,,,,,,,,,,,,,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",104,2,,,,,,,,,,,,,,,,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",101,2,,,,,,,,,,,,,,,,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",102,2,,,,,,,,,,,,,,,,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",103,2,,,,,,,,,,,,,,,,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",105,2,,,,,,,,,,,,,,,,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",101,2,,,,,,,,,,,,,,,,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",102,2,,,,,,,,,,,,,,,,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",103,2,,,,,,,,,,,,,,,,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",104,1,2,1,2,1,2,,,,104,,,,,,1,2,,2,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",105,2,,,,,,,,,,,,,,,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",102,2,,,,,,,,,,,,,,,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",105,2,,,,,,,,,,,,,,,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",103,2,,,,,,,,,,,,,,,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",104,2,,,,,,,,,,,,,,,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",101,2,,,,,,,,,,,,,,,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",105,,,,,,,,,,,,,,,,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",102,,,,,,,,,,,,,,,,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",104,,,,,,,,,,,,,,,,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",103,,,,,,,,,,,,,,,,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",101,,,,,,,,,,,,,,,,,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",103,2,,,,,,,,,,,,,,,,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",105,2,,,,,,,,,,,,,,,,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",101,2,,,,,,,,,,,,,,,,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",102,2,,,,,,,,,,,,,,,,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",104,2,,,,,,,,,,,,,,,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",104,2,,,,,,,,,,,,,,,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",102,2,,,,,,,,,,,,,,,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",105,2,,,,,,,,,,,,,,,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",101,2,,,,,,,,,,,,,,,,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",103,2,,,,,,,,,,,,,,,,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",105,2,,,,,,,,,,,,,,,,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",102,2,,,,,,,,,,,,,,,,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",103,2,,,,,,,,,,,,,,,,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",101,2,,,,,,,,,,,,,,,,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",104,2,,,,,,,,,,,,,,,,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",103,,,,,,,,,,,,,,,,,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",105,,,,,,,,,,,,,,,,,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",101,,,,,,,,,,,,,,,,,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",104,1,1,1,2,1,2,,,,104,,,103,,,3,2,,2,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",102,,,,,,,,,,,,,,,,,,,,
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",105,,,,,,,,,,,,,,,,,,,,
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",104,,,,,,,,,,,,,,,,,,,,
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",103,,,,,,,,,,,,,,,,,,,,
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",101,,,,,,,,,,,,,,,,,,,,
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",102,,,,,,,,,,,,,,,,,,,,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",103,2,,,,,,,,,,,,,,,,,,,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",102,2,,,,,,,,,,,,,,,,,,,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",105,2,,,,,,,,,,,,,,,,,,,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",104,2,,,,,,,,,,,,,,,,,,,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",101,2,,,,,,,,,,,,,,,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",103,2,,,,,,,,,,,,,,,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",101,2,,,,,,,,,,,,,,,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",105,2,,,,,,,,,,,,,,,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",102,2,,,,,,,,,,,,,,,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",104,2,,,,,,,,,,,,,,,,,,,
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",101,,,,,,,,,,,,,,,,,,,,
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",103,,,,,,,,,,,,,,,,,,,,
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",105,,,,,,,,,,,,,,,,,,,,
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",102,,,,,,,,,,,,,,,,,,,,
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",104,1,1,1,2,2,2,,,,104,,,,,,1,2,,2,
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",102,2,,,,,,,,,,,,,,,,,,,
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",105,2,,,,,,,,,,,,,,,,,,,
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",104,2,,,,,,,,,,,,,,,,,,,
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",101,2,,,,,,,,,,,,,,,,,,,
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",103,2,,,,,,,,,,,,,,,,,,,
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",104,2,,,,,,,,,,,,,,,,,,,
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",103,2,,,,,,,,,,,,,,,,,,,
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",102,2,,,,,,,,,,,,,,,,,,,
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",101,2,,,,,,,,,,,,,,,,,,,
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",105,2,,,,,,,,,,,,,,,,,,,
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",104,2,,,,,,,,,,,,,,,,,,,
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",105,2,,,,,,,,,,,,,,,,,,,
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",103,2,,,,,,,,,,,,,,,,,,,
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",102,2,,,,,,,,,,,,,,,,,,,
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",101,2,,,,,,,,,,,,,,,,,,,
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",103,,,,,,,,,,,,,,,,,,,,
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",102,,,,,,,,,,,,,,,,,,,,
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",101,,,,,,,,,,,,,,,,,,,,
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",104,1,1,1,2,1,2,,,,104,,,,,,2,2,,2,
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",105,,,,,,,,,,,,,,,,,,,,
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",104,1,1,1,1,1,2,,,,109,,,101,,,3,2,,2,
