hhid,h10q8_1,h10q8_2,hh
H0031201,Other Biomass Burning,No,H00312-05-01
H0031201,Open fire,No,H00312-05-01
H0031201,Other (specify),No,H00312-05-01
H0031301,Electric,No,H00313-05-01
H0031301,lpg,No,H00313-05-01
H0031301,Kerosene,No,H00313-05-01
H0031301,Wood / Sawdust Burning,No,H00313-05-01
H0031301,Efficient Wood Burning,No,H00313-05-01
H0031301,Charcoal,Yes,H00313-05-01
H0031301,Other Biomass Burning,No,H00313-05-01
H0031301,Open fire,No,H00313-05-01
H0031301,Other (specify),No,H00313-05-01
H0060601,Electric,No,H00606-05-01
H0060601,lpg,No,H00606-05-01
H0060601,Kerosene,No,H00606-05-01
H0060601,Wood / Sawdust Burning,No,H00606-05-01
H0060601,Efficient Wood Burning,No,H00606-05-01
H0060601,Charcoal,Yes,H00606-05-01
H0060601,Other Biomass Burning,No,H00606-05-01
H0060601,Open fire,No,H00606-05-01
H0060601,Other (specify),No,H00606-05-01
H0070401,Electric,No,H00704-05-01
H0070401,lpg,No,H00704-05-01
H0070401,Kerosene,No,H00704-05-01
H0070401,Wood / Sawdust Burning,No,H00704-05-01
H0070401,Efficient Wood Burning,No,H00704-05-01
H0070401,Charcoal,Yes,H00704-05-01
H0070401,Other Biomass Burning,No,H00704-05-01
H0070401,Open fire,Yes,H00704-05-01
H0070401,Other (specify),No,H00704-05-01
H0070701,Electric,No,H00707-05-01
H0070701,lpg,No,H00707-05-01
H0070701,Kerosene,No,H00707-05-01
H0070701,Wood / Sawdust Burning,No,H00707-05-01
H0070701,Efficient Wood Burning,No,H00707-05-01
H0070701,Charcoal,Yes,H00707-05-01
H0070701,Other Biomass Burning,No,H00707-05-01
H0070701,Open fire,No,H00707-05-01
H0070701,Other (specify),No,H00707-05-01
H0071001,Electric,No,H00710-05-01
H0071001,lpg,No,H00710-05-01
H0071001,Kerosene,No,H00710-05-01
H0071001,Wood / Sawdust Burning,No,H00710-05-01
H0071001,Efficient Wood Burning,No,H00710-05-01
H0071001,Charcoal,Yes,H00710-05-01
H0071001,Other Biomass Burning,No,H00710-05-01
H0071001,Open fire,No,H00710-05-01
H0071001,Other (specify),No,H00710-05-01
H0071201,Electric,No,H00712-05-01
H0071201,lpg,No,H00712-05-01
H0071201,Kerosene,Yes,H00712-05-01
H0071201,Wood / Sawdust Burning,No,H00712-05-01
H0071201,Efficient Wood Burning,No,H00712-05-01
H0071201,Charcoal,Yes,H00712-05-01
H0071201,Other Biomass Burning,No,H00712-05-01
H0071201,Open fire,No,H00712-05-01
H0071201,Other (specify),No,H00712-05-01
H0080101,Electric,No,H00801-05-01
H0080101,lpg,No,H00801-05-01
H0080101,Kerosene,No,H00801-05-01
H0080101,Wood / Sawdust Burning,No,H00801-05-01
H0080101,Efficient Wood Burning,No,H00801-05-01
H0080101,Charcoal,Yes,H00801-05-01
H0080101,Other Biomass Burning,No,H00801-05-01
H0080101,Open fire,No,H00801-05-01
H0080101,Other (specify),No,H00801-05-01
H0080201,Electric,No,H00802-05-01
H0080201,lpg,No,H00802-05-01
H0080201,Kerosene,No,H00802-05-01
H0080201,Wood / Sawdust Burning,No,H00802-05-01
H0080201,Efficient Wood Burning,No,H00802-05-01
H0080201,Charcoal,Yes,H00802-05-01
H0080201,Other Biomass Burning,No,H00802-05-01
H0080201,Open fire,No,H00802-05-01
H0080201,Other (specify),Yes,H00802-05-01
H0080901,Electric,No,H00809-05-01
H0080901,lpg,No,H00809-05-01
H0080901,Kerosene,No,H00809-05-01
H0080901,Wood / Sawdust Burning,No,H00809-05-01
H0080901,Efficient Wood Burning,No,H00809-05-01
H0080901,Charcoal,Yes,H00809-05-01
H0080901,Other Biomass Burning,No,H00809-05-01
H0080901,Open fire,No,H00809-05-01
H0080901,Other (specify),Yes,H00809-05-01
H0081001,Electric,No,H00810-05-01
H0081001,lpg,No,H00810-05-01
H0081001,Kerosene,No,H00810-05-01
H0081001,Wood / Sawdust Burning,No,H00810-05-01
H0081001,Efficient Wood Burning,No,H00810-05-01
H0081001,Charcoal,Yes,H00810-05-01
H0081001,Other Biomass Burning,No,H00810-05-01
H0081001,Open fire,No,H00810-05-01
H0081001,Other (specify),No,H00810-05-01
H0081101,Electric,Yes,H00811-05-01
H0081101,lpg,No,H00811-05-01
H0081101,Kerosene,No,H00811-05-01
H0081101,Wood / Sawdust Burning,No,H00811-05-01
H0081101,Efficient Wood Burning,No,H00811-05-01
H0081101,Charcoal,Yes,H00811-05-01
H0081101,Other Biomass Burning,No,H00811-05-01
H0081101,Open fire,No,H00811-05-01
H0081101,Other (specify),No,H00811-05-01
H0120901,Electric,No,H01209-05-01
H0120901,lpg,No,H01209-05-01
H0120901,Kerosene,No,H01209-05-01
H0120901,Wood / Sawdust Burning,No,H01209-05-01
H0120901,Efficient Wood Burning,No,H01209-05-01
H0120901,Charcoal,Yes,H01209-05-01
H0120901,Other Biomass Burning,No,H01209-05-01
H0120901,Open fire,No,H01209-05-01
H0120901,Other (specify),No,H01209-05-01
H0120902,Electric,No,H01209-05-02
H0120902,lpg,No,H01209-05-02
H0120902,Kerosene,No,H01209-05-02
H0120902,Wood / Sawdust Burning,No,H01209-05-02
H0120902,Efficient Wood Burning,No,H01209-05-02
H0120902,Charcoal,Yes,H01209-05-02
H0120902,Other Biomass Burning,No,H01209-05-02
H0120902,Open fire,No,H01209-05-02
H0120902,Other (specify),No,H01209-05-02
H0120903,Electric,No,H01209-05-03
H0120903,lpg,No,H01209-05-03
H0120903,Kerosene,No,H01209-05-03
H0120903,Wood / Sawdust Burning,No,H01209-05-03
H0120903,Efficient Wood Burning,No,H01209-05-03
H0120903,Charcoal,Yes,H01209-05-03
H0120903,Other Biomass Burning,No,H01209-05-03
H0120903,Open fire,No,H01209-05-03
H0120903,Other (specify),No,H01209-05-03
H0120904,Electric,No,H01209-05-04
H0120904,lpg,No,H01209-05-04
H0120904,Kerosene,No,H01209-05-04
H0120904,Wood / Sawdust Burning,No,H01209-05-04
H0120904,Efficient Wood Burning,No,H01209-05-04
H0120904,Charcoal,Yes,H01209-05-04
H0120904,Other Biomass Burning,No,H01209-05-04
H0120904,Open fire,No,H01209-05-04
H0120904,Other (specify),No,H01209-05-04
H0120905,Electric,No,H01209-05-05
H0120905,lpg,No,H01209-05-05
H0120905,Kerosene,No,H01209-05-05
H0120905,Wood / Sawdust Burning,No,H01209-05-05
H0120905,Efficient Wood Burning,No,H01209-05-05
H0120905,Charcoal,Yes,H01209-05-05
H0120905,Other Biomass Burning,No,H01209-05-05
H0120905,Open fire,No,H01209-05-05
H0120905,Other (specify),No,H01209-05-05
H0121001,Electric,No,H01210-05-01
H0121001,lpg,No,H01210-05-01
H0121001,Kerosene,No,H01210-05-01
H0121001,Wood / Sawdust Burning,No,H01210-05-01
H0121001,Efficient Wood Burning,No,H01210-05-01
H0121001,Charcoal,Yes,H01210-05-01
H0121001,Other Biomass Burning,No,H01210-05-01
H0121001,Open fire,No,H01210-05-01
H0121001,Other (specify),No,H01210-05-01
H0140101,Electric,No,H01401-05-01
H0140101,lpg,No,H01401-05-01
H0140101,Kerosene,No,H01401-05-01
H0140101,Wood / Sawdust Burning,No,H01401-05-01
H0140101,Efficient Wood Burning,No,H01401-05-01
H0140101,Charcoal,Yes,H01401-05-01
H0140101,Other Biomass Burning,No,H01401-05-01
H0140101,Open fire,No,H01401-05-01
H0140101,Other (specify),No,H01401-05-01
H0140201,Electric,No,H01402-05-01
H0140201,lpg,No,H01402-05-01
H0140201,Kerosene,No,H01402-05-01
H0140201,Wood / Sawdust Burning,No,H01402-05-01
H0140201,Efficient Wood Burning,No,H01402-05-01
H0140201,Charcoal,Yes,H01402-05-01
H0140201,Other Biomass Burning,No,H01402-05-01
H0140201,Open fire,No,H01402-05-01
H0140201,Other (specify),No,H01402-05-01
H0140601,Electric,No,H01406-05-01
H0140601,lpg,No,H01406-05-01
H0140601,Kerosene,No,H01406-05-01
H0140601,Wood / Sawdust Burning,No,H01406-05-01
H0140601,Efficient Wood Burning,No,H01406-05-01
H0140601,Charcoal,Yes,H01406-05-01
H0140601,Other Biomass Burning,No,H01406-05-01
H0140601,Open fire,No,H01406-05-01
H0140601,Other (specify),No,H01406-05-01
H0140901,Electric,No,H01409-05-01
H0140901,lpg,No,H01409-05-01
H0140901,Kerosene,Yes,H01409-05-01
H0140901,Wood / Sawdust Burning,No,H01409-05-01
H0140901,Efficient Wood Burning,No,H01409-05-01
H0140901,Charcoal,Yes,H01409-05-01
H0140901,Other Biomass Burning,No,H01409-05-01
H0140901,Open fire,No,H01409-05-01
H0140901,Other (specify),No,H01409-05-01
H0160401,Electric,No,H01604-05-01
H0160401,lpg,Yes,H01604-05-01
H0160401,Kerosene,No,H01604-05-01
H0160401,Wood / Sawdust Burning,No,H01604-05-01
H0160401,Efficient Wood Burning,No,H01604-05-01
H0160401,Charcoal,Yes,H01604-05-01
H0160401,Other Biomass Burning,No,H01604-05-01
H0160401,Open fire,No,H01604-05-01
H0160401,Other (specify),No,H01604-05-01
H0160501,Electric,No,H01605-05-01
H0160501,lpg,No,H01605-05-01
H0160501,Kerosene,No,H01605-05-01
H0160501,Wood / Sawdust Burning,No,H01605-05-01
H0160501,Efficient Wood Burning,No,H01605-05-01
H0160501,Charcoal,Yes,H01605-05-01
H0160501,Other Biomass Burning,No,H01605-05-01
H0160501,Open fire,Yes,H01605-05-01
H0160501,Other (specify),No,H01605-05-01
H0161201,Electric,No,H01612-05-01
H0161201,lpg,No,H01612-05-01
H0161201,Kerosene,No,H01612-05-01
H0161201,Wood / Sawdust Burning,No,H01612-05-01
H0161201,Efficient Wood Burning,No,H01612-05-01
H0161201,Charcoal,Yes,H01612-05-01
H0161201,Other Biomass Burning,No,H01612-05-01
H0161201,Open fire,No,H01612-05-01
H0161201,Other (specify),No,H01612-05-01
H0180101,Electric,No,H01801-05-01
H0180101,lpg,No,H01801-05-01
H0180101,Kerosene,No,H01801-05-01
H0180101,Wood / Sawdust Burning,No,H01801-05-01
H0180101,Efficient Wood Burning,No,H01801-05-01
H0180101,Charcoal,Yes,H01801-05-01
H0180101,Other Biomass Burning,No,H01801-05-01
H0180101,Open fire,No,H01801-05-01
H0180101,Other (specify),No,H01801-05-01
H0180601,Electric,No,H01806-05-01
H0180601,lpg,No,H01806-05-01
H0180601,Kerosene,No,H01806-05-01
H0180601,Wood / Sawdust Burning,No,H01806-05-01
H0180601,Efficient Wood Burning,No,H01806-05-01
H0180601,Charcoal,Yes,H01806-05-01
H0180601,Other Biomass Burning,No,H01806-05-01
H0180601,Open fire,No,H01806-05-01
H0180601,Other (specify),No,H01806-05-01
H0180602,Electric,No,H01806-05-02
H0180602,lpg,No,H01806-05-02
H0180602,Kerosene,Yes,H01806-05-02
H0180602,Wood / Sawdust Burning,No,H01806-05-02
H0180602,Efficient Wood Burning,No,H01806-05-02
H0180602,Charcoal,No,H01806-05-02
H0180602,Other Biomass Burning,No,H01806-05-02
H0180602,Open fire,Yes,H01806-05-02
H0180602,Other (specify),No,H01806-05-02
H0180901,Electric,No,H01809-05-01
H0180901,lpg,No,H01809-05-01
H0180901,Kerosene,No,H01809-05-01
H0180901,Wood / Sawdust Burning,No,H01809-05-01
H0180901,Efficient Wood Burning,No,H01809-05-01
H0180901,Charcoal,Yes,H01809-05-01
H0180901,Other Biomass Burning,No,H01809-05-01
H0180901,Open fire,No,H01809-05-01
H0180901,Other (specify),No,H01809-05-01
H0181301,Electric,No,H01813-05-01
H0181301,lpg,No,H01813-05-01
H0181301,Kerosene,No,H01813-05-01
H0181301,Wood / Sawdust Burning,No,H01813-05-01
H0181301,Efficient Wood Burning,No,H01813-05-01
H0181301,Charcoal,Yes,H01813-05-01
H0181301,Other Biomass Burning,No,H01813-05-01
H0181301,Open fire,No,H01813-05-01
H0181301,Other (specify),No,H01813-05-01
H0210801,Electric,No,H02108-05-01
H0210801,lpg,No,H02108-05-01
H0210801,Kerosene,Yes,H02108-05-01
H0210801,Wood / Sawdust Burning,No,H02108-05-01
H0210801,Efficient Wood Burning,No,H02108-05-01
H0210801,Charcoal,Yes,H02108-05-01
H0210801,Other Biomass Burning,No,H02108-05-01
H0210801,Open fire,No,H02108-05-01
H0210801,Other (specify),No,H02108-05-01
H0211001,Electric,No,H02110-05-01
H0211001,lpg,No,H02110-05-01
H0211001,Kerosene,No,H02110-05-01
