hhid,h10q8_1,h10q8_2,hh
H1621001,lpg,No,H16210-05-01
H1621001,Kerosene,No,H16210-05-01
H1621001,Wood / Sawdust Burning,No,H16210-05-01
H1621001,Efficient Wood Burning,No,H16210-05-01
H1621001,Charcoal,No,H16210-05-01
H1621001,Other Biomass Burning,No,H16210-05-01
H1621001,Open fire,Yes,H16210-05-01
H1621001,Other (specify),No,H16210-05-01
H1630201,Electric,No,H16302-05-01
H1630201,lpg,No,H16302-05-01
H1630201,Kerosene,Yes,H16302-05-01
H1630201,Wood / Sawdust Burning,No,H16302-05-01
H1630201,Efficient Wood Burning,No,H16302-05-01
H1630201,Charcoal,No,H16302-05-01
H1630201,Other Biomass Burning,No,H16302-05-01
H1630201,Open fire,Yes,H16302-05-01
H1630201,Other (specify),No,H16302-05-01
H1630202,Electric,No,H16302-05-02
H1630202,lpg,No,H16302-05-02
H1630202,Kerosene,No,H16302-05-02
H1630202,Wood / Sawdust Burning,No,H16302-05-02
H1630202,Efficient Wood Burning,No,H16302-05-02
H1630202,Charcoal,No,H16302-05-02
H1630202,Other Biomass Burning,No,H16302-05-02
H1630202,Open fire,Yes,H16302-05-02
H1630202,Other (specify),No,H16302-05-02
H1630203,Electric,No,H16302-05-03
H1630203,lpg,No,H16302-05-03
H1630203,Kerosene,Yes,H16302-05-03
H1630203,Wood / Sawdust Burning,No,H16302-05-03
H1630203,Efficient Wood Burning,No,H16302-05-03
H1630203,Charcoal,No,H16302-05-03
H1630203,Other Biomass Burning,No,H16302-05-03
H1630203,Open fire,Yes,H16302-05-03
H1630203,Other (specify),No,H16302-05-03
H1630401,Electric,No,H16304-05-01
H1630401,lpg,No,H16304-05-01
H1630401,Kerosene,No,H16304-05-01
H1630401,Wood / Sawdust Burning,No,H16304-05-01
H1630401,Efficient Wood Burning,No,H16304-05-01
H1630401,Charcoal,No,H16304-05-01
H1630401,Other Biomass Burning,No,H16304-05-01
H1630401,Open fire,Yes,H16304-05-01
H1630401,Other (specify),No,H16304-05-01
H1630501,Electric,No,H16305-05-01
H1630501,lpg,No,H16305-05-01
H1630501,Kerosene,No,H16305-05-01
H1630501,Wood / Sawdust Burning,No,H16305-05-01
H1630501,Efficient Wood Burning,No,H16305-05-01
H1630501,Charcoal,No,H16305-05-01
H1630501,Other Biomass Burning,No,H16305-05-01
H1630501,Open fire,Yes,H16305-05-01
H1630501,Other (specify),No,H16305-05-01
H1630502,Electric,No,H16305-05-02
H1630502,lpg,No,H16305-05-02
H1630502,Kerosene,No,H16305-05-02
H1630502,Wood / Sawdust Burning,No,H16305-05-02
H1630502,Efficient Wood Burning,No,H16305-05-02
H1630502,Charcoal,No,H16305-05-02
H1630502,Other Biomass Burning,No,H16305-05-02
H1630502,Open fire,Yes,H16305-05-02
H1630502,Other (specify),No,H16305-05-02
H1630503,Electric,No,H16305-05-03
H1630503,lpg,No,H16305-05-03
H1630503,Kerosene,No,H16305-05-03
H1630503,Wood / Sawdust Burning,No,H16305-05-03
H1630503,Efficient Wood Burning,No,H16305-05-03
H1630503,Charcoal,No,H16305-05-03
H1630503,Other Biomass Burning,No,H16305-05-03
H1630503,Open fire,Yes,H16305-05-03
H1630503,Other (specify),No,H16305-05-03
H1630601,Electric,No,H16306-05-01
H1630601,lpg,No,H16306-05-01
H1630601,Kerosene,No,H16306-05-01
H1630601,Wood / Sawdust Burning,No,H16306-05-01
H1630601,Efficient Wood Burning,No,H16306-05-01
H1630601,Charcoal,Yes,H16306-05-01
H1630601,Other Biomass Burning,No,H16306-05-01
H1630601,Open fire,No,H16306-05-01
H1630601,Other (specify),No,H16306-05-01
H1630701,Electric,No,H16307-05-01
H1630701,lpg,No,H16307-05-01
H1630701,Kerosene,No,H16307-05-01
H1630701,Wood / Sawdust Burning,No,H16307-05-01
H1630701,Efficient Wood Burning,No,H16307-05-01
H1630701,Charcoal,No,H16307-05-01
H1630701,Other Biomass Burning,No,H16307-05-01
H1630701,Open fire,Yes,H16307-05-01
H1630701,Other (specify),No,H16307-05-01
H1630801,Electric,No,H16308-05-01
H1630801,lpg,No,H16308-05-01
H1630801,Kerosene,No,H16308-05-01
H1630801,Wood / Sawdust Burning,No,H16308-05-01
H1630801,Efficient Wood Burning,No,H16308-05-01
H1630801,Charcoal,No,H16308-05-01
H1630801,Other Biomass Burning,No,H16308-05-01
H1630801,Open fire,Yes,H16308-05-01
H1630801,Other (specify),No,H16308-05-01
H1630802,Electric,No,H16308-05-02
H1630802,lpg,No,H16308-05-02
H1630802,Kerosene,No,H16308-05-02
H1630802,Wood / Sawdust Burning,No,H16308-05-02
H1630802,Efficient Wood Burning,No,H16308-05-02
H1630802,Charcoal,No,H16308-05-02
H1630802,Other Biomass Burning,No,H16308-05-02
H1630802,Open fire,Yes,H16308-05-02
H1630802,Other (specify),No,H16308-05-02
H1631001,Electric,No,H16310-05-01
H1631001,lpg,No,H16310-05-01
H1631001,Kerosene,No,H16310-05-01
H1631001,Wood / Sawdust Burning,No,H16310-05-01
H1631001,Efficient Wood Burning,No,H16310-05-01
H1631001,Charcoal,Yes,H16310-05-01
H1631001,Other Biomass Burning,No,H16310-05-01
H1631001,Open fire,Yes,H16310-05-01
H1631001,Other (specify),No,H16310-05-01
H1640101,Electric,No,H16401-05-01
H1640101,lpg,No,H16401-05-01
H1640101,Kerosene,No,H16401-05-01
H1640101,Wood / Sawdust Burning,No,H16401-05-01
H1640101,Efficient Wood Burning,No,H16401-05-01
H1640101,Charcoal,No,H16401-05-01
H1640101,Other Biomass Burning,No,H16401-05-01
H1640101,Open fire,Yes,H16401-05-01
H1640101,Other (specify),No,H16401-05-01
H1640201,Electric,No,H16402-05-01
H1640201,lpg,No,H16402-05-01
H1640201,Kerosene,No,H16402-05-01
H1640201,Wood / Sawdust Burning,No,H16402-05-01
H1640201,Efficient Wood Burning,No,H16402-05-01
H1640201,Charcoal,No,H16402-05-01
H1640201,Other Biomass Burning,No,H16402-05-01
H1640201,Open fire,Yes,H16402-05-01
H1640201,Other (specify),No,H16402-05-01
H1640301,Electric,No,H16403-05-01
H1640301,lpg,No,H16403-05-01
H1640301,Kerosene,No,H16403-05-01
H1640301,Wood / Sawdust Burning,No,H16403-05-01
H1640301,Efficient Wood Burning,No,H16403-05-01
H1640301,Charcoal,No,H16403-05-01
H1640301,Other Biomass Burning,No,H16403-05-01
H1640301,Open fire,Yes,H16403-05-01
H1640301,Other (specify),No,H16403-05-01
H1640401,Electric,No,H16404-05-01
H1640401,lpg,No,H16404-05-01
H1640401,Kerosene,No,H16404-05-01
H1640401,Wood / Sawdust Burning,No,H16404-05-01
H1640401,Efficient Wood Burning,No,H16404-05-01
H1640401,Charcoal,Yes,H16404-05-01
H1640401,Other Biomass Burning,No,H16404-05-01
H1640401,Open fire,Yes,H16404-05-01
H1640401,Other (specify),No,H16404-05-01
H1640501,Electric,No,H16405-05-01
H1640501,lpg,No,H16405-05-01
H1640501,Kerosene,No,H16405-05-01
H1640501,Wood / Sawdust Burning,No,H16405-05-01
H1640501,Efficient Wood Burning,No,H16405-05-01
H1640501,Charcoal,No,H16405-05-01
H1640501,Other Biomass Burning,No,H16405-05-01
H1640501,Open fire,Yes,H16405-05-01
H1640501,Other (specify),No,H16405-05-01
H1640502,Electric,No,H16405-05-02
H1640502,lpg,No,H16405-05-02
H1640502,Kerosene,No,H16405-05-02
H1640502,Wood / Sawdust Burning,No,H16405-05-02
H1640502,Efficient Wood Burning,No,H16405-05-02
H1640502,Charcoal,No,H16405-05-02
H1640502,Other Biomass Burning,No,H16405-05-02
H1640502,Open fire,Yes,H16405-05-02
H1640502,Other (specify),No,H16405-05-02
H1640601,Electric,No,H16406-05-01
H1640601,lpg,No,H16406-05-01
H1640601,Kerosene,No,H16406-05-01
H1640601,Wood / Sawdust Burning,No,H16406-05-01
H1640601,Efficient Wood Burning,No,H16406-05-01
H1640601,Charcoal,No,H16406-05-01
H1640601,Other Biomass Burning,No,H16406-05-01
H1640601,Open fire,Yes,H16406-05-01
H1640601,Other (specify),No,H16406-05-01
H1640701,Electric,No,H16407-05-01
H1640701,lpg,No,H16407-05-01
H1640701,Kerosene,Yes,H16407-05-01
H1640701,Wood / Sawdust Burning,No,H16407-05-01
H1640701,Efficient Wood Burning,No,H16407-05-01
H1640701,Charcoal,No,H16407-05-01
H1640701,Other Biomass Burning,No,H16407-05-01
H1640701,Open fire,Yes,H16407-05-01
H1640701,Other (specify),No,H16407-05-01
H1640702,Electric,No,H16407-05-02
H1640702,lpg,No,H16407-05-02
H1640702,Kerosene,Yes,H16407-05-02
H1640702,Wood / Sawdust Burning,No,H16407-05-02
H1640702,Efficient Wood Burning,No,H16407-05-02
H1640702,Charcoal,No,H16407-05-02
H1640702,Other Biomass Burning,No,H16407-05-02
H1640702,Open fire,Yes,H16407-05-02
H1640702,Other (specify),No,H16407-05-02
H1640703,Electric,No,H16407-05-03
H1640703,lpg,No,H16407-05-03
H1640703,Kerosene,Yes,H16407-05-03
H1640703,Wood / Sawdust Burning,No,H16407-05-03
H1640703,Efficient Wood Burning,No,H16407-05-03
H1640703,Charcoal,No,H16407-05-03
H1640703,Other Biomass Burning,No,H16407-05-03
H1640703,Open fire,Yes,H16407-05-03
H1640703,Other (specify),No,H16407-05-03
H1640801,Electric,No,H16408-05-01
H1640801,lpg,No,H16408-05-01
H1640801,Kerosene,Yes,H16408-05-01
H1640801,Wood / Sawdust Burning,No,H16408-05-01
H1640801,Efficient Wood Burning,No,H16408-05-01
H1640801,Charcoal,No,H16408-05-01
H1640801,Other Biomass Burning,No,H16408-05-01
H1640801,Open fire,Yes,H16408-05-01
H1640801,Other (specify),No,H16408-05-01
H1640901,Electric,No,H16409-05-01
H1640901,lpg,No,H16409-05-01
H1640901,Kerosene,No,H16409-05-01
H1640901,Wood / Sawdust Burning,No,H16409-05-01
H1640901,Efficient Wood Burning,No,H16409-05-01
H1640901,Charcoal,No,H16409-05-01
H1640901,Other Biomass Burning,No,H16409-05-01
H1640901,Open fire,Yes,H16409-05-01
H1640901,Other (specify),No,H16409-05-01
H1640902,Electric,No,H16409-05-02
H1640902,lpg,No,H16409-05-02
H1640902,Kerosene,No,H16409-05-02
H1640902,Wood / Sawdust Burning,No,H16409-05-02
H1640902,Efficient Wood Burning,No,H16409-05-02
H1640902,Charcoal,No,H16409-05-02
H1640902,Other Biomass Burning,No,H16409-05-02
H1640902,Open fire,Yes,H16409-05-02
H1640902,Other (specify),No,H16409-05-02
H1640903,Electric,No,H16409-05-03
H1640903,lpg,No,H16409-05-03
H1640903,Kerosene,No,H16409-05-03
H1640903,Wood / Sawdust Burning,No,H16409-05-03
H1640903,Efficient Wood Burning,No,H16409-05-03
H1640903,Charcoal,No,H16409-05-03
H1640903,Other Biomass Burning,No,H16409-05-03
H1640903,Open fire,Yes,H16409-05-03
H1640903,Other (specify),No,H16409-05-03
H1640904,Electric,No,H16409-05-04
H1640904,lpg,No,H16409-05-04
H1640904,Kerosene,No,H16409-05-04
H1640904,Wood / Sawdust Burning,No,H16409-05-04
H1640904,Efficient Wood Burning,No,H16409-05-04
H1640904,Charcoal,No,H16409-05-04
H1640904,Other Biomass Burning,No,H16409-05-04
H1640904,Open fire,Yes,H16409-05-04
H1640904,Other (specify),No,H16409-05-04
H1641001,Electric,No,H16410-05-01
H1641001,lpg,No,H16410-05-01
H1641001,Kerosene,No,H16410-05-01
H1641001,Wood / Sawdust Burning,No,H16410-05-01
H1641001,Efficient Wood Burning,No,H16410-05-01
H1641001,Charcoal,No,H16410-05-01
H1641001,Other Biomass Burning,No,H16410-05-01
H1641001,Open fire,Yes,H16410-05-01
H1641001,Other (specify),No,H16410-05-01
H1650101,Electric,No,H16501-05-01
H1650101,lpg,No,H16501-05-01
H1650101,Kerosene,No,H16501-05-01
H1650101,Wood / Sawdust Burning,No,H16501-05-01
H1650101,Efficient Wood Burning,No,H16501-05-01
H1650101,Charcoal,Yes,H16501-05-01
H1650101,Other Biomass Burning,No,H16501-05-01
H1650101,Open fire,Yes,H16501-05-01
H1650101,Other (specify),No,H16501-05-01
H1650102,Electric,No,H16501-05-02
H1650102,lpg,No,H16501-05-02
H1650102,Kerosene,No,H16501-05-02
H1650102,Wood / Sawdust Burning,No,H16501-05-02
H1650102,Efficient Wood Burning,No,H16501-05-02
H1650102,Charcoal,No,H16501-05-02
H1650102,Other Biomass Burning,No,H16501-05-02
H1650102,Open fire,Yes,H16501-05-02
H1650102,Other (specify),No,H16501-05-02
H1650201,Electric,No,H16502-05-01
H1650201,lpg,No,H16502-05-01
H1650201,Kerosene,No,H16502-05-01
H1650201,Wood / Sawdust Burning,No,H16502-05-01
H1650201,Efficient Wood Burning,No,H16502-05-01
H1650201,Charcoal,No,H16502-05-01
H1650201,Other Biomass Burning,No,H16502-05-01
H1650201,Open fire,Yes,H16502-05-01
H1650201,Other (specify),No,H16502-05-01
H1650301,Electric,No,H16503-05-01
H1650301,lpg,No,H16503-05-01
H1650301,Kerosene,Yes,H16503-05-01
H1650301,Wood / Sawdust Burning,No,H16503-05-01
H1650301,Efficient Wood Burning,No,H16503-05-01
H1650301,Charcoal,No,H16503-05-01
H1650301,Other Biomass Burning,No,H16503-05-01
H1650301,Open fire,Yes,H16503-05-01
H1650301,Other (specify),No,H16503-05-01
H1650501,Electric,No,H16505-05-01
H1650501,lpg,No,H16505-05-01
H1650501,Kerosene,No,H16505-05-01
H1650501,Wood / Sawdust Burning,No,H16505-05-01
H1650501,Efficient Wood Burning,No,H16505-05-01
H1650501,Charcoal,No,H16505-05-01
H1650501,Other Biomass Burning,No,H16505-05-01
H1650501,Open fire,Yes,H16505-05-01
H1650501,Other (specify),No,H16505-05-01
H1650502,Electric,No,H16505-05-02
H1650502,lpg,No,H16505-05-02
H1650502,Kerosene,No,H16505-05-02
H1650502,Wood / Sawdust Burning,No,H16505-05-02
H1650502,Efficient Wood Burning,No,H16505-05-02
H1650502,Charcoal,No,H16505-05-02
H1650502,Other Biomass Burning,No,H16505-05-02
H1650502,Open fire,Yes,H16505-05-02
H1650502,Other (specify),No,H16505-05-02
H1650503,Electric,No,H16505-05-03
H1650503,lpg,No,H16505-05-03
H1650503,Kerosene,No,H16505-05-03
H1650503,Wood / Sawdust Burning,No,H16505-05-03
H1650503,Efficient Wood Burning,No,H16505-05-03
H1650503,Charcoal,No,H16505-05-03
H1650503,Other Biomass Burning,No,H16505-05-03
H1650503,Open fire,Yes,H16505-05-03
H1650503,Other (specify),No,H16505-05-03
H1650504,Electric,No,H16505-05-04
H1650504,lpg,No,H16505-05-04
H1650504,Kerosene,No,H16505-05-04
H1650504,Wood / Sawdust Burning,No,H16505-05-04
H1650504,Efficient Wood Burning,No,H16505-05-04
H1650504,Charcoal,No,H16505-05-04
H1650504,Other Biomass Burning,No,H16505-05-04
H1650504,Open fire,Yes,H16505-05-04
H1650504,Other (specify),No,H16505-05-04
H1650505,Electric,No,H16505-05-05
H1650505,lpg,No,H16505-05-05
H1650505,Kerosene,No,H16505-05-05
H1650505,Wood / Sawdust Burning,No,H16505-05-05
H1650505,Efficient Wood Burning,No,H16505-05-05
H1650505,Charcoal,No,H16505-05-05
H1650505,Other Biomass Burning,No,H16505-05-05
H1650505,Open fire,Yes,H16505-05-05
H1650505,Other (specify),No,H16505-05-05
H1650601,Electric,No,H16506-05-01
H1650601,lpg,No,H16506-05-01
H1650601,Kerosene,No,H16506-05-01
H1650601,Wood / Sawdust Burning,No,H16506-05-01
H1650601,Efficient Wood Burning,No,H16506-05-01
H1650601,Charcoal,No,H16506-05-01
H1650601,Other Biomass Burning,No,H16506-05-01
H1650601,Open fire,Yes,H16506-05-01
H1650601,Other (specify),No,H16506-05-01
H1650701,Electric,No,H16507-05-01
H1650701,lpg,No,H16507-05-01
H1650701,Kerosene,No,H16507-05-01
H1650701,Wood / Sawdust Burning,No,H16507-05-01
H1650701,Efficient Wood Burning,No,H16507-05-01
H1650701,Charcoal,No,H16507-05-01
H1650701,Other Biomass Burning,No,H16507-05-01
H1650701,Open fire,Yes,H16507-05-01
H1650701,Other (specify),No,H16507-05-01
H1650702,Electric,No,H16507-05-02
H1650702,lpg,No,H16507-05-02
H1650702,Kerosene,No,H16507-05-02
H1650702,Wood / Sawdust Burning,No,H16507-05-02
H1650702,Efficient Wood Burning,No,H16507-05-02
H1650702,Charcoal,No,H16507-05-02
H1650702,Other Biomass Burning,No,H16507-05-02
H1650702,Open fire,Yes,H16507-05-02
H1650702,Other (specify),No,H16507-05-02
H1650801,Electric,No,H16508-05-01
H1650801,lpg,No,H16508-05-01
H1650801,Kerosene,No,H16508-05-01
H1650801,Wood / Sawdust Burning,No,H16508-05-01
H1650801,Efficient Wood Burning,No,H16508-05-01
H1650801,Charcoal,No,H16508-05-01
H1650801,Other Biomass Burning,No,H16508-05-01
H1650801,Open fire,Yes,H16508-05-01
H1650801,Other (specify),No,H16508-05-01
H1650901,Electric,No,H16509-05-01
H1650901,lpg,No,H16509-05-01
H1650901,Kerosene,No,H16509-05-01
H1650901,Wood / Sawdust Burning,No,H16509-05-01
H1650901,Efficient Wood Burning,Yes,H16509-05-01
H1650901,Charcoal,No,H16509-05-01
H1650901,Other Biomass Burning,No,H16509-05-01
H1650901,Open fire,Yes,H16509-05-01
H1650901,Other (specify),No,H16509-05-01
H1651001,Electric,No,H16510-05-01
H1651001,lpg,No,H16510-05-01
H1651001,Kerosene,Yes,H16510-05-01
H1651001,Wood / Sawdust Burning,No,H16510-05-01
H1651001,Efficient Wood Burning,No,H16510-05-01
H1651001,Charcoal,No,H16510-05-01
H1651001,Other Biomass Burning,No,H16510-05-01
H1651001,Open fire,Yes,H16510-05-01
H1651001,Other (specify),No,H16510-05-01
H1660401,Electric,No,H16604-05-01
H1660401,lpg,No,H16604-05-01
H1660401,Kerosene,No,H16604-05-01
H1660401,Wood / Sawdust Burning,No,H16604-05-01
H1660401,Efficient Wood Burning,No,H16604-05-01
H1660401,Charcoal,Yes,H16604-05-01
H1660401,Other Biomass Burning,No,H16604-05-01
H1660401,Open fire,No,H16604-05-01
H1660401,Other (specify),No,H16604-05-01
H1660402,Electric,No,H16604-05-02
H1660402,lpg,No,H16604-05-02
H1660402,Kerosene,No,H16604-05-02
H1660402,Wood / Sawdust Burning,No,H16604-05-02
H1660402,Efficient Wood Burning,No,H16604-05-02
H1660402,Charcoal,Yes,H16604-05-02
H1660402,Other Biomass Burning,No,H16604-05-02
H1660402,Open fire,No,H16604-05-02
H1660402,Other (specify),No,H16604-05-02
H1660601,Electric,No,H16606-05-01
H1660601,lpg,No,H16606-05-01
H1660601,Kerosene,No,H16606-05-01
H1660601,Wood / Sawdust Burning,No,H16606-05-01
H1660601,Efficient Wood Burning,No,H16606-05-01
H1660601,Charcoal,No,H16606-05-01
H1660601,Other Biomass Burning,No,H16606-05-01
H1660601,Open fire,Yes,H16606-05-01
H1660601,Other (specify),No,H16606-05-01
H1660602,Electric,No,H16606-05-02
H1660602,lpg,No,H16606-05-02
H1660602,Kerosene,No,H16606-05-02
H1660602,Wood / Sawdust Burning,No,H16606-05-02
H1660602,Efficient Wood Burning,No,H16606-05-02
H1660602,Charcoal,No,H16606-05-02
H1660602,Other Biomass Burning,No,H16606-05-02
H1660602,Open fire,Yes,H16606-05-02
H1660602,Other (specify),No,H16606-05-02
H1660701,Electric,No,H16607-05-01
H1660701,lpg,No,H16607-05-01
H1660701,Kerosene,No,H16607-05-01
H1660701,Wood / Sawdust Burning,No,H16607-05-01
H1660701,Efficient Wood Burning,No,H16607-05-01
H1660701,Charcoal,Yes,H16607-05-01
H1660701,Other Biomass Burning,No,H16607-05-01
H1660701,Open fire,Yes,H16607-05-01
H1660701,Other (specify),No,H16607-05-01
H1660901,Electric,No,H16609-05-01
H1660901,lpg,No,H16609-05-01
H1660901,Kerosene,No,H16609-05-01
H1660901,Wood / Sawdust Burning,No,H16609-05-01
H1660901,Efficient Wood Burning,No,H16609-05-01
H1660901,Charcoal,Yes,H16609-05-01
H1660901,Other Biomass Burning,No,H16609-05-01
H1660901,Open fire,No,H16609-05-01
H1660901,Other (specify),No,H16609-05-01
H1660902,Electric,No,H16609-05-02
H1660902,lpg,No,H16609-05-02
H1660902,Kerosene,No,H16609-05-02
H1660902,Wood / Sawdust Burning,No,H16609-05-02
H1660902,Efficient Wood Burning,No,H16609-05-02
H1660902,Charcoal,Yes,H16609-05-02
H1660902,Other Biomass Burning,No,H16609-05-02
H1660902,Open fire,No,H16609-05-02
H1660902,Other (specify),No,H16609-05-02
H1661101,Electric,No,H16611-05-01
H1661101,lpg,No,H16611-05-01
H1661101,Kerosene,No,H16611-05-01
H1661101,Wood / Sawdust Burning,No,H16611-05-01
H1661101,Efficient Wood Burning,No,H16611-05-01
H1661101,Charcoal,Yes,H16611-05-01
H1661101,Other Biomass Burning,No,H16611-05-01
H1661101,Open fire,Yes,H16611-05-01
H1661101,Other (specify),No,H16611-05-01
H1670101,Electric,No,H16701-05-01
H1670101,lpg,No,H16701-05-01
H1670101,Kerosene,No,H16701-05-01
H1670101,Wood / Sawdust Burning,No,H16701-05-01
H1670101,Efficient Wood Burning,No,H16701-05-01
H1670101,Charcoal,No,H16701-05-01
H1670101,Other Biomass Burning,No,H16701-05-01
H1670101,Open fire,Yes,H16701-05-01
H1670101,Other (specify),No,H16701-05-01
H1670201,Electric,No,H16702-05-01
H1670201,lpg,No,H16702-05-01
H1670201,Kerosene,No,H16702-05-01
H1670201,Wood / Sawdust Burning,No,H16702-05-01
H1670201,Efficient Wood Burning,No,H16702-05-01
H1670201,Charcoal,No,H16702-05-01
H1670201,Other Biomass Burning,No,H16702-05-01
H1670201,Open fire,Yes,H16702-05-01
H1670201,Other (specify),No,H16702-05-01
H1670202,Electric,No,H16702-05-02
H1670202,lpg,No,H16702-05-02
H1670202,Kerosene,No,H16702-05-02
H1670202,Wood / Sawdust Burning,No,H16702-05-02
H1670202,Efficient Wood Burning,No,H16702-05-02
H1670202,Charcoal,No,H16702-05-02
H1670202,Other Biomass Burning,No,H16702-05-02
H1670202,Open fire,No,H16702-05-02
H1670202,Other (specify),No,H16702-05-02
H1670301,Electric,No,H16703-05-01
H1670301,lpg,No,H16703-05-01
H1670301,Kerosene,No,H16703-05-01
H1670301,Wood / Sawdust Burning,No,H16703-05-01
H1670301,Efficient Wood Burning,No,H16703-05-01
H1670301,Charcoal,No,H16703-05-01
H1670301,Other Biomass Burning,No,H16703-05-01
H1670301,Open fire,Yes,H16703-05-01
H1670301,Other (specify),No,H16703-05-01
H1670302,Electric,No,H16703-05-02
H1670302,lpg,No,H16703-05-02
H1670302,Kerosene,No,H16703-05-02
H1670302,Wood / Sawdust Burning,No,H16703-05-02
H1670302,Efficient Wood Burning,No,H16703-05-02
H1670302,Charcoal,No,H16703-05-02
H1670302,Other Biomass Burning,No,H16703-05-02
H1670302,Open fire,Yes,H16703-05-02
H1670302,Other (specify),No,H16703-05-02
H1670401,Electric,No,H16704-05-01
H1670401,lpg,No,H16704-05-01
H1670401,Kerosene,No,H16704-05-01
H1670401,Wood / Sawdust Burning,No,H16704-05-01
H1670401,Efficient Wood Burning,No,H16704-05-01
H1670401,Charcoal,No,H16704-05-01
H1670401,Other Biomass Burning,No,H16704-05-01
H1670401,Open fire,Yes,H16704-05-01
H1670401,Other (specify),No,H16704-05-01
H1670402,Electric,No,H16704-05-02
H1670402,lpg,No,H16704-05-02
H1670402,Kerosene,No,H16704-05-02
H1670402,Wood / Sawdust Burning,No,H16704-05-02
H1670402,Efficient Wood Burning,No,H16704-05-02
H1670402,Charcoal,No,H16704-05-02
H1670402,Other Biomass Burning,No,H16704-05-02
H1670402,Open fire,Yes,H16704-05-02
H1670402,Other (specify),No,H16704-05-02
H1670501,Electric,No,H16705-05-01
H1670501,lpg,No,H16705-05-01
H1670501,Kerosene,No,H16705-05-01
H1670501,Wood / Sawdust Burning,No,H16705-05-01
H1670501,Efficient Wood Burning,No,H16705-05-01
H1670501,Charcoal,No,H16705-05-01
H1670501,Other Biomass Burning,No,H16705-05-01
H1670501,Open fire,Yes,H16705-05-01
H1670501,Other (specify),No,H16705-05-01
H1670701,Electric,No,H16707-05-01
H1670701,lpg,No,H16707-05-01
H1670701,Kerosene,No,H16707-05-01
H1670701,Wood / Sawdust Burning,No,H16707-05-01
H1670701,Efficient Wood Burning,No,H16707-05-01
H1670701,Charcoal,No,H16707-05-01
H1670701,Other Biomass Burning,No,H16707-05-01
H1670701,Open fire,Yes,H16707-05-01
H1670701,Other (specify),No,H16707-05-01
H1670801,Electric,No,H16708-05-01
H1670801,lpg,No,H16708-05-01
H1670801,Kerosene,No,H16708-05-01
H1670801,Wood / Sawdust Burning,No,H16708-05-01
H1670801,Efficient Wood Burning,No,H16708-05-01
H1670801,Charcoal,No,H16708-05-01
H1670801,Other Biomass Burning,No,H16708-05-01
H1670801,Open fire,Yes,H16708-05-01
H1670801,Other (specify),No,H16708-05-01
H1670901,Electric,No,H16709-05-01
H1670901,lpg,No,H16709-05-01
H1670901,Kerosene,No,H16709-05-01
H1670901,Wood / Sawdust Burning,No,H16709-05-01
H1670901,Efficient Wood Burning,No,H16709-05-01
H1670901,Charcoal,No,H16709-05-01
H1670901,Other Biomass Burning,No,H16709-05-01
H1670901,Open fire,Yes,H16709-05-01
H1670901,Other (specify),No,H16709-05-01
H1671001,Electric,No,H16710-05-01
H1671001,lpg,No,H16710-05-01
H1671001,Kerosene,No,H16710-05-01
H1671001,Wood / Sawdust Burning,No,H16710-05-01
H1671001,Efficient Wood Burning,No,H16710-05-01
H1671001,Charcoal,No,H16710-05-01
H1671001,Other Biomass Burning,No,H16710-05-01
H1671001,Open fire,Yes,H16710-05-01
H1671001,Other (specify),No,H16710-05-01
H1680201,Electric,No,H16802-05-01
H1680201,lpg,No,H16802-05-01
H1680201,Kerosene,No,H16802-05-01
H1680201,Wood / Sawdust Burning,No,H16802-05-01
H1680201,Efficient Wood Burning,No,H16802-05-01
H1680201,Charcoal,No,H16802-05-01
H1680201,Other Biomass Burning,No,H16802-05-01
H1680201,Open fire,Yes,H16802-05-01
H1680201,Other (specify),No,H16802-05-01
H1680301,Electric,No,H16803-05-01
H1680301,lpg,No,H16803-05-01
H1680301,Kerosene,No,H16803-05-01
H1680301,Wood / Sawdust Burning,No,H16803-05-01
H1680301,Efficient Wood Burning,No,H16803-05-01
H1680301,Charcoal,No,H16803-05-01
H1680301,Other Biomass Burning,No,H16803-05-01
H1680301,Open fire,Yes,H16803-05-01
H1680301,Other (specify),No,H16803-05-01
H1680401,Electric,No,H16804-05-01
H1680401,lpg,No,H16804-05-01
H1680401,Kerosene,No,H16804-05-01
H1680401,Wood / Sawdust Burning,No,H16804-05-01
H1680401,Efficient Wood Burning,No,H16804-05-01
H1680401,Charcoal,No,H16804-05-01
H1680401,Other Biomass Burning,No,H16804-05-01
H1680401,Open fire,Yes,H16804-05-01
H1680401,Other (specify),No,H16804-05-01
H1680402,Electric,No,H16804-05-02
H1680402,lpg,No,H16804-05-02
H1680402,Kerosene,No,H16804-05-02
H1680402,Wood / Sawdust Burning,No,H16804-05-02
H1680402,Efficient Wood Burning,No,H16804-05-02
H1680402,Charcoal,No,H16804-05-02
H1680402,Other Biomass Burning,No,H16804-05-02
H1680402,Open fire,Yes,H16804-05-02
H1680402,Other (specify),No,H16804-05-02
H1680601,Electric,No,H16806-05-01
H1680601,lpg,No,H16806-05-01
H1680601,Kerosene,No,H16806-05-01
H1680601,Wood / Sawdust Burning,No,H16806-05-01
H1680601,Efficient Wood Burning,No,H16806-05-01
H1680601,Charcoal,No,H16806-05-01
H1680601,Other Biomass Burning,No,H16806-05-01
H1680601,Open fire,Yes,H16806-05-01
H1680601,Other (specify),No,H16806-05-01
H1680602,Electric,No,H16806-05-02
